mu_eV,fa95_min_GeV,lambda95_max
2.843857399513978e-20,inf,
3.01271407088117e-20,inf,
3.1915967637605546e-20,inf,
3.3811007824806954e-20,inf,
3.5818567781168297e-20,inf,
3.794532847236958e-20,inf,
4.019836755262485e-20,inf,
4.2585182918434057e-20,inf,
4.5113717660857745e-20,inf,
4.779238649935595e-20,inf,
5.0630103785164155e-20,inf,
5.3636313167392457e-20,inf,
5.682101902057648e-20,inf,
6.019481973827287e-20,inf,
6.3768943003486e-20,inf,
6.755528315331668e-20,inf,
7.156644076216339e-20,inf,
7.581576457522087e-20,inf,
8.031739593181363e-20,inf,
8.508631582640564e-20,inf,
9.013839476390788e-20,inf,
9.549044557518077e-20,inf,
1.011602793685175e-19,inf,
1.0716676480328644e-19,inf,
1.1352989088301311e-19,inf,
1.2027083347685144e-19,inf,
1.274120257908285e-19,inf,
1.3497723302339473e-19,inf,
1.4299163145370142e-19,inf,
1.514818922258341e-19,inf,
1.6047627010780158e-19,inf,
1.7000469752067146e-19,inf,
1.8009888415078622e-19,inf,
1.9079242247652651e-19,inf,
2.021208995608453e-19,inf,
2.1412201548157315e-19,inf,
2.2683570879363115e-19,inf,
2.4030428944069744e-19,inf,
2.545725795585997e-19,inf,
2.6968806263907034e-19,inf,
2.857010415502057e-19,inf,
3.026648059395683e-19,inf,
3.2063580957698237e-19,inf,
3.3967385822722028e-19,inf,
3.5984230867783083e-19,inf,
3.812082795843888e-19,inf,
4.0384287483492237e-19,inf,
4.2782142017676217e-19,inf,
4.532237138933769e-19,inf,
4.801342923653465e-19,inf,
5.086427113992609e-19,inf,
5.388438442608202e-19,inf,
5.708381974038904e-19,inf,
6.04732244946263e-19,inf,
6.406387830052693e-19,inf,
6.786773050723288e-19,inf,
7.189743996757907e-19,inf,
7.616641716552892e-19,inf,
8.0688868844973995e-19,inf,
8.547984528840423e-19,inf,
9.055529040279257e-19,inf,
9.59320947793827e-19,inf,
1.0162815190393986e-18,inf,
1.0766241770454977e-18,inf,
1.1405497363511042e-18,inf,
1.2082709350447735e-18,inf,
1.2800131427364295e-18,inf,
1.356015110565632e-18,inf,
1.4365297657423857e-18,inf,
1.5218250532643871e-18,inf,
1.6121848276121808e-18,inf,
1.7079097973894303e-18,inf,
1.8093185260520697e-18,inf,
1.9167484920568207e-18,inf,
2.030557211956794e-18,inf,
2.1511234301821585e-18,inf,
2.2788483794649926e-18,inf,
2.4141571161030127e-18,inf,
2.557499934506018e-18,inf,
2.7093538657320488e-18,inf,
2.87022426500085e-18,inf,
3.0406464934670687e-18,inf,
3.2211876998506394e-18,inf,
3.4124487078528964e-18,inf,
3.615066015639745e-18,inf,
3.8297139140462926e-18,inf,
4.057106730551403e-18,inf,
4.298001206490816e-18,inf,
4.5531990154189785e-18,inf,
4.823549431001458e-18,inf,
5.109952153315599e-18,inf,
5.413360302965376e-18,inf,
5.734783592974964e-18,inf,
6.075291689016077e-18,inf,
6.436017769151932e-18,inf,
6.8181622949444934e-18,inf,
7.222997006474758e-18,inf,
7.65186915457085e-18,inf,
8.10620598432847e-18,inf,
8.587519484845144e-18,inf,
9.097411420973753e-18,inf,
9.637578663841069e-18,inf,
1.0209818837871523e-17,inf,
1.0816036303107094e-17,inf,
1.1458248492734289e-17,inf,
1.2138592626906289e-17,inf,
1.285933282520587e-17,inf,
1.3622867641416497e-17,inf,
1.4431738045677345e-17,inf,
1.5288635880587233e-17,inf,
1.6196412819396532e-17,inf,
1.7158089856100135e-17,inf,
1.817686735901395e-17,inf,
1.9256135721291946e-17,inf,
2.0399486643826927e-17,inf,
2.1610725088083765e-17,inf,
2.2893881938644698e-17,inf,
2.4253227417603553e-17,inf,
2.5693285295451916e-17,inf,
2.721884794575185e-17,inf,
2.883499229369075e-17,inf,
3.0547096711599805e-17,inf,
3.2360858917655995e-17,inf,
3.42823149373396e-17,inf,
3.6317859190743535e-17,inf,
3.847426577258498e-17,inf,
4.075871099574057e-17,inf,
4.3178797273320216e-17,inf,
4.574257841876643e-17,inf,
4.8458586448165007e-17,inf,
5.1335859973973185e-17,inf,
5.4383974284648126e-17,inf,
5.761307321028087e-17,inf,
6.103390288028596e-17,inf,
6.465784748548132e-17,inf,
6.849696716357482e-17,inf,
7.256403813413898e-17,inf,
7.68725952166372e-17,inf,
8.143697687299496e-17,inf,
8.62723729246145e-17,inf,
9.139487510263756e-17,inf,
9.682153059967095e-17,inf,
1.02570398801195e-16,inf,
1.0866061138546002e-16,inf,
1.1511243599185759e-16,inf,
1.2194734366967382e-16,inf,
1.291880803316632e-16,inf,
1.3685874245025204e-16,inf,
1.449848572482715e-16,inf,
1.5359346765108953e-16,inf,
1.627132222828583e-16,inf,
1.72374470806362e-16,inf,
1.82609364923773e-16,inf,
1.934519653744048e-16,inf,
2.0493835528556603e-16,inf,
2.1710676025372716e-16,inf,
2.2999767555560525e-16,inf,
2.436540009125466e-16,inf,
2.5812118325664715e-16,inf,
2.7344736797375743e-16,inf,
2.8968355912668217e-16,inf,
3.068837891917639e-16,inf,
3.2510529887376294e-16,inf,
3.4440872759738236e-16,inf,
3.6485831530942397e-16,inf,
3.8652211626312697e-16,inf,
4.0947222549614935e-16,inf,
4.3378501875590024e-16,inf,
4.595414066706332e-16,inf,
4.868271040122284e-16,inf,
5.157329149466576e-16,inf,
5.463550352214865e-16,inf,
5.78795372296043e-16,inf,
6.131618844795769e-16,inf,
6.495689402061204e-16,inf,
6.88137698641567e-16,inf,
7.289965128896882e-16,inf,
7.722813571388658e-16,inf,
8.1813627917105845e-16,inf,
8.66713879738926e-16,inf,
9.181758204063624e-16,inf,
9.72693361542618e-16,inf,
1.0304479322602316e-15,inf,
1.0916317341936124e-15,inf,
1.1564483811275378e-15,inf,
1.2251135766041177e-15,inf,
1.2978558317634186e-15,inf,
1.3749172258064205e-15,inf,
1.4565542116112454e-15,inf,
1.5430384691835676e-15,inf,
1.6346578097814315e-15,inf,
1.73171713372336e-15,inf,
1.8345394450670975e-15,inf,
1.943466926536022e-15,inf,
2.0588620782701283e-15,inf,
2.1811089241915156e-15,inf,
2.3106142899989566e-15,inf,
2.4478091570444403e-15,inf,
2.5931500965976208e-15,inf,
2.7471207892708143e-15,inf,
2.9102336346614186e-15,inf,
3.083031456568283e-15,inf,
3.2660893094568846e-15,inf,
3.460016392185123e-15,inf,
3.665458075358149e-15,inf,
3.883098049059609e-15,inf,
4.113660598106074e-15,inf,
4.357913012397021e-15,inf,
4.616668140381601e-15,inf,
4.89078709413959e-15,inf,
5.181182115079497e-15,inf,
5.488819609789677e-15,inf,
5.814723366146207e-15,inf,
6.159977960380181e-15,inf,
6.52573236644241e-15,inf,
6.913203779678128e-15,inf,
7.323681667535288e-15,inf,
7.758532060787844e-15,inf,
8.219202099554231e-15,inf,
8.707224849239904e-15,inf,
9.224224402431152e-15,inf,
9.771921283717996e-15,inf,
1.0352138175434409e-14,inf,
1.0966805983368697e-14,inf,
1.1617970262631663e-14,inf,
1.2307798025066684e-14,inf,
1.3038584950855344e-14,inf,
1.3812763028320095e-14,inf,
1.4632908647345993e-14,inf,
1.550175117335772e-14,inf,
1.6422182030384097e-14,inf,
1.739726432343799e-14,inf,
1.8430243032234356e-14,inf,
1.9524555810168608e-14,inf,
2.068384442449619e-14,inf,
2.191196687578152e-14,inf,
2.3213010236951608e-14,inf,
2.4591304254680513e-14,inf,
2.6051435758367115e-14,inf,
2.7598263924661806e-14,inf,
2.923693644833607e-14,inf,
3.097290667331413e-14,inf,
3.2811951740874815e-14,inf,
3.4760191815419736e-14,inf,
3.682411045179003e-14,inf,
3.901057617190993e-14,inf,
4.1326865322565056e-14,inf,
4.3780686290381757e-14,inf,
4.638020515459344e-14,inf,
4.913407286296357e-14,inf,
5.2051454021305195e-14,inf,
5.514205739240302e-14,inf,
5.841616820583918e-14,inf,
6.188468238624396e-14,inf,
6.555914281388079e-14,inf,
6.945177773823689e-14,inf,
7.357554147245792e-14,inf,
7.794415750404951e-14,inf,
8.257216416531962e-14,inf,
8.747496301554433e-14,inf,
9.266887009586992e-14,inf,
9.817117022752184e-14,inf,
1.0400017453402227e-13,inf,
1.1017528137883874e-13,inf,
1.1671704092126606e-13,inf,
1.2364722350537175e-13,inf,
1.3098889210959888e-13,inf,
1.3876647909813072e-13,inf,
1.470058675294417e-13,2.245929780958287e+16,4.284271559205019e-77
1.557344772926135e-13,2.3927241037762036e+16,4.236276415126119e-77
1.649813563580802e-13,2.5912623293734628e+16,4.053656798066559e-77
1.7477727744646843e-13,2.8146126090927884e+16,3.855961438058505e-77
1.8515484043724022e-13,3.0581586931621976e+16,3.665642476542632e-77
1.9614858085794294e-13,3.3220018653545868e+16,3.486346887499315e-77
2.077950848151135e-13,3.607703277588276e+16,3.317484627800568e-77
2.2013311074930323e-13,3.916921219893365e+16,3.158501357851077e-77
2.332037184194286e-13,4.251412756575872e+16,3.0088767551945583e-77
2.4705040554568305e-13,4.613034337587082e+16,2.868122969738309e-77
2.6171925256574997e-13,5.0037410984494616e+16,2.7357832212152928e-77
2.772590759860481e-13,5.4255845040318536e+16,2.6114305413059997e-77
2.937215908383558e-13,5.880570848383378e+16,2.4947829663578762e-77
3.111615827824363e-13,6.371339637969862e+16,2.3851210784231164e-77
3.296370904274275e-13,6.89978270424606e+16,2.2824502335383374e-77
3.4920959847872787e-13,7.468400951569792e+16,2.1863369443085723e-77
3.6994424235315717e-13,8.080734146677485e+16,2.095901687649706e-77
3.919100249433402e-13,8.739883147308626e+16,2.0107658151822673e-77
4.1518004625266133e-13,9.445015161718438e+16,1.9322691808795346e-77
4.3983174666502285e-13,1.0198590875459451e+17,1.859913754552513e-77
4.659471646589634e-13,1.1003264499451517e+17,1.793206238730451e-77
4.936132098237927e-13,1.1862247999160829e+17,1.7315679879553458e-77
5.229219520863103e-13,1.2775283296287189e+17,1.675454616242724e-77
5.5397092811064e-13,1.3681346258622731e+17,1.6395183389691612e-77
5.868634658908172e-13,1.4395243265123224e+17,1.6620195632745981e-77
6.217090286163834e-13,1.446808004572946e+17,1.846513737304969e-77
6.58623578955309e-13,1.4246628005883814e+17,2.137225660853083e-77
6.977299649665552e-13,1.3953099243390587e+17,2.500537563930283e-77
7.391583289265477e-13,1.3428968852848118e+17,3.029630169134903e-77
7.830465404301183e-13,1.2720266907609514e+17,3.78950689850274e-77
8.295406552071858e-13,9.785567175637286e+16,7.186266941027376e-77
8.787954011821328e-13,5.216077194094715e+16,2.83849106233129e-76
9.30974693393395e-13,5.517940510200407e+16,2.8465690531988424e-76
9.862521794868805e-13,5.927462623003092e+16,2.768460323014251e-76
1.0448118175985629e-12,6.3809689596465704e+16,2.6810374985354233e-76
1.106848488549412e-12,6.868603192801422e+16,2.596805951950962e-76
1.1725686443899225e-12,7.385910661650896e+16,2.5203940905457118e-76
1.2421909954526188e-12,7.934019281360496e+16,2.4512649216239243e-76
1.315947238198918e-12,8.514227128152645e+16,2.388836857401487e-76
1.3940828262825814e-12,9.124722894721488e+16,2.3341984992738823e-76
1.4768577873957653e-12,9.75789972717437e+16,2.290681206725766e-76
1.5645475886160957e-12,1.0358032983380398e+17,2.281513147910683e-76
1.6574440531344684e-12,1.0916697645732064e+17,2.305128771623474e-76
1.7558563314144707e-12,1.093581755490251e+17,2.5779556612472782e-76
1.8601119300152673e-12,1.080017068430229e+17,2.9663126113454045e-76
1.9705578015018045e-12,1.0583996845995862e+17,3.4664022122471804e-76
2.0875614990694336e-12,1.0255165201550466e+17,4.1437470388624885e-76
2.2115123997254886e-12,9.719026632543472e+16,5.177656241885857e-76
2.3428230000983166e-12,8.817522570121147e+16,7.059692712567984e-76
2.4819302891862576e-12,7.736286314921099e+16,1.0292339177186062e-75
2.629297202614827e-12,7.946495679009083e+16,1.094783026679251e-75
2.7854141632417745e-12,8.344853758826549e+16,1.1141459828419038e-75
2.950800713236986e-12,8.832490629525326e+16,1.1161264207499494e-75
3.1260072430687034e-12,9.315122570852142e+16,1.1261670393331857e-75
3.311616823149788e-12,9.733893822105344e+16,1.1574625576414137e-75
3.508247144239796e-12,1.0006963359130242e+17,1.2290675188460496e-75
3.7165525730601676e-12,9.912655291468632e+16,1.4057255971588571e-75
3.937226329963491e-12,9.687545570440306e+16,1.6517839605080889e-75
4.171002795903881e-12,9.359164014465118e+16,1.9861262238958851e-75
4.4186599563859414e-12,8.664514431085523e+16,2.600714646726743e-75
4.681021990525308e-12,8.203045736337878e+16,3.256350142970234e-75
4.958962013837222e-12,8.142214598428002e+16,3.7093385579512847e-75
5.253404983880637e-12,8.37823990016586e+16,3.9316620468020967e-75
5.565330778427663e-12,8.672103144538386e+16,4.1184433317161027e-75
5.895777456402144e-12,8.870278092309718e+16,4.4178167053231453e-75
6.245844712439618e-12,8.936739214515349e+16,4.884545900121872e-75
6.6166975365647286e-12,8.65741728710084e+16,5.841250929496001e-75
7.009570091165632e-12,8.563852732647288e+16,6.699530749007494e-75
7.42576981816722e-12,8.594346039986469e+16,7.465472395493428e-75
7.866681790071574e-12,8.455290870833544e+16,8.656175671614919e-75
8.33377331934562e-12,inf,
8.82859884149515e-12,inf,
9.352805088076215e-12,inf,
9.908136566858686e-12,inf,
1.0496441367379669e-11,inf,
1.1119677311206978e-11,inf,
1.177991846738044e-11,inf,
1.2479362054713114e-11,inf,
1.3220335753923515e-11,inf,
1.4005305453932226e-11,inf,
1.4836883458102114e-11,inf,
1.571783717773161e-11,inf,
1.6651098341732538e-11,inf,
1.7639772753140452e-11,inf,
1.868715062492749e-11,inf,
1.9796717529513365e-11,inf,
2.0972165998413816e-11,inf,
2.2217407810628823e-11,inf,
2.3536587010665758e-11,inf,
2.4934093699518803e-11,inf,
2.6414578644501508e-11,inf,
2.7982968756551215e-11,inf,
2.9644483486512905e-11,inf,
3.140465219496749e-11,inf,
3.3269332553410384e-11,inf,
3.524473003801588e-11,inf,
3.7337418580863105e-11,inf,
3.9554362447347094e-11,inf,
4.190293941258152e-11,inf,
4.439096531392166e-11,inf,
4.7026720061317146e-11,inf,
4.981897519205165e-11,inf,
5.277702306157268e-11,inf,
5.5910707767553045e-11,inf,
5.923045791009732e-11,inf,
6.274732129711574e-11,inf,
6.647300171036314e-11,inf,
7.041989785449295e-11,inf,
7.460114461875008e-11,inf,
7.903065678861364e-11,inf,
8.372317535285951e-11,inf,
8.869431656014704e-11,inf,
9.396062388838821e-11,inf,
9.953962309984244e-11,inf,
1.0544988056516245e-10,inf,
1.1171106505048265e-10,inf,
1.183440131731731e-10,inf,
1.2537079874409196e-10,inf,
1.3281480622709373e-10,inf,
1.4070080856026865e-10,inf,
1.4905504959788822e-10,inf,
1.579053314474179e-10,inf,
1.6728110699224553e-10,inf,
1.7721357790803585e-10,inf,
1.8773579849889013e-10,inf,
1.988827856988812e-10,inf,
2.1069163560502786e-10,inf,
2.2320164692952392e-10,inf,
2.3645445178205637e-10,inf,
2.5049415421745026e-10,inf,
2.653674770096987e-10,inf,
2.811239171408467e-10,inf,
2.9781591052216706e-10,inf,
3.154990064958095e-10,inf,
3.3423205269764626e-10,inf,
3.54077390896527e-10,inf,
3.7510106446165764e-10,inf,
3.9737303814856123e-10,inf,
4.209674309350268e-10,inf,
4.459627626819105e-10,inf,
4.724422154396483e-10,inf,
5.004939102700953e-10,inf,
5.302112005048994e-10,inf,
5.616929824163815e-10,inf,
5.950440243347784e-10,inf,
6.303753153071294e-10,inf,
6.678044344581044e-10,inf,
7.074559422819879e-10,inf,
7.494617951679602e-10,inf,
7.939617845382291e-10,inf,
8.411040020603817e-10,inf,
8.910453324821541e-10,inf,
9.43951975728718e-10,inf,
1e-09,inf,
