source,benchmark,mu_eV,exclusion_probability
M33_X-7,eddington,1.7079097973894303e-18,0.0
M33_X-7,eddington,1.8093185260520697e-18,0.0
M33_X-7,eddington,1.9167484920568207e-18,0.0
M33_X-7,eddington,2.030557211956794e-18,0.0
M33_X-7,eddington,2.1511234301821585e-18,0.0
M33_X-7,eddington,2.2788483794649926e-18,0.0
M33_X-7,eddington,2.4141571161030127e-18,0.0
M33_X-7,eddington,2.557499934506018e-18,0.0
M33_X-7,eddington,2.7093538657320488e-18,0.0
M33_X-7,eddington,2.87022426500085e-18,0.0
M33_X-7,eddington,3.0406464934670687e-18,0.0
M33_X-7,eddington,3.2211876998506394e-18,0.0
M33_X-7,eddington,3.4124487078528964e-18,0.0
M33_X-7,eddington,3.615066015639745e-18,0.0
M33_X-7,eddington,3.8297139140462926e-18,0.0
M33_X-7,eddington,4.057106730551403e-18,0.0
M33_X-7,eddington,4.298001206490816e-18,0.0
M33_X-7,eddington,4.5531990154189785e-18,0.0
M33_X-7,eddington,4.823549431001458e-18,0.0
M33_X-7,eddington,5.109952153315599e-18,0.0
M33_X-7,eddington,5.413360302965376e-18,0.0
M33_X-7,eddington,5.734783592974964e-18,0.0
M33_X-7,eddington,6.075291689016077e-18,0.0
M33_X-7,eddington,6.436017769151932e-18,0.0
M33_X-7,eddington,6.8181622949444934e-18,0.0
M33_X-7,eddington,7.222997006474758e-18,0.0
M33_X-7,eddington,7.65186915457085e-18,0.0
M33_X-7,eddington,8.10620598432847e-18,0.0
M33_X-7,eddington,8.587519484845144e-18,0.0
M33_X-7,eddington,9.097411420973753e-18,0.0
M33_X-7,eddington,9.637578663841069e-18,0.0
M33_X-7,eddington,1.0209818837871523e-17,0.0
M33_X-7,eddington,1.0816036303107094e-17,0.0
M33_X-7,eddington,1.1458248492734289e-17,0.0
M33_X-7,eddington,1.2138592626906289e-17,0.0
M33_X-7,eddington,1.285933282520587e-17,0.0
M33_X-7,eddington,1.3622867641416497e-17,0.0
M33_X-7,eddington,1.4431738045677345e-17,0.0
M33_X-7,eddington,1.5288635880587233e-17,0.0
M33_X-7,eddington,1.6196412819396532e-17,0.0
M33_X-7,eddington,1.7158089856100135e-17,0.0
M33_X-7,eddington,1.817686735901395e-17,0.0
M33_X-7,eddington,1.9256135721291946e-17,0.0
M33_X-7,eddington,2.0399486643826927e-17,0.0
M33_X-7,eddington,2.1610725088083765e-17,0.0
M33_X-7,eddington,2.2893881938644698e-17,0.0
M33_X-7,eddington,2.4253227417603553e-17,0.0
M33_X-7,eddington,2.5693285295451916e-17,0.0
M33_X-7,eddington,2.721884794575185e-17,0.0
M33_X-7,eddington,2.883499229369075e-17,0.0
M33_X-7,eddington,3.0547096711599805e-17,0.0
M33_X-7,eddington,3.2360858917655995e-17,0.0
M33_X-7,eddington,3.42823149373396e-17,0.0
M33_X-7,eddington,3.6317859190743535e-17,0.0
M33_X-7,eddington,3.847426577258498e-17,0.0
M33_X-7,eddington,4.075871099574057e-17,0.0
M33_X-7,eddington,4.3178797273320216e-17,0.0
M33_X-7,eddington,4.574257841876643e-17,0.0
M33_X-7,eddington,4.8458586448165007e-17,0.0
M33_X-7,eddington,5.1335859973973185e-17,0.0
M33_X-7,eddington,5.4383974284648126e-17,0.0
M33_X-7,eddington,5.761307321028087e-17,0.0
M33_X-7,eddington,6.103390288028596e-17,0.0
M33_X-7,eddington,6.465784748548132e-17,0.0
M33_X-7,eddington,6.849696716357482e-17,0.0
M33_X-7,eddington,7.256403813413898e-17,0.0
M33_X-7,eddington,7.68725952166372e-17,0.0
M33_X-7,eddington,8.143697687299496e-17,0.0
M33_X-7,eddington,8.62723729246145e-17,0.0
M33_X-7,eddington,9.139487510263756e-17,0.0
M33_X-7,eddington,9.682153059967095e-17,0.0
M33_X-7,eddington,1.02570398801195e-16,0.0
M33_X-7,eddington,1.0866061138546002e-16,0.0
M33_X-7,eddington,1.1511243599185759e-16,0.0
M33_X-7,eddington,1.2194734366967382e-16,0.0
M33_X-7,eddington,1.291880803316632e-16,0.0
M33_X-7,eddington,1.3685874245025204e-16,0.0
M33_X-7,eddington,1.449848572482715e-16,0.0
M33_X-7,eddington,1.5359346765108953e-16,0.0
M33_X-7,eddington,1.627132222828583e-16,0.0
M33_X-7,eddington,1.72374470806362e-16,0.0
M33_X-7,eddington,1.82609364923773e-16,0.0
M33_X-7,eddington,1.934519653744048e-16,0.0
M33_X-7,eddington,2.0493835528556603e-16,0.0
M33_X-7,eddington,2.1710676025372716e-16,0.0
M33_X-7,eddington,2.2999767555560525e-16,0.0
M33_X-7,eddington,2.436540009125466e-16,0.0
M33_X-7,eddington,2.5812118325664715e-16,0.0
M33_X-7,eddington,2.7344736797375743e-16,0.0
M33_X-7,eddington,2.8968355912668217e-16,0.0
M33_X-7,eddington,3.068837891917639e-16,0.0
M33_X-7,eddington,3.2510529887376294e-16,0.0
M33_X-7,eddington,3.4440872759738236e-16,0.0
M33_X-7,eddington,3.6485831530942397e-16,0.0
M33_X-7,eddington,3.8652211626312697e-16,0.0
M33_X-7,eddington,4.0947222549614935e-16,0.0
M33_X-7,eddington,4.3378501875590024e-16,0.0
M33_X-7,eddington,4.595414066706332e-16,0.0
M33_X-7,eddington,4.868271040122284e-16,0.0
M33_X-7,eddington,5.157329149466576e-16,0.0
M33_X-7,eddington,5.463550352214865e-16,0.0
M33_X-7,eddington,5.78795372296043e-16,0.0
M33_X-7,eddington,6.131618844795769e-16,0.0
M33_X-7,eddington,6.495689402061204e-16,0.0
M33_X-7,eddington,6.88137698641567e-16,0.0
M33_X-7,eddington,7.289965128896882e-16,0.0
M33_X-7,eddington,7.722813571388658e-16,0.0
M33_X-7,eddington,8.1813627917105845e-16,0.0
M33_X-7,eddington,8.66713879738926e-16,0.0
M33_X-7,eddington,9.181758204063624e-16,0.0
M33_X-7,eddington,9.72693361542618e-16,0.0
M33_X-7,eddington,1.0304479322602316e-15,0.0
M33_X-7,eddington,1.0916317341936124e-15,0.0
M33_X-7,eddington,1.1564483811275378e-15,0.0
M33_X-7,eddington,1.2251135766041177e-15,0.0
M33_X-7,eddington,1.2978558317634186e-15,0.0
M33_X-7,eddington,1.3749172258064205e-15,0.0
M33_X-7,eddington,1.4565542116112454e-15,0.0
M33_X-7,eddington,1.5430384691835676e-15,0.0
M33_X-7,eddington,1.6346578097814315e-15,0.0
M33_X-7,eddington,1.73171713372336e-15,0.0
M33_X-7,eddington,1.8345394450670975e-15,0.0
M33_X-7,eddington,1.943466926536022e-15,0.0
M33_X-7,eddington,2.0588620782701283e-15,0.0
M33_X-7,eddington,2.1811089241915156e-15,0.0
M33_X-7,eddington,2.3106142899989566e-15,0.0
M33_X-7,eddington,2.4478091570444403e-15,0.0
M33_X-7,eddington,2.5931500965976208e-15,0.0
M33_X-7,eddington,2.7471207892708143e-15,0.0
M33_X-7,eddington,2.9102336346614186e-15,0.0
M33_X-7,eddington,3.083031456568283e-15,0.0
M33_X-7,eddington,3.2660893094568846e-15,0.0
M33_X-7,eddington,3.460016392185123e-15,0.0
M33_X-7,eddington,3.665458075358149e-15,0.0
M33_X-7,eddington,3.883098049059609e-15,0.0
M33_X-7,eddington,4.113660598106074e-15,0.0
M33_X-7,eddington,4.357913012397021e-15,0.0
M33_X-7,eddington,4.616668140381601e-15,0.0
M33_X-7,eddington,4.89078709413959e-15,0.0
M33_X-7,eddington,5.181182115079497e-15,0.0
M33_X-7,eddington,5.488819609789677e-15,0.0
M33_X-7,eddington,5.814723366146207e-15,0.0
M33_X-7,eddington,6.159977960380181e-15,0.0
M33_X-7,eddington,6.52573236644241e-15,0.0
M33_X-7,eddington,6.913203779678128e-15,0.0
M33_X-7,eddington,7.323681667535288e-15,0.0
M33_X-7,eddington,7.758532060787844e-15,0.0
M33_X-7,eddington,8.219202099554231e-15,0.0
M33_X-7,eddington,8.707224849239904e-15,0.0
M33_X-7,eddington,9.224224402431152e-15,0.0
M33_X-7,eddington,9.771921283717996e-15,0.0
M33_X-7,eddington,1.0352138175434409e-14,0.0
M33_X-7,eddington,1.0966805983368697e-14,0.0
M33_X-7,eddington,1.1617970262631663e-14,0.0
M33_X-7,eddington,1.2307798025066684e-14,0.0
M33_X-7,eddington,1.3038584950855344e-14,0.0
M33_X-7,eddington,1.3812763028320095e-14,0.0
M33_X-7,eddington,1.4632908647345993e-14,0.0
M33_X-7,eddington,1.550175117335772e-14,0.0
M33_X-7,eddington,1.6422182030384097e-14,0.0
M33_X-7,eddington,1.739726432343799e-14,0.0
M33_X-7,eddington,1.8430243032234356e-14,0.0
M33_X-7,eddington,1.9524555810168608e-14,0.0
M33_X-7,eddington,2.068384442449619e-14,0.0
M33_X-7,eddington,2.191196687578152e-14,0.0
M33_X-7,eddington,2.3213010236951608e-14,0.0
M33_X-7,eddington,2.4591304254680513e-14,0.0
M33_X-7,eddington,2.6051435758367115e-14,0.0
M33_X-7,eddington,2.7598263924661806e-14,0.0
M33_X-7,eddington,2.923693644833607e-14,0.0
M33_X-7,eddington,3.097290667331413e-14,0.0
M33_X-7,eddington,3.2811951740874815e-14,0.0
M33_X-7,eddington,3.4760191815419736e-14,0.0
M33_X-7,eddington,3.682411045179003e-14,0.0
M33_X-7,eddington,3.901057617190993e-14,0.0
M33_X-7,eddington,4.1326865322565056e-14,0.0
M33_X-7,eddington,4.3780686290381757e-14,0.0
M33_X-7,eddington,4.638020515459344e-14,0.0
M33_X-7,eddington,4.913407286296357e-14,0.0
M33_X-7,eddington,5.2051454021305195e-14,0.0
M33_X-7,eddington,5.514205739240302e-14,0.0
M33_X-7,eddington,5.841616820583918e-14,0.0
M33_X-7,eddington,6.188468238624396e-14,0.0
M33_X-7,eddington,6.555914281388079e-14,0.0
M33_X-7,eddington,6.945177773823689e-14,0.0
M33_X-7,eddington,7.357554147245792e-14,0.0
M33_X-7,eddington,7.794415750404951e-14,0.0
M33_X-7,eddington,8.257216416531962e-14,0.0
M33_X-7,eddington,8.747496301554433e-14,0.0
M33_X-7,eddington,9.266887009586992e-14,0.001088139281828074
M33_X-7,eddington,9.817117022752184e-14,0.010337323177366704
M33_X-7,eddington,1.0400017453402227e-13,0.055495103373231776
M33_X-7,eddington,1.1017528137883874e-13,0.19205658324265507
M33_X-7,eddington,1.1671704092126606e-13,0.4178454842219804
M33_X-7,eddington,1.2364722350537175e-13,0.6528835690968444
M33_X-7,eddington,1.3098889210959888e-13,0.8351468988030468
M33_X-7,eddington,1.3876647909813072e-13,0.9396082698585418
M33_X-7,eddington,1.470058675294417e-13,0.9820457018498367
M33_X-7,eddington,1.557344772926135e-13,0.9951033732317737
M33_X-7,eddington,1.649813563580802e-13,0.999455930359086
M33_X-7,eddington,1.7477727744646843e-13,1.0
M33_X-7,eddington,1.8515484043724022e-13,1.0
M33_X-7,eddington,1.9614858085794294e-13,1.0
M33_X-7,eddington,2.077950848151135e-13,1.0
M33_X-7,eddington,2.2013311074930323e-13,1.0
M33_X-7,eddington,2.332037184194286e-13,1.0
M33_X-7,eddington,2.4705040554568305e-13,1.0
M33_X-7,eddington,2.6171925256574997e-13,1.0
M33_X-7,eddington,2.772590759860481e-13,1.0
M33_X-7,eddington,2.937215908383558e-13,1.0
M33_X-7,eddington,3.111615827824363e-13,1.0
M33_X-7,eddington,3.296370904274275e-13,1.0
M33_X-7,eddington,3.4920959847872787e-13,1.0
M33_X-7,eddington,3.6994424235315717e-13,1.0
M33_X-7,eddington,3.919100249433402e-13,1.0
M33_X-7,eddington,4.1518004625266133e-13,1.0
M33_X-7,eddington,4.3983174666502285e-13,1.0
M33_X-7,eddington,4.659471646589634e-13,1.0
M33_X-7,eddington,4.936132098237927e-13,1.0
M33_X-7,eddington,5.229219520863103e-13,1.0
M33_X-7,eddington,5.5397092811064e-13,1.0
M33_X-7,eddington,5.868634658908172e-13,1.0
M33_X-7,eddington,6.217090286163834e-13,1.0
M33_X-7,eddington,6.58623578955309e-13,1.0
M33_X-7,eddington,6.977299649665552e-13,1.0
M33_X-7,eddington,7.391583289265477e-13,1.0
M33_X-7,eddington,7.830465404301183e-13,1.0
M33_X-7,eddington,8.295406552071858e-13,1.0
M33_X-7,eddington,8.787954011821328e-13,1.0
M33_X-7,eddington,9.30974693393395e-13,1.0
M33_X-7,eddington,9.862521794868805e-13,1.0
M33_X-7,eddington,1.0448118175985629e-12,1.0
M33_X-7,eddington,1.106848488549412e-12,1.0
M33_X-7,eddington,1.1725686443899225e-12,1.0
M33_X-7,eddington,1.2421909954526188e-12,1.0
M33_X-7,eddington,1.315947238198918e-12,1.0
M33_X-7,eddington,1.3940828262825814e-12,1.0
M33_X-7,eddington,1.4768577873957653e-12,1.0
M33_X-7,eddington,1.5645475886160957e-12,1.0
M33_X-7,eddington,1.6574440531344684e-12,1.0
M33_X-7,eddington,1.7558563314144707e-12,1.0
M33_X-7,eddington,1.8601119300152673e-12,1.0
M33_X-7,eddington,1.9705578015018045e-12,1.0
M33_X-7,eddington,2.0875614990694336e-12,1.0
M33_X-7,eddington,2.2115123997254886e-12,1.0
M33_X-7,eddington,2.3428230000983166e-12,1.0
M33_X-7,eddington,2.4819302891862576e-12,1.0
M33_X-7,eddington,2.629297202614827e-12,1.0
M33_X-7,eddington,2.7854141632417745e-12,1.0
M33_X-7,eddington,2.950800713236986e-12,1.0
M33_X-7,eddington,3.1260072430687034e-12,1.0
M33_X-7,eddington,3.311616823149788e-12,1.0
M33_X-7,eddington,3.508247144239796e-12,1.0
M33_X-7,eddington,3.7165525730601676e-12,1.0
M33_X-7,eddington,3.937226329963491e-12,1.0
M33_X-7,eddington,4.171002795903881e-12,1.0
M33_X-7,eddington,4.4186599563859414e-12,1.0
M33_X-7,eddington,4.681021990525308e-12,1.0
M33_X-7,eddington,4.958962013837222e-12,1.0
M33_X-7,eddington,5.253404983880637e-12,1.0
M33_X-7,eddington,5.565330778427663e-12,1.0
M33_X-7,eddington,5.895777456402144e-12,0.999455930359086
M33_X-7,eddington,6.245844712439618e-12,0.9983677910772579
M33_X-7,eddington,6.6166975365647286e-12,0.999455930359086
M33_X-7,eddington,7.009570091165632e-12,1.0
M33_X-7,eddington,7.42576981816722e-12,1.0
M33_X-7,eddington,7.866681790071574e-12,0.9945593035908596
M33_X-7,eddington,8.33377331934562e-12,0.9488574537540805
M33_X-7,eddington,8.82859884149515e-12,0.7600652883569097
M33_X-7,eddington,9.352805088076215e-12,0.3639825897714907
M33_X-7,eddington,9.908136566858686e-12,0.07018498367791078
M33_X-7,eddington,1.0496441367379669e-11,0.007616974972796518
M33_X-7,eddington,1.1119677311206978e-11,0.0
M33_X-7,eddington,1.177991846738044e-11,0.0
M33_X-7,eddington,1.2479362054713114e-11,0.0
M33_X-7,eddington,1.3220335753923515e-11,0.0
M33_X-7,eddington,1.4005305453932226e-11,0.0
M33_X-7,eddington,1.4836883458102114e-11,0.0
M33_X-7,eddington,1.571783717773161e-11,0.0
M33_X-7,eddington,1.6651098341732538e-11,0.0
M33_X-7,eddington,1.7639772753140452e-11,0.0
M33_X-7,eddington,1.868715062492749e-11,0.0
M33_X-7,eddington,1.9796717529513365e-11,0.0
M33_X-7,eddington,2.0972165998413816e-11,0.0
M33_X-7,eddington,2.2217407810628823e-11,0.0
M33_X-7,eddington,2.3536587010665758e-11,0.0
M33_X-7,eddington,2.4934093699518803e-11,0.0
M33_X-7,eddington,2.6414578644501508e-11,0.0
M33_X-7,eddington,2.7982968756551215e-11,0.0
M33_X-7,eddington,2.9644483486512905e-11,0.0
M33_X-7,eddington,3.140465219496749e-11,0.0
M33_X-7,eddington,3.3269332553410384e-11,0.0
M33_X-7,eddington,3.524473003801588e-11,0.0
M33_X-7,eddington,3.7337418580863105e-11,0.0
M33_X-7,eddington,3.9554362447347094e-11,0.0
M33_X-7,eddington,4.190293941258152e-11,0.0
M33_X-7,eddington,4.439096531392166e-11,0.0
M33_X-7,eddington,4.7026720061317146e-11,0.0
M33_X-7,eddington,4.981897519205165e-11,0.0
M33_X-7,eddington,5.277702306157268e-11,0.0
M33_X-7,eddington,5.5910707767553045e-11,0.0
M33_X-7,eddington,5.923045791009732e-11,0.0
M33_X-7,eddington,6.274732129711574e-11,0.0
M33_X-7,eddington,6.647300171036314e-11,0.0
M33_X-7,eddington,7.041989785449295e-11,0.0
M33_X-7,eddington,7.460114461875008e-11,0.0
M33_X-7,eddington,7.903065678861364e-11,0.0
M33_X-7,eddington,8.372317535285951e-11,0.0
M33_X-7,eddington,8.869431656014704e-11,0.0
M33_X-7,eddington,9.396062388838821e-11,0.0
M33_X-7,eddington,9.953962309984244e-11,0.0
M33_X-7,eddington,1.0544988056516245e-10,0.0
M33_X-7,eddington,1.1171106505048265e-10,0.0
M33_X-7,eddington,1.183440131731731e-10,0.0
M33_X-7,eddington,1.2537079874409196e-10,0.0
M33_X-7,eddington,1.3281480622709373e-10,0.0
M33_X-7,eddington,1.4070080856026865e-10,0.0
M33_X-7,eddington,1.4905504959788822e-10,0.0
M33_X-7,eddington,1.579053314474179e-10,0.0
M33_X-7,eddington,1.6728110699224553e-10,0.0
M33_X-7,eddington,1.7721357790803585e-10,0.0
M33_X-7,eddington,1.8773579849889013e-10,0.0
M33_X-7,eddington,1.988827856988812e-10,0.0
M33_X-7,eddington,2.1069163560502786e-10,0.0
M33_X-7,eddington,2.2320164692952392e-10,0.0
M33_X-7,eddington,2.3645445178205637e-10,0.0
M33_X-7,eddington,2.5049415421745026e-10,0.0
M33_X-7,eddington,2.653674770096987e-10,0.0
M33_X-7,eddington,2.811239171408467e-10,0.0
M33_X-7,eddington,2.9781591052216706e-10,0.0
M33_X-7,eddington,3.154990064958095e-10,0.0
M33_X-7,eddington,3.3423205269764626e-10,0.0
M33_X-7,eddington,3.54077390896527e-10,0.0
M33_X-7,eddington,3.7510106446165764e-10,0.0
M33_X-7,eddington,3.9737303814856123e-10,0.0
M33_X-7,eddington,4.209674309350268e-10,0.0
M33_X-7,eddington,4.459627626819105e-10,0.0
M33_X-7,eddington,4.724422154396483e-10,0.0
M33_X-7,eddington,5.004939102700953e-10,0.0
M33_X-7,eddington,5.302112005048994e-10,0.0
M33_X-7,eddington,5.616929824163815e-10,0.0
M33_X-7,eddington,5.950440243347784e-10,0.0
M33_X-7,eddington,6.303753153071294e-10,0.0
M33_X-7,eddington,6.678044344581044e-10,0.0
M33_X-7,eddington,7.074559422819879e-10,0.0
M33_X-7,eddington,7.494617951679602e-10,0.0
M33_X-7,eddington,7.939617845382291e-10,0.0
M33_X-7,eddington,8.411040020603817e-10,0.0
M33_X-7,eddington,8.910453324821541e-10,0.0
M33_X-7,eddington,9.43951975728718e-10,0.0
M33_X-7,eddington,1e-09,0.0
M33_X-7,hubble,3.1622776601683793e-22,0.0
M33_X-7,hubble,3.3500408299131226e-22,0.0
M33_X-7,hubble,3.548952612051e-22,0.0
M33_X-7,hubble,3.7596749657854597e-22,0.0
M33_X-7,hubble,3.98290915476188e-22,0.0
M33_X-7,hubble,4.219398080805024e-22,0.0
M33_X-7,hubble,4.469928756224795e-22,0.0
M33_X-7,hubble,4.735334922917121e-22,0.0
M33_X-7,hubble,5.016499826976354e-22,0.0
M33_X-7,hubble,5.314359158053252e-22,0.0
M33_X-7,hubble,5.6299041632394675e-22,0.0
M33_X-7,hubble,5.964184945842484e-22,0.0
M33_X-7,hubble,6.31831396002767e-22,0.0
M33_X-7,hubble,6.693469712958641e-22,0.0
M33_X-7,hubble,7.090900686755171e-22,0.0
M33_X-7,hubble,7.511929493320953e-22,0.0
M33_X-7,hubble,7.957957275868697e-22,0.0
M33_X-7,hubble,8.430468371788967e-22,0.0
M33_X-7,hubble,8.93103525238212e-22,0.0
M33_X-7,hubble,9.461323755890779e-22,0.0
M33_X-7,hubble,1.0023098631248402e-21,0.0
M33_X-7,hubble,1.0618229410993868e-21,0.0
M33_X-7,hubble,1.1248696632894588e-21,0.0
M33_X-7,hubble,1.1916598430985636e-21,0.0
