dataset,instance,agents,method,success,runtime_sec,sum_of_costs,makespan,remaining_conflicts,initial_conflicts_est,lns_rounds
empty,eval_map_empty_23.npy,16,hybrid,1,0.02101144500193186,272.0,25.0,0.0,0.0,0.0
empty,eval_map_empty_24.npy,16,prioritized,1,0.015516564999416005,292.0,37.0,0.0,,
empty,eval_map_empty_24.npy,16,hybrid,1,0.029843838998203864,292.0,37.0,0.0,1.0,1.0
empty,eval_map_empty_25.npy,16,prioritized,1,0.01184737500079791,281.0,35.0,0.0,,
empty,eval_map_empty_25.npy,16,hybrid,1,0.03567942600056995,287.0,35.0,0.0,1.0,1.0
empty,eval_map_empty_26.npy,16,prioritized,1,0.01616795799782267,323.0,38.0,0.0,,
empty,eval_map_empty_26.npy,16,hybrid,1,0.0663464909994218,330.0,38.0,0.0,2.0,1.0
empty,eval_map_empty_27.npy,16,prioritized,1,0.009086709000257542,228.0,29.0,0.0,,
empty,eval_map_empty_27.npy,16,hybrid,1,0.013342291000299156,231.0,29.0,0.0,0.0,0.0
maze,eval_map_maze_1.npy,12,prioritized,0,0.09315810900079668,291.0,51.0,3.0,,
maze,eval_map_maze_1.npy,12,hybrid,1,0.0663647530018352,288.0,44.0,0.0,2.0,1.0
maze,eval_map_maze_10.npy,12,prioritized,1,0.0116017100008321,283.0,44.0,0.0,,
maze,eval_map_maze_10.npy,12,hybrid,1,0.018218543998955283,283.0,39.0,0.0,1.0,1.0
maze,eval_map_maze_100.npy,12,prioritized,1,0.010861037000722717,222.0,31.0,0.0,,
maze,eval_map_maze_100.npy,12,hybrid,1,0.01794231900203158,223.0,31.0,0.0,1.0,1.0
maze,eval_map_maze_11.npy,12,prioritized,1,0.025133703999017598,277.0,37.0,0.0,,
maze,eval_map_maze_11.npy,12,hybrid,1,0.04337523200229043,283.0,37.0,0.0,2.0,1.0
maze,eval_map_maze_12.npy,12,prioritized,1,0.042812226001842646,316.0,43.0,0.0,,
maze,eval_map_maze_12.npy,12,hybrid,1,0.036085675998037914,307.0,40.0,0.0,0.0,0.0
maze,eval_map_maze_13.npy,12,prioritized,1,0.019341930998052703,274.0,39.0,0.0,,
maze,eval_map_maze_13.npy,12,hybrid,1,0.022639832001004834,291.0,37.0,0.0,0.0,0.0
maze,eval_map_maze_14.npy,12,prioritized,0,0.022375616001227172,264.0,47.0,2.0,,
maze,eval_map_maze_14.npy,12,hybrid,1,0.04855502499776776,258.0,46.0,0.0,4.0,1.0
maze,eval_map_maze_15.npy,12,prioritized,1,0.015734174001408974,276.0,39.0,0.0,,
maze,eval_map_maze_15.npy,12,hybrid,1,0.026740511999378214,299.0,36.0,0.0,0.0,0.0
maze,eval_map_maze_16.npy,12,prioritized,1,0.021578882002359023,320.0,45.0,0.0,,
maze,eval_map_maze_16.npy,12,hybrid,1,0.028922383997269208,326.0,37.0,0.0,1.0,1.0
maze,eval_map_maze_17.npy,12,prioritized,1,0.023161723001976497,255.0,46.0,0.0,,
maze,eval_map_maze_17.npy,12,hybrid,1,0.03353273599714157,259.0,42.0,0.0,1.0,1.0
maze,eval_map_maze_18.npy,12,prioritized,0,0.018500974001653958,250.0,42.0,2.0,,
maze,eval_map_maze_18.npy,12,hybrid,0,0.17066301199884037,246.0,41.0,1.0,1.0,12.0
maze,eval_map_maze_19.npy,12,prioritized,1,0.011145483000291279,234.0,30.0,0.0,,
maze,eval_map_maze_19.npy,12,hybrid,1,0.012388290000671986,233.0,27.0,0.0,0.0,0.0
maze,eval_map_maze_2.npy,12,prioritized,0,0.01620982699751039,251.0,43.0,1.0,,
maze,eval_map_maze_2.npy,12,hybrid,1,0.03721101699920837,254.0,36.0,0.0,2.0,1.0
maze,eval_map_maze_20.npy,12,prioritized,0,0.0072584120025567245,181.0,29.0,1.0,,
maze,eval_map_maze_20.npy,12,hybrid,1,0.009762960999069037,183.0,24.0,0.0,0.0,0.0
maze,eval_map_maze_21.npy,12,prioritized,1,0.014324037001642864,233.0,39.0,0.0,,
maze,eval_map_maze_21.npy,12,hybrid,1,0.026610158001858508,237.0,35.0,0.0,3.0,1.0
maze,eval_map_maze_22.npy,12,prioritized,0,0.02299404099903768,264.0,40.0,1.0,,
maze,eval_map_maze_22.npy,12,hybrid,1,0.027831444000185,260.0,36.0,0.0,1.0,1.0
maze,eval_map_maze_23.npy,12,prioritized,1,0.015606885997840436,215.0,36.0,0.0,,
maze,eval_map_maze_23.npy,12,hybrid,1,0.013808431001962163,215.0,35.0,0.0,0.0,0.0
maze,eval_map_maze_24.npy,12,prioritized,0,0.03581872200084035,233.0,44.0,1.0,,
maze,eval_map_maze_24.npy,12,hybrid,1,0.018000723997829482,221.0,31.0,0.0,0.0,0.0
maze,eval_map_maze_25.npy,12,prioritized,1,0.024886497001716634,294.0,36.0,0.0,,
maze,eval_map_maze_25.npy,12,hybrid,0,0.4304373009981646,315.0,46.0,1.0,2.0,12.0
maze,eval_map_maze_26.npy,12,prioritized,0,0.03160808500251733,240.0,37.0,1.0,,
maze,eval_map_maze_26.npy,12,hybrid,1,0.02242971200030297,243.0,28.0,0.0,0.0,0.0
random_large,eval_map_1.npy,20,prioritized,1,0.09804468600123073,642.0,60.0,0.0,,
random_large,eval_map_1.npy,20,hybrid,1,0.07310526600122103,640.0,60.0,0.0,0.0,0.0
random_large,eval_map_10.npy,20,prioritized,1,0.04624440200132085,712.0,74.0,0.0,,
random_large,eval_map_10.npy,20,hybrid,1,0.06381898899780936,715.0,74.0,0.0,0.0,0.0
random_large,eval_map_100.npy,20,prioritized,1,0.0459155019998434,636.0,77.0,0.0,,
random_large,eval_map_100.npy,20,hybrid,1,0.08185754300211556,636.0,77.0,0.0,1.0,1.0
random_large,eval_map_11.npy,20,prioritized,1,0.04355385999951977,670.0,64.0,0.0,,
random_large,eval_map_11.npy,20,hybrid,1,0.08901126099954126,685.0,64.0,0.0,1.0,1.0
random_large,eval_map_12.npy,20,prioritized,1,0.10704280900245067,781.0,74.0,0.0,,
random_large,eval_map_12.npy,20,hybrid,1,0.09068521500012139,781.0,74.0,0.0,0.0,0.0
random_large,eval_map_13.npy,20,prioritized,1,0.06190232700100751,756.0,86.0,0.0,,
random_large,eval_map_13.npy,20,hybrid,1,0.10967534399969736,757.0,86.0,0.0,1.0,1.0
random_large,eval_map_14.npy,20,prioritized,0,0.13412901899937424,,,,,
random_large,eval_map_14.npy,20,hybrid,0,0.1409610349983268,,,,,0.0
random_large,eval_map_15.npy,20,prioritized,1,0.05332456799806096,720.0,60.0,0.0,,
random_large,eval_map_15.npy,20,hybrid,1,0.14584903699869756,722.0,60.0,0.0,2.0,1.0
random_large,eval_map_16.npy,20,prioritized,1,0.03939634699781891,680.0,63.0,0.0,,
random_large,eval_map_16.npy,20,hybrid,1,0.10658569900260773,680.0,63.0,0.0,4.0,1.0
random_large,eval_map_17.npy,20,prioritized,1,0.06887200599885546,722.0,73.0,0.0,,
random_large,eval_map_17.npy,20,hybrid,1,0.1404635920007422,729.0,73.0,0.0,2.0,1.0
random_large,eval_map_18.npy,20,prioritized,1,0.04033419000188587,679.0,79.0,0.0,,
random_large,eval_map_18.npy,20,hybrid,1,0.08441056399897207,687.0,79.0,0.0,1.0,1.0
random_large,eval_map_19.npy,20,prioritized,1,0.10771464799836394,852.0,75.0,0.0,,
random_large,eval_map_19.npy,20,hybrid,1,0.14151251500152284,856.0,75.0,0.0,2.0,1.0
random_large,eval_map_2.npy,20,prioritized,1,0.04668813999887789,714.0,77.0,0.0,,
random_large,eval_map_2.npy,20,hybrid,1,0.06236102100228891,718.0,77.0,0.0,0.0,0.0
random_large,eval_map_20.npy,20,prioritized,1,0.04999103299996932,741.0,71.0,0.0,,
random_large,eval_map_20.npy,20,hybrid,1,0.0893092490005074,743.0,71.0,0.0,1.0,1.0
random_large,eval_map_21.npy,20,prioritized,1,0.030563602998881834,583.0,48.0,0.0,,
random_large,eval_map_21.npy,20,hybrid,1,0.06814128699988942,583.0,48.0,0.0,2.0,1.0
random_large,eval_map_22.npy,20,prioritized,1,0.05675661399800447,698.0,75.0,0.0,,
random_large,eval_map_22.npy,20,hybrid,1,0.09345180600212188,699.0,75.0,0.0,1.0,1.0
random_large,eval_map_23.npy,20,prioritized,1,0.03500532900216058,523.0,55.0,0.0,,
random_large,eval_map_23.npy,20,hybrid,1,0.14754549300050712,530.0,55.0,0.0,3.0,1.0
random_large,eval_map_24.npy,20,prioritized,1,0.06274938699789345,628.0,60.0,0.0,,
random_large,eval_map_24.npy,20,hybrid,1,0.14144104899969534,630.0,60.0,0.0,6.0,2.0
random_large,eval_map_25.npy,20,prioritized,1,0.058037691000208724,683.0,67.0,0.0,,
random_large,eval_map_25.npy,20,hybrid,1,0.10430025399909937,694.0,67.0,0.0,1.0,1.0
random_large,eval_map_26.npy,20,prioritized,1,0.03862114500225289,586.0,66.0,0.0,,
random_large,eval_map_26.npy,20,hybrid,1,0.04929916599940043,586.0,66.0,0.0,0.0,0.0
random_medium,eval_map_1.npy,12,prioritized,1,0.006423951999749988,223.0,41.0,0.0,,
random_medium,eval_map_1.npy,12,hybrid,1,0.017924787000083597,225.0,41.0,0.0,1.0,1.0
random_medium,eval_map_10.npy,12,prioritized,1,0.004992383997887373,157.0,27.0,0.0,,
random_medium,eval_map_10.npy,12,hybrid,1,0.007157398002163973,157.0,27.0,0.0,0.0,0.0
random_medium,eval_map_100.npy,12,prioritized,1,0.009115586999541847,237.0,28.0,0.0,,
random_medium,eval_map_100.npy,12,hybrid,1,0.011092599997937214,238.0,28.0,0.0,0.0,0.0
random_medium,eval_map_11.npy,12,prioritized,1,0.00812886999847251,228.0,29.0,0.0,,
random_medium,eval_map_11.npy,12,hybrid,1,0.010156119002203923,228.0,28.0,0.0,0.0,0.0
random_medium,eval_map_12.npy,12,prioritized,1,0.010349952997785294,228.0,32.0,0.0,,
random_medium,eval_map_12.npy,12,hybrid,1,0.012908446999063017,228.0,32.0,0.0,0.0,0.0
random_medium,eval_map_13.npy,12,prioritized,1,0.017771106999134645,246.0,31.0,0.0,,
random_medium,eval_map_13.npy,12,hybrid,1,0.01992541599975084,246.0,31.0,0.0,0.0,0.0
random_medium,eval_map_14.npy,12,prioritized,1,0.011996945002465509,207.0,41.0,0.0,,
random_medium,eval_map_14.npy,12,hybrid,1,0.021361082999646896,211.0,41.0,0.0,1.0,1.0
random_medium,eval_map_15.npy,12,prioritized,1,0.008129170997563051,203.0,30.0,0.0,,
random_medium,eval_map_15.npy,12,hybrid,1,0.014629109999077627,204.0,30.0,0.0,1.0,1.0
random_medium,eval_map_16.npy,12,prioritized,1,0.008381138999538962,199.0,33.0,0.0,,
random_medium,eval_map_16.npy,12,hybrid,1,0.014510111999697983,199.0,33.0,0.0,1.0,1.0
random_medium,eval_map_17.npy,12,prioritized,1,0.006700788999296492,201.0,29.0,0.0,,
random_medium,eval_map_17.npy,12,hybrid,1,0.019633994001196697,214.0,29.0,0.0,3.0,1.0
random_medium,eval_map_18.npy,12,prioritized,1,0.005537036999157863,152.0,21.0,0.0,,
random_medium,eval_map_18.npy,12,hybrid,1,0.006708037999487715,152.0,21.0,0.0,0.0,0.0
random_medium,eval_map_19.npy,12,prioritized,0,0.002356230001169024,,,,,
random_medium,eval_map_19.npy,12,hybrid,0,0.008164783997926861,,,,,0.0
random_medium,eval_map_2.npy,12,prioritized,1,0.009943582997948397,213.0,33.0,0.0,,
random_medium,eval_map_2.npy,12,hybrid,1,0.021442873003252316,214.0,32.0,0.0,2.0,1.0
random_medium,eval_map_20.npy,12,prioritized,1,0.006436231000407133,195.0,35.0,0.0,,
random_medium,eval_map_20.npy,12,hybrid,1,0.017719567997119157,204.0,35.0,0.0,0.0,0.0
random_medium,eval_map_21.npy,12,prioritized,1,0.013339733999600867,229.0,31.0,0.0,,
random_medium,eval_map_21.npy,12,hybrid,1,0.016098916999908397,229.0,31.0,0.0,0.0,0.0
random_medium,eval_map_22.npy,12,prioritized,1,0.00747751699964283,231.0,30.0,0.0,,
random_medium,eval_map_22.npy,12,hybrid,1,0.012852746000135085,241.0,30.0,0.0,0.0,0.0
random_medium,eval_map_23.npy,12,prioritized,1,0.009786644997802796,245.0,37.0,0.0,,
random_medium,eval_map_23.npy,12,hybrid,1,0.019271675999334548,248.0,37.0,0.0,1.0,1.0
random_medium,eval_map_24.npy,12,prioritized,1,0.008122854997054674,221.0,24.0,0.0,,
random_medium,eval_map_24.npy,12,hybrid,1,0.009683204003522405,221.0,24.0,0.0,0.0,0.0
random_medium,eval_map_25.npy,12,prioritized,1,0.007556389999081148,178.0,28.0,0.0,,
random_medium,eval_map_25.npy,12,hybrid,1,0.00969388900193735,178.0,28.0,0.0,0.0,0.0
random_medium,eval_map_26.npy,12,prioritized,1,0.011270144997979514,248.0,34.0,0.0,,
random_medium,eval_map_26.npy,12,hybrid,1,0.02752072700241115,260.0,34.0,0.0,2.0,1.0
random_small,eval_map_1.npy,8,prioritized,1,0.0015238640007737558,46.0,14.0,0.0,,
random_small,eval_map_1.npy,8,hybrid,1,0.0020018399991386104,50.0,12.0,0.0,0.0,0.0
random_small,eval_map_10.npy,8,prioritized,0,0.00281646700022975,,,,,
random_small,eval_map_10.npy,8,hybrid,0,0.0011193270001967903,,,,,0.0
random_small,eval_map_100.npy,8,prioritized,0,0.06470658599937451,,,,,
random_small,eval_map_100.npy,8,hybrid,0,0.06313037899963092,,,,,0.0
random_small,eval_map_11.npy,8,prioritized,1,0.0017803939990699291,69.0,13.0,0.0,,
random_small,eval_map_11.npy,8,hybrid,1,0.001940918002219405,67.0,11.0,0.0,0.0,0.0
random_small,eval_map_12.npy,8,prioritized,0,0.0008743649996176828,,,,,
random_small,eval_map_12.npy,8,hybrid,0,0.0014459710000664927,,,,,0.0
random_small,eval_map_13.npy,8,prioritized,0,0.004499832997680642,,,,,
random_small,eval_map_13.npy,8,hybrid,0,0.06595497500165948,90.0,26.0,1.0,1.0,12.0
random_small,eval_map_14.npy,8,prioritized,0,0.05041187700044247,,,,,
random_small,eval_map_14.npy,8,hybrid,0,0.0533940019995498,,,,,0.0
random_small,eval_map_15.npy,8,prioritized,1,0.0015241039982356597,63.0,15.0,0.0,,
random_small,eval_map_15.npy,8,hybrid,1,0.0024287390006065834,65.0,13.0,0.0,0.0,0.0
random_small,eval_map_16.npy,8,prioritized,1,0.0013719180024054367,53.0,14.0,0.0,,
random_small,eval_map_16.npy,8,hybrid,1,0.0020853069981967565,55.0,14.0,0.0,0.0,0.0
random_small,eval_map_17.npy,8,prioritized,1,0.006125403997430112,97.0,21.0,0.0,,
random_small,eval_map_17.npy,8,hybrid,0,0.050506078001490096,92.0,26.0,1.0,2.0,12.0
random_small,eval_map_18.npy,8,prioritized,0,0.07864143200276885,,,,,
random_small,eval_map_18.npy,8,hybrid,0,0.050031537997710984,,,,,0.0
random_small,eval_map_19.npy,8,prioritized,1,0.000999767999019241,41.0,16.0,0.0,,
random_small,eval_map_19.npy,8,hybrid,1,0.002198071000748314,47.0,14.0,0.0,0.0,0.0
random_small,eval_map_2.npy,8,prioritized,1,0.0011572469993552659,57.0,12.0,0.0,,
random_small,eval_map_2.npy,8,hybrid,1,0.002602516000479227,68.0,11.0,0.0,0.0,0.0
random_small,eval_map_20.npy,8,prioritized,0,0.0008509500003128778,,,,,
random_small,eval_map_20.npy,8,hybrid,1,0.0026517219994275365,72.0,15.0,0.0,0.0,0.0
random_small,eval_map_21.npy,8,prioritized,1,0.0006241090013645589,39.0,12.0,0.0,,
random_small,eval_map_21.npy,8,hybrid,1,0.0012250850013515446,39.0,12.0,0.0,0.0,0.0
random_small,eval_map_22.npy,8,prioritized,1,0.0015382870005851146,65.0,16.0,0.0,,
random_small,eval_map_22.npy,8,hybrid,1,0.0025418650002393406,70.0,14.0,0.0,0.0,0.0
random_small,eval_map_23.npy,8,prioritized,1,0.003126682000583969,83.0,20.0,0.0,,
random_small,eval_map_23.npy,8,hybrid,1,0.0027842510025948286,85.0,12.0,0.0,0.0,0.0
random_small,eval_map_24.npy,8,prioritized,1,0.0025618520012358204,67.0,20.0,0.0,,
random_small,eval_map_24.npy,8,hybrid,1,0.003899608000210719,77.0,18.0,0.0,0.0,0.0
random_small,eval_map_25.npy,8,prioritized,1,0.004192725999018876,79.0,24.0,0.0,,
random_small,eval_map_25.npy,8,hybrid,1,0.008800308001809753,85.0,23.0,0.0,1.0,1.0
random_small,eval_map_26.npy,8,prioritized,1,0.002347238998481771,64.0,14.0,0.0,,
random_small,eval_map_26.npy,8,hybrid,1,0.003620307001256151,71.0,14.0,0.0,0.0,0.0
room,eval_map_room_1.npy,12,prioritized,1,0.08774342600008822,385.0,52.0,0.0,,
room,eval_map_room_1.npy,12,hybrid,0,30.39354758400077,1370.0,404.0,4.0,4.0,12.0
room,eval_map_room_10.npy,12,prioritized,1,0.03832379999948898,248.0,50.0,0.0,,
room,eval_map_room_10.npy,12,hybrid,1,0.056685349001782015,253.0,50.0,0.0,1.0,1.0
room,eval_map_room_11.npy,12,prioritized,1,0.04808530700029223,253.0,44.0,0.0,,
room,eval_map_room_11.npy,12,hybrid,1,0.045033169000817,250.0,40.0,0.0,0.0,0.0
room,eval_map_room_12.npy,12,prioritized,1,0.05870169500121847,260.0,47.0,0.0,,
room,eval_map_room_12.npy,12,hybrid,1,0.06700711400117143,273.0,43.0,0.0,1.0,1.0
room,eval_map_room_13.npy,12,prioritized,1,0.05828876799932914,282.0,63.0,0.0,,
room,eval_map_room_13.npy,12,hybrid,1,0.06562971400126116,282.0,58.0,0.0,0.0,0.0
room,eval_map_room_14.npy,12,prioritized,1,0.05283348999728332,276.0,54.0,0.0,,
room,eval_map_room_14.npy,12,hybrid,1,0.06755021700155339,272.0,55.0,0.0,1.0,1.0
room,eval_map_room_15.npy,12,prioritized,1,0.03939541600266239,306.0,45.0,0.0,,
room,eval_map_room_15.npy,12,hybrid,1,0.08769367000058992,330.0,54.0,0.0,2.0,1.0
room,eval_map_room_16.npy,12,prioritized,0,0.06819658699896536,324.0,68.0,1.0,,
room,eval_map_room_16.npy,12,hybrid,1,0.08345012700010557,327.0,58.0,0.0,1.0,1.0
room,eval_map_room_17.npy,12,prioritized,1,0.1430178150003485,390.0,52.0,0.0,,
room,eval_map_room_17.npy,12,hybrid,1,0.11573083599796519,388.0,54.0,0.0,1.0,1.0
room,eval_map_room_18.npy,12,prioritized,0,0.09080506700047408,368.0,79.0,4.0,,
room,eval_map_room_18.npy,12,hybrid,0,0.6143267070001457,356.0,59.0,2.0,3.0,12.0
room,eval_map_room_19.npy,12,prioritized,0,0.5154571710008895,535.0,131.0,6.0,,
room,eval_map_room_19.npy,12,hybrid,0,2.5201968229994236,293.0,66.0,2.0,2.0,12.0
room,eval_map_room_2.npy,12,prioritized,0,0.06355162600084441,267.0,54.0,1.0,,
room,eval_map_room_2.npy,12,hybrid,1,0.1162871759988775,264.0,55.0,0.0,2.0,1.0
room,eval_map_room_20.npy,12,prioritized,1,0.04297544800283504,244.0,52.0,0.0,,
room,eval_map_room_20.npy,12,hybrid,1,0.048161905997403665,242.0,52.0,0.0,0.0,0.0
room,eval_map_room_21.npy,12,prioritized,1,0.08739905200127396,356.0,57.0,0.0,,
room,eval_map_room_21.npy,12,hybrid,1,0.1266807619977044,352.0,59.0,0.0,1.0,1.0
room,eval_map_room_22.npy,12,prioritized,0,0.04305045400178642,234.0,51.0,1.0,,
room,eval_map_room_22.npy,12,hybrid,1,0.08511083099801908,240.0,48.0,0.0,3.0,1.0
room,eval_map_room_23.npy,12,prioritized,1,0.04271497999798157,208.0,45.0,0.0,,
room,eval_map_room_23.npy,12,hybrid,1,0.10803790600039065,213.0,44.0,0.0,2.0,1.0
room,eval_map_room_24.npy,12,prioritized,1,0.1285924130024796,412.0,53.0,0.0,,
room,eval_map_room_24.npy,12,hybrid,1,0.09532213999773376,381.0,45.0,0.0,0.0,0.0
room,eval_map_room_25.npy,12,prioritized,1,0.1817317879977054,419.0,68.0,0.0,,
room,eval_map_room_25.npy,12,hybrid,1,0.15764536400092766,420.0,69.0,0.0,0.0,0.0
room,eval_map_room_26.npy,12,prioritized,1,0.0651830400020117,323.0,53.0,0.0,,
