sample_id,composition_signal,spectral_signal,spectral_sq,spectral_sin,graph_edge_mean,graph_edge_span,graph_edge_count,target_property
56,5.0,0.2,0.04000000000000001,0.19866933079506122,2.0,2.0,10,0.2345
57,5.0,0.7,0.48999999999999994,0.644217687237691,2.0,2.0,10,-0.6789
58,5.0,1.2,1.44,0.9320390859672263,2.0,2.0,10,0.9012
59,5.0,1.7,2.8899999999999997,0.9916648104524686,2.0,2.0,10,-0.3456
60,5.0,2.2,4.840000000000001,0.8084964038195901,2.0,2.0,10,0.5678
61,5.0,2.7,7.290000000000001,0.4273798802338298,2.0,2.0,10,-0.1234
62,5.0,3.2,10.240000000000002,-0.058374143427580086,2.0,2.0,10,0.789
63,5.0,-0.6,0.36,-0.5646424733950354,2.0,2.0,10,-0.4567
64,5.0,-0.1,0.010000000000000002,-0.09983341664682815,2.0,2.0,10,0.2345
65,5.0,0.4,0.16000000000000003,0.3894183423086505,2.0,2.0,10,-0.6789
66,5.0,0.9,0.81,0.7833269096274834,2.0,2.0,10,0.9012
67,5.0,1.4,1.9599999999999997,0.9854497299884601,2.0,2.0,10,-0.3456
68,5.0,1.9,3.61,0.9463000876874145,2.0,2.0,10,0.5678
69,5.0,2.4,5.76,0.675463180551151,2.0,2.0,10,-0.1234
70,5.0,2.9,8.41,0.23924932921398243,2.0,2.0,10,0.789
71,5.0,3.4,11.559999999999999,-0.2555411020268312,2.0,2.0,10,-0.4567
72,5.0,-0.4,0.16000000000000003,-0.3894183423086505,2.0,2.0,10,0.2345
73,5.0,0.1,0.010000000000000002,0.09983341664682815,2.0,2.0,10,-0.6789
74,5.0,0.6,0.36,0.5646424733950354,2.0,2.0,10,0.9012
75,5.0,1.1,1.2100000000000002,0.8912073600614354,2.0,2.0,10,-0.3456
76,5.0,1.6,2.5600000000000005,0.9995736030415051,2.0,2.0,10,0.5678
77,5.0,2.1,4.41,0.8632093666488737,2.0,2.0,10,-0.1234
78,5.0,2.6,6.760000000000001,0.5155013718214642,2.0,2.0,10,0.789
79,5.0,3.1,9.610000000000001,0.04158066243329049,2.0,2.0,10,-0.4567
80,5.0,3.6,12.96,-0.44252044329485246,2.0,2.0,10,0.2345
81,5.0,-0.2,0.04000000000000001,-0.19866933079506122,2.0,2.0,10,-0.6789
82,5.0,0.3,0.09,0.29552020666133955,2.0,2.0,10,0.9012
83,5.0,0.8,0.6400000000000001,0.7173560908995228,2.0,2.0,10,-0.3456
84,5.0,1.3,1.6900000000000002,0.963558185417193,2.0,2.0,10,0.5678
85,5.0,1.8,3.24,0.9738476308781951,2.0,2.0,10,-0.1234
86,5.0,2.3,5.289999999999999,0.7457052121767203,2.0,2.0,10,0.789
87,5.0,2.8,7.839999999999999,0.3349881501559051,2.0,2.0,10,-0.4567
88,5.0,3.3,10.889999999999999,-0.1577456941432482,2.0,2.0,10,0.2345
89,5.0,3.8,14.44,-0.6118578909427189,2.0,2.0,10,-0.6789
90,5.0,0.0,0.0,0.0,2.0,2.0,10,0.9012
91,5.0,0.5,0.25,0.479425538604203,2.0,2.0,10,-0.3456
92,5.0,1.0,1.0,0.8414709848078965,2.0,2.0,10,0.5678
93,5.0,1.5,2.25,0.9974949866040544,2.0,2.0,10,-0.1234
94,5.0,2.0,4.0,0.9092974268256817,2.0,2.0,10,0.789
95,5.0,2.5,6.25,0.5984721441039565,2.0,2.0,10,-0.4567
96,5.0,3.0,9.0,0.1411200080598672,2.0,2.0,10,0.2345
