lattice_a,lattice_b,type
5.17527974488131,5.843459214666846,generated
5.189795704906379,5.859919079216918,generated
5.14290562178966,5.807480527126664,generated
5.236149121758781,5.903551154866788,generated
5.188934098996185,5.856197711714247,generated
5.150811407487615,5.816579300790499,generated
5.22512609696456,5.889580336899374,generated
5.201217087018202,5.8688046944806525,generated
5.166032892374871,5.8302845165742765,generated
5.167145432007733,5.833726180434547,generated
5.225998270785747,5.8928325742677625,generated
5.174614825387588,5.839097477060373,generated
5.15677113644457,5.8234985485735296,generated
5.116153124803029,5.78317907061762,generated
5.254191047013558,5.919753141045973,generated
5.148073905270176,5.814648410326411,generated
5.145700623000495,5.816997046004021,generated
5.144530917582583,5.811954036659262,generated
5.123604081148921,5.790131879756312,generated
5.193999370278795,5.861377045184497,generated
5.220111116999749,5.886332078661862,generated
5.2039243791688605,5.870438012385433,generated
5.049848190297102,5.71206613776817,generated
5.14007830668699,5.803551395253474,generated
5.2024630232304405,5.8703934767268215,generated
5.1742313900943575,5.8388029459652975,generated
5.2162662527390475,5.883751586563093,generated
5.217431665715125,5.884270310151005,generated
5.174967284492628,5.840151776489544,generated
5.0575492058465334,5.723398163699,generated
5.807252570656917,5.41665175661897,generated
5.615412847722796,5.303707176263504,generated
5.640981559439957,5.303487163122101,generated
5.455654539736134,5.200238662177477,generated
5.698523597296265,5.337016873991123,generated
5.601803743859238,5.268691715975331,generated
5.286840614080352,5.082648674647686,generated
5.696869281711745,5.357718725130064,generated
5.233049539588825,5.0586430176166415,generated
5.743372203378115,5.363524888843896,generated
5.363892737800374,5.113317294340786,generated
5.464747854291573,5.204556807073405,generated
5.658934758541865,5.316100692833284,generated
5.983272864241108,5.509853946075056,generated
5.576095719036514,5.241668301659922,generated
5.319617395461054,5.072015780102572,generated
5.590802103454409,5.275183627406827,generated
5.345816707472706,5.0889224519292355,generated
5.372388090291047,5.131314334960982,generated
5.662260719417376,5.327329505634666,generated
5.50915622993178,5.209477116054893,generated
5.525136381257264,5.223586602931856,generated
5.510837258439432,5.232517565511612,generated
5.324438462462234,5.0784892648199484,generated
5.2552606730889035,5.021165983418522,generated
5.547725375973053,5.255178436756185,generated
5.498123777423877,5.201924959055296,generated
5.564020566492754,5.246954146943701,generated
5.605525689255847,5.297240129175994,generated
5.488278796821088,5.194313728879839,generated
5.406093264181789,5.158357874810665,generated
5.415402279694796,5.170004972892633,generated
5.649509572403975,5.301277507646997,generated
5.424527107659317,5.175593095917645,generated
5.53355626023727,5.237791756417802,generated
5.361499374476825,5.113782421817382,generated
5.458372780027259,5.183433964500667,generated
5.5526886882006865,5.2672758587991195,generated
5.412224308553737,5.171139389902173,generated
5.3528292433677915,5.118805839801938,generated
5.44077834336995,5.170134145071534,generated
5.488304856031212,5.204115843130756,generated
5.513629738203648,5.233165666446807,generated
5.626972006295626,5.332770211064451,generated
5.678925266613516,5.308999756840202,generated
5.3668743783057105,5.141322589670741,generated
5.441238543940128,5.186753144821179,generated
5.540428504062212,5.2246113612885825,generated
5.526632530702991,5.219483204421244,generated
5.399367614705533,5.146092004268593,generated
5.647134753334411,5.303888089414345,generated
5.479601855691208,5.190927697237372,generated
5.642199296633861,5.310509756497354,generated
5.502134019312013,5.206540766130241,generated
5.594238595247063,5.2791758101861355,generated
5.74094911964522,5.345899235904509,generated
5.631629320876805,5.295700215348687,generated
5.477370276738191,5.224934028985089,generated
5.415542256192678,5.156367095427672,generated
5.542190741211378,5.223924753942842,generated
5.53645326084713,5.232613067149399,generated
5.4940383370734605,5.19571674836619,generated
5.4483934027861265,5.20712270423185,generated
5.54331994756516,5.249074210073525,generated
5.440379783395503,5.168293964005468,generated
5.500864788514551,5.214750413506027,generated
5.524400896209392,5.216368061371624,generated
5.524319657137428,5.238415197878976,generated
5.325447059724021,5.117346164382113,generated
5.2430959402287,5.033869649286205,generated
5.410810260819731,5.159264375412796,generated
5.238410248416908,5.030116098789581,generated
5.651288719296787,5.301750564930617,generated
5.826420656701405,5.416710224046195,generated
5.634307663199305,5.303765090921661,generated
5.469966458271984,5.227097395059369,generated
5.406160101475761,5.143027026049221,generated
5.650654007725978,5.320313939577472,generated
5.697735574292387,5.374166361483172,generated
5.373967802558844,5.1240039357772496,generated
5.755289606461635,5.4032209410169365,generated
5.537471529658206,5.25981587512933,generated
5.754556833653727,5.368782871764586,generated
5.53053733914548,5.234608988445948,generated
5.588265599453644,5.282093801467389,generated
