cell_id,replicate,n_responding
35,3,1
35,4,2
35,5,2
35,6,2
35,7,2
35,8,2
35,9,2
36,0,4
36,1,3
36,2,1
36,4,2
36,5,2
36,6,1
36,7,1
36,8,2
36,9,3
37,0,1
37,1,3
37,2,2
37,3,2
37,4,4
37,5,2
37,6,2
37,7,4
37,9,1
38,0,3
38,1,1
38,2,1
38,3,1
38,4,2
38,5,3
38,6,2
38,7,3
38,8,1
38,9,2
39,0,2
39,1,3
39,2,2
39,4,3
39,5,1
39,6,2
39,7,3
39,9,2
40,0,2
40,1,2
40,2,1
40,3,3
40,4,1
40,5,2
40,6,3
40,7,1
40,8,2
40,9,2
41,0,3
41,1,3
41,2,1
41,3,1
41,4,2
41,5,3
41,6,2
41,7,2
41,8,2
41,9,1
42,0,4
42,1,3
42,3,2
42,4,2
42,5,1
42,6,2
42,7,4
42,8,2
42,9,3
43,0,2
43,1,2
43,2,1
43,3,1
43,4,3
43,5,3
43,6,2
43,7,2
43,8,2
43,9,1
44,0,2
44,1,2
44,2,2
44,3,3
44,4,2
44,5,2
44,6,2
44,7,2
44,8,3
44,9,3
45,0,3
45,1,3
45,2,2
45,3,2
45,4,2
45,5,1
45,6,3
45,7,3
45,8,2
45,9,1
46,0,2
46,1,3
46,2,1
46,3,2
46,4,2
46,5,2
46,6,2
46,7,1
46,8,2
46,9,2
47,0,3
47,1,2
47,2,1
47,3,1
47,4,2
47,5,3
47,6,2
47,7,2
47,8,4
47,9,3
48,0,2
48,1,2
48,2,2
48,3,2
48,4,3
48,5,1
48,6,2
48,7,1
48,8,2
48,9,3
49,0,2
49,1,2
49,2,1
49,3,3
49,4,1
49,5,2
49,6,2
49,7,2
49,8,2
49,9,1
50,0,2
50,1,3
50,2,2
50,3,1
50,4,2
50,5,3
50,6,3
50,7,3
50,8,1
50,9,3
51,0,2
51,1,1
51,2,2
51,3,3
51,4,2
51,5,2
51,6,2
51,7,2
51,9,3
52,0,1
52,1,3
52,2,1
52,3,2
52,4,2
52,5,2
52,6,2
52,7,4
52,8,2
52,9,2
53,0,1
53,1,2
53,2,2
53,3,2
53,4,3
53,5,2
53,6,2
53,7,2
53,8,1
53,9,3
54,0,2
54,1,2
54,2,2
54,3,2
54,4,2
54,5,1
54,6,1
54,7,2
54,8,2
54,9,3
55,0,2
55,1,1
55,2,2
55,3,2
55,4,1
55,5,2
55,6,3
55,7,2
55,8,2
55,9,2
56,0,3
56,1,2
56,2,1
56,4,3
56,5,2
56,6,3
56,7,2
56,8,1
56,9,3
57,0,2
57,1,1
57,2,2
57,3,3
57,4,2
57,5,3
57,6,3
57,7,2
57,8,2
57,9,2
58,0,1
58,1,1
58,3,2
58,4,3
58,5,2
58,6,2
58,7,4
58,8,2
58,9,3
59,0,3
59,1,2
59,2,1
59,3,2
59,4,2
59,5,4
59,6,3
59,7,3
59,8,1
59,9,3
60,0,3
60,1,2
60,2,2
60,3,3
60,4,3
60,5,2
60,6,2
60,7,3
60,8,1
60,9,3
61,0,2
61,1,4
61,3,2
61,4,3
61,5,2
61,6,2
61,7,3
61,8,2
61,9,2
62,1,2
62,2,1
62,3,1
62,4,3
62,5,1
62,6,3
62,7,2
62,8,1
62,9,3
63,0,1
63,1,1
63,2,1
63,3,2
63,4,2
63,5,2
63,6,3
63,7,2
63,8,2
63,9,2
64,0,2
64,1,2
64,2,2
64,3,2
64,4,3
64,5,2
64,6,2
64,7,2
64,8,2
64,9,3
65,0,2
65,1,3
65,2,2
65,3,1
65,4,3
65,5,2
65,6,3
65,7,2
65,8,2
65,9,3
66,0,2
66,1,2
66,2,2
66,3,2
66,4,3
66,5,2
66,6,1
66,7,3
66,8,1
66,9,2
67,0,1
67,1,3
67,3,1
67,4,2
67,5,2
67,6,3
67,7,1
67,8,2
67,9,2
68,0,2
68,1,2
68,3,1
68,4,3
68,5,2
68,6,3
68,7,3
68,8,2
68,9,4
69,0,2
69,1,2
69,2,1
69,3,2
69,4,1
69,5,3
69,6,3
69,7,3
69,8,1
69,9,3
70,0,2
70,1,3
70,2,1
70,4,2
70,5,2
70,6,2
70,7,3
70,8,3
70,9,2
71,0,3
71,1,2
71,2,1
71,3,1
71,4,3
71,6,2
71,7,2
71,8,2
71,9,2
72,0,1
72,1,3
72,2,2
72,3,1
72,4,2
72,5,1
72,6,3
72,7,2
72,8,2
72,9,3
73,0,3
73,1,1
73,2,1
73,3,1
73,4,2
73,5,2
73,6,3
73,7,4
73,8,2
73,9,1
74,0,2
74,1,2
74,3,1
74,4,2
74,5,2
74,6,2
74,7,2
74,8,2
74,9,3
75,0,3
75,1,2
75,2,1
75,3,1
75,4,1
75,5,1
75,6,2
75,7,3
75,9,1
76,0,2
76,1,3
76,2,1
76,3,2
76,4,3
76,5,2
76,6,2
76,7,3
76,8,2
76,9,2
77,0,2
77,1,2
77,2,1
77,3,2
77,4,3
77,5,1
77,6,2
77,7,3
77,8,2
77,9,3
78,0,3
78,1,2
78,4,3
78,5,2
78,6,2
78,7,2
78,8,2
78,9,3
79,0,2
79,1,2
79,2,2
79,3,3
79,4,2
79,5,1
79,6,2
79,7,2
79,8,1
79,9,3
80,0,2
80,1,3
80,2,2
80,3,1
80,4,2
80,5,1
80,6,1
80,7,3
80,8,2
80,9,3
81,0,1
81,3,1
81,4,2
81,5,3
81,6,3
81,7,3
81,8,2
81,9,1
82,0,2
82,1,1
82,2,1
82,3,2
82,4,3
82,5,2
82,6,2
82,7,2
82,8,1
82,9,2
83,0,1
83,1,1
83,2,3
83,3,3
83,4,3
83,5,2
83,6,3
83,7,3
83,8,3
83,9,2
84,0,1
84,1,3
84,2,2
84,3,3
84,4,3
84,5,2
84,6,2
84,7,3
84,8,1
84,9,3
85,0,2
85,1,2
85,2,2
85,4,3
85,5,2
85,6,2
85,7,2
85,8,1
85,9,3
86,0,3
86,1,3
86,2,1
86,3,2
86,4,2
86,5,1
86,6,1
86,7,4
86,8,2
86,9,2
87,0,2
87,1,2
87,2,1
87,3,1
87,4,2
87,5,3
87,6,3
87,7,4
87,8,3
87,9,2
88,0,2
88,1,2
88,2,2
88,3,4
88,4,1
88,5,2
88,6,2
88,7,3
88,8,2
88,9,3
89,0,3
89,1,2
89,2,2
89,3,3
89,4,2
89,5,2
89,6,2
89,7,3
89,8,2
89,9,2
90,0,3
90,1,2
90,2,1
90,3,3
90,4,2
90,5,3
90,6,1
90,7,2
90,8,2
90,9,2
91,0,2
91,1,1
91,2,2
91,3,3
91,4,3
91,5,2
91,6,3
91,7,3
91,8,2
91,9,2
92,0,2
92,1,1
92,2,2
92,3,1
92,4,3
92,5,2
92,6,3
92,7,2
92,8,1
92,9,2
93,0,2
93,1,1
93,2,1
93,3,1
93,4,3
93,5,1
93,6,2
93,7,2
93,8,3
93,9,1
94,0,1
94,1,3
94,2,1
94,3,2
94,4,3
94,5,2
94,6,3
94,7,4
94,9,3
95,0,2
95,1,3
95,2,1
95,3,1
95,4,2
95,5,1
95,6,2
95,7,2
95,8,2
95,9,2
96,0,2
96,1,2
96,2,1
96,3,2
96,4,4
96,5,2
96,6,4
96,7,2
96,8,1
96,9,2
97,0,1
97,1,1
97,2,1
97,3,2
97,4,3
97,5,1
97,6,2
97,7,1
97,8,2
97,9,2
98,0,1
98,1,2
98,2,2
98,3,2
98,4,1
98,5,2
98,6,3
98,7,2
98,8,1
98,9,3
99,0,3
99,1,1
99,2,1
99,3,3
99,4,2
99,5,3
99,6,3
99,7,4
99,8,2
99,9,2
