acid,epoxide,tg,std,tg_calibrated,tg_calibrated_std,acq_score,target,score,design_rationale,candidate_id,priority_score
O=C(O)CCN(CCC(=O)O)C(=O)CCc1ccccc1N1CCOCC1,Cc1cccc(CN2CCN(C(=O)C(=O)N(CC3CO3)CC3CO3)CC2)c1,415.1341,39.6247,350.0234978235152,53.82736510034629,-61.90239741143287,350,5.3592386865194435,exploitative-near-target,C007,1.8965244726657962
C#Cc1ccc(C(=O)O)c(C(=O)O)c1,O=C(NCc1ccc(OCC2CO2)cc1)N1CCC(O)(CC2CO2)CC1,474.9658,13.2634,400.0043406658125,53.844999270498434,-11.918909443612742,400,5.380159261237352,exploratory-high-uncertainty,C017,2.426547896943673
O=C(O)c1ncn(C(c2ccccc2)c2ccccc2)c1C(=O)O,CN(Cc1ccc(OCC(=O)O)cc1)C(=O)c1cccc(OCC2CO2)c1OCC1CO1,474.7268,13.0738,399.80791737003085,53.84483492921017,-12.115357390587624,400,5.192400862951867,exploratory-high-uncertainty,C026,2.4115574834635938
CCC(CC)(CNC(=O)C(=O)Nc1ccc(C)cc1C(=O)O)C(=O)O,Cn1ccc2c(NC(=O)c3ccc(OCC4CO4)cc3OCC3CO3)cccc21,474.813,13.475,399.87876463274915,53.84489400519949,-12.044501266470924,400,5.263254033269103,exploratory-high-uncertainty,C022,2.4106211635348904
NC(=O)Nc1cccc(C(=O)N(CCC(=O)O)CCC(=O)O)c1,Cc1ccc(C(=O)NCCNC(=O)C(=O)N(CC2CO2)CC2CO2)cc1,474.7178,13.921,399.80052010425584,53.84482877395081,-12.12275557965154,400,5.1850029816509196,exploratory-high-uncertainty,C029,2.393873449123124
O=C(O)c1ccc(C=Cc2cc(C(=O)O)ncn2)cc1,CCc1ccc(C(=O)Nc2cnc(OCC3CO3)c(C)c2)c(OCC2CO2)c1,474.7437,18.5292,399.8218076790042,53.84484649393167,-12.101465346906027,400,5.2062923283973905,exploratory-high-uncertainty,C025,2.303839092597006
Cc1cc(C(=O)N(CCC(=O)O)CCC(=O)O)ccc1N1CCNC1=O,O=C(NCCc1cccc2cccnc12)N(CC1CO1)CC1CO1,475.2341,19.1414,400.22480935582144,53.845185804148,-11.698412773556365,400,5.159709224593366,exploratory-high-uncertainty,C030,2.2869503546252568
O=C(O)COCc1cc(COCC(=O)O)cc(NC(=O)CCC(=O)c2ccccc2)c1,COc1cc(C)ccc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,474.7184,22.7201,399.8010132565664,53.84482918422639,-12.122262365799621,400,5.18549617498906,exploratory-high-uncertainty,C028,2.2179407848679618
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)c2cc3c(cn2)OCCC3)cc1,Cc1cc(NC(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)ccc1C(=O)O,475.0826,24.1001,400.1003226373829,53.84508020783451,-11.82291533144195,400,5.284185383400578,exploratory-high-uncertainty,C021,2.2002197466534383
COCC1(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)CC1,O=C(Nc1ccccc1C(=O)N1CCOCC1)C(=O)N(CC1CO1)CC1CO1,475.0758,24.7486,400.094734837993,53.84507548446302,-11.828503839337575,400,5.289772710453328,exploratory-high-uncertainty,C020,2.1878082904238534
CN(C)C(=O)Nc1cccc(C(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)c1,O=C(NCCc1ccc(OCC2CO2)c(OCC2CO2)c1)c1ccc(NC(=O)C2CC2)cc1,474.9734,29.5059,400.0105862812237,53.845004524485816,-11.91266304010342,400,5.373914171224873,exploratory-high-uncertainty,C018,2.10107359810192
O=C(O)c1ccc(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)O)c(O)c2)C3=O)cc1,O=C(NCCNC1CCCCCC1)N(CC1CO1)CC1CO1,474.8892,32.831,399.94138978092815,53.84494641263835,-11.9818682571761,400,5.325884422191983,exploratory-high-uncertainty,C019,2.029766298724732
O=C(O)CCN(CCC(=O)O)C(=O)Cn1c(CNC(=O)c2ccco2)nc2ccccc21,CC1CCN(Cc2cccc(CNC(=O)Nc3ccc(C(=O)N(CC4CO4)CC4CO4)cc3)c2)CC1,474.9651,35.6122,400.0037654102312,53.84499878666416,-11.919484771769165,400,5.3807344684352065,exploratory-high-uncertainty,C016,1.9796293983100872
Cc1cccc(Oc2ccc(NC(=O)Nc3ccc(COCC(=O)O)c(COCC(=O)O)c3)cc2)c1,CC(C)CC(=O)Nc1ccc(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)cc1,475.1328,47.031,400.1415730090153,53.845115120612554,-11.781659722892813,400,5.242938503045952,exploratory-high-uncertainty,C023,1.7374784551290974
CCn1nc(C(=O)N(CCC(=O)O)CCC(=O)O)ccc1=O,CCc1cccc(C(=O)NC2CCN(C(=O)c3ccccc3OCC3CO3)CC2)c1OCC1CO1,474.7642,47.3945,399.83865667373277,53.84486053357012,-12.08461424623171,400,5.223142727089783,exploratory-high-uncertainty,C024,1.7282186940517832
CN1CCN(C(=O)CNC(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)CC1,O=C(CN1CCCCCC1)Nc1cccc(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)c1,474.7211,82.3872,399.8032324399484,53.84483103059893,-12.120042905461787,400,5.1877155430082675,exploratory-high-uncertainty,C027,1.0248207955247841
CCOC(=O)c1ccccc1NC(=O)Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,COC(=O)CC1CCN(CC(=O)N(CC2CO2)CC2CO2)CC1,538.3162,16.5133,450.91181150036016,54.00642320245308,-22.8108480199922,450,4.488830819885149,exploratory-high-uncertainty,C035,2.2788740100866383
O=C(O)Cc1cccc(NC(=O)c2ccc(C(=O)O)nc2)c1,Cc1ccc(C(=O)Nc2cccc(CNC(=O)c3ccc(OCC4CO4)cc3OCC3CO3)c2)cc1,536.4159,20.9764,449.4217150596544,53.996245206837834,-21.322278278628715,450,4.821339580338172,exploratory-high-uncertainty,C033,2.2224557663073305
CC(=O)NCCc1ccc(C(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,COc1ccc(NC(=O)CCn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,536.4876,30.4704,449.47798293804885,53.996620769476095,-21.37848982262744,450,4.877645014996464,exploratory-high-uncertainty,C032,2.0382213322786904
O=C(O)CCCC(=O)N1CCCC(CC(=O)O)C1,Cc1ccc(NC(=O)Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1C,536.8704,32.047,449.7783323014412,53.9986370078633,-21.6785367502617,450,5.178196002227526,exploratory-high-uncertainty,C031,2.0368250805372847
O=C(O)c1ncn(Cc2ccccc2)c1C(=O)O,COCCn1cc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)ccc1=O,536.0649,31.8556,449.14621040569295,53.99441613936414,-21.047047984788335,450,4.545652019629369,exploratory-high-uncertainty,C034,1.9772298475375023
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CCc2ccccn2)c1=O,Cc1cc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c2cnn(C)c2n1,535.1984,31.2309,448.4657206347437,53.98996759774943,-20.367225495081307,450,3.864717394518661,exploratory-high-uncertainty,C037,1.9214524433618432
Cc1ccc(NC(=O)NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)c(C)c1,O=C(C(=O)N(CC1CO1)CC1CO1)c1ccccc1,533.7586,25.8784,447.3338642655626,53.98278305072438,-19.236446807953968,450,2.7321425706350624,exploratory-high-uncertainty,C038,1.9149575790924815
O=C(O)c1ccccc1Nc1ccccc1C(=O)O,CCc1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,541.1776,26.1346,453.15081428019664,54.02265043110035,-25.04741671553159,450,2.251450762913394,exploratory-high-uncertainty,C039,1.8633590935353535
O=C(O)c1ccc(Nc2ccnc(Nc3cccc(C(=O)O)c3)n2)cc1,O=C(Nc1ccc(C(=O)NCC2CO2)cc1)C(=O)N1CCC(C2CO2)CC1,532.5263,38.0608,446.364006654829,53.97683551280781,-18.267481327907813,450,1.7616902061097655,exploratory-high-uncertainty,C041,1.574026441123289
O=C(O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,O=C(c1ccc(OCC2CO2)cc1OCC1CO1)N(Cc1ccc2c(c1)OCO2)c1ccccc1,532.7677,40.3321,446.55407699168427,53.977986150251894,-18.457379069146484,450,1.951875606709459,exploratory-high-uncertainty,C040,1.5476650066810218
Cc1cc(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)no1,Cc1ccc(C(=O)Nc2cccc(C(=O)O)c2)c(OCC2CO2)c1OCC1CO1,531.5318,41.558,445.58055447664304,53.972168537502654,-17.484729196017646,450,0.9777713303933098,exploratory-high-uncertainty,C042,1.4255038745394368
O=C(O)c1ccc(C(=O)Nc2ccccc2C(=O)O)nc1,O=C(Cc1ccc2c(c1)OCO2)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,529.804,40.844,444.21783418999684,53.96433632540515,-16.123183741186065,450,-0.385732177462649,exploratory-high-uncertainty,C044,1.3031202352699414
CCOc1ccc(Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)nc1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)C(=O)Nc1ccc2c(c1)OCCO2,545.1687,40.988,456.26419260716057,54.04717833708758,-28.15711585659743,450,-0.859474773451808,exploratory-high-uncertainty,C045,1.2561796561383227
CC(C)(C)C(=O)Nc1cc(C(=O)O)cc(C(=O)O)c1,CN(C(=O)C1CO1)c1ccc(C(=O)N2CCCN(CC3CO3)CC2)cc1,530.466,48.3858,444.7401924373599,53.96729628957959,-16.645097993922956,450,0.13692206631785453,exploratory-high-uncertainty,C043,1.2046680582149691
O=C(O)c1ccc(C(=O)O)c(Nc2ccccc2)c1,CCOC(=O)c1ccccc1NC(=O)Cn1c(=O)n(CC2CO2)c(=O)n(CC2CO2)c1=O,538.7398,68.5742,451.24363160423786,54.008756303810074,-23.14231815866635,450,4.157244026143146,exploratory-high-uncertainty,C036,1.2045906547667178
Cc1ccc(Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1C,Cc1ccc(NC(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,562.4299,34.3807,469.5966606154934,54.18191168217399,-41.46937386316732,500,-24.985148216289183,exploratory-high-uncertainty,C047,-1.0188523543419583
Cc1cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)n(C)n1,O=C(O)c1ccc(Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,558.9915,43.4686,466.9584148453232,54.15104055502563,-38.83575876206936,500,-27.62648109917423,exploratory-high-uncertainty,C048,-1.4659784877163975
O=C(O)c1ccc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,Cc1cc(NC(=O)c2ccc(C)c(OCC3CO3)c2)ccc1OCC1CO1,563.8622,68.0187,470.6930146127535,54.19541414512686,-42.56370249098444,500,-23.88744397273384,exploratory-high-uncertainty,C046,-1.5813018314683098
O=C(O)c1ccc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,O=C(NCC1CO1)c1ccc(NC(=O)C2(CC3CO3)CCCC2)cc1,551.3993,39.7463,461.1018396887656,54.09018082557155,-32.98831256492988,500,-33.48914222867724,exploratory-high-uncertainty,C049,-1.9802329898448614
CCNC(=O)c1cccc(NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)c1,O=C(CN1CCC(C2CO2)CC1)N1CCN(C(=O)CN2CCC(C3CO3)CC2)CC1,550.7762,53.7695,460.6193052823283,54.085609483748044,-32.50646385976609,500,-33.972133769296896,exploratory-high-uncertainty,C050,-2.309178997579768
CC(C)(C)c1ccccc1NC(=O)Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,O=C(O)c1cc(NCC(=O)N(CC2CO2)CC2CO2)ccc1N1CCCCC1,545.7768,48.9266,456.7375686117757,54.05111666255058,-28.629901112393128,500,-37.857319721969226,exploratory-high-uncertainty,C051,-2.6022193056949
