region,method,n_datasets,n_records,min_start,max_end,mean_duration_years
iceland,altimetry,3,122,2010.6666666666667,2020.6666666666667,3.9722222222222725
iceland,combined,6,155,1988.75,2024.75,1.0
iceland,demdiff,4,9,2000.0,2021.75,7.75
iceland,glaciological,2,326,1999.6666666666667,2024.75,0.5416666666666665
iceland,gravimetry,7,1477,2002.1666666666667,2023.1666666666667,1.2023809523809634
low_latitudes,combined,2,55,1990.25,2024.0,1.0
low_latitudes,demdiff,4,7,2000.0,2020.0,13.083333333333314
low_latitudes,glaciological,1,25,2000.0,2025.0,1.0
low_latitudes,gravimetry,3,485,2002.1666666666667,2022.9166666666667,2.6944444444444695
new_zealand,combined,2,56,1990.25,2024.25,1.0
new_zealand,demdiff,1,4,2000.0,2020.0,5.0
new_zealand,glaciological,2,325,1999.1666666666667,2024.25,0.5416666666666665
new_zealand,gravimetry,4,736,2002.1666666666667,2023.1666666666667,2.0416666666666856
north_asia,combined,2,56,1990.75,2024.75,1.0
north_asia,demdiff,1,4,2000.0,2020.0,5.0
north_asia,glaciological,2,326,1999.6666666666667,2024.75,0.5416666666666665
north_asia,gravimetry,3,485,2002.1666666666667,2022.9166666666667,2.6944444444444695
russian_arctic,altimetry,3,123,2003.75,2020.6666666666663,4.333333333333358
russian_arctic,combined,4,121,1970.75,2024.75,1.0
russian_arctic,demdiff,3,6,2000.0,2021.5833333333333,6.75
russian_arctic,glaciological,2,326,1999.6666666666667,2024.75,0.5416666666666665
russian_arctic,gravimetry,7,1477,2002.1666666666667,2023.1666666666667,1.2023809523809634
scandinavia,combined,2,56,1990.75,2024.75,1.0
scandinavia,demdiff,3,6,2000.0,2020.6666666666667,7.083333333333333
scandinavia,glaciological,2,326,1999.6666666666667,2024.75,0.5416666666666665
scandinavia,gravimetry,3,485,2002.1666666666667,2022.9166666666667,2.6944444444444695
south_asia_east,altimetry,4,103,2000.0833333333333,2021.1666666666667,7.791666666666704
south_asia_east,combined,3,57,1990.75,2024.75,6.333333333333333
south_asia_east,demdiff,3,6,2000.0,2020.0,12.111111111111086
south_asia_east,glaciological,2,326,1999.6666666666667,2024.75,0.5416666666666665
south_asia_east,gravimetry,3,485,2002.1666666666667,2022.9166666666667,2.6944444444444695
south_asia_west,altimetry,4,103,2000.0833333333333,2021.1666666666667,7.791666666666704
south_asia_west,combined,3,57,1990.75,2024.75,6.333333333333333
south_asia_west,demdiff,2,5,2000.0,2020.0,10.5
south_asia_west,glaciological,2,326,1999.6666666666667,2024.75,0.5416666666666665
south_asia_west,gravimetry,3,485,2002.1666666666667,2022.9166666666667,2.6944444444444695
southern_andes,altimetry,1,120,2010.6666666666667,2020.6666666666667,0.08333333333333333
southern_andes,combined,2,56,1990.25,2024.25,1.0
southern_andes,demdiff,4,8,2000.0,2020.0,10.895833333333314
southern_andes,glaciological,2,326,1999.1666666666667,2024.25,0.5416666666666665
southern_andes,gravimetry,6,1171,2002.1666666666667,2023.1666666666667,1.3888888888889015
svalbard,altimetry,3,122,2003.75,2020.6666666666667,4.333333333333358
svalbard,combined,4,121,1970.75,2024.75,1.0
svalbard,demdiff,2,5,2000.0,2021.5,7.125
svalbard,glaciological,2,326,1999.6666666666667,2024.75,0.5416666666666665
svalbard,gravimetry,7,1477,2002.1666666666667,2023.1666666666667,1.2023809523809634
western_canada_us,altimetry,2,2,2013.0,2023.0,5.833333333333371
western_canada_us,combined,2,56,1990.75,2024.75,1.0
western_canada_us,demdiff,1,4,2000.0,2020.0,5.0
western_canada_us,glaciological,3,327,1999.6666666666667,2024.75,0.6944444444444443
western_canada_us,gravimetry,4,736,2002.1666666666667,2023.1666666666667,2.0416666666666856
