region,method_group,n_years,mean_gt_per_year,mean_gt_error,cumulative_gt,cumulative_gt_quadrature_error,mean_mwe_per_year,mean_mwe_error,rmse_vs_combined_gt,bias_vs_combined_gt
greenland_periphery,demdiff_and_glaciological,24,-39.59009386468765,22.85124840040052,-950.1622527525036,118.83842075939042,-0.4990238746366665,0.2531729955010864,17.284547809249624,-4.5013861018308745
iceland,altimetry,9,-3.9671046889754544,2.9859861554301617,-35.70394220077909,9.284863893028295,-0.37977337969666614,0.26773371146323977,4.142600173162921,-0.040850356492848995
iceland,combined,24,-8.34768325148226,6.0089920106441,-200.34439803557427,30.172795162858332,-0.788338022956022,0.5424109340616549,0.0,0.0
iceland,demdiff_and_glaciological,24,-8.836692285481464,2.113623222243073,-212.08061485155514,11.107281984137819,-0.8353882559792606,0.18451758870776072,3.4151998688856167,-0.4890090339992034
iceland,gravimetry,20,-7.573140631286423,2.798393439747307,-151.46281262572845,12.882015847133088,-0.7161409686008062,0.24684865068720224,3.805441660269648,0.428878200698373
low_latitudes,combined,24,-0.85004179012117,0.6574648419394445,-20.40100296290808,3.716408579683126,-0.4207200030056206,0.27994723059409315,0.0,0.0
low_latitudes,demdiff_and_glaciological,24,-0.85004179012117,0.6574648419394445,-20.40100296290808,3.716408579683126,-0.4207200030056207,0.27994723059409315,1.2222313887071405e-16,5.102978225165108e-17
new_zealand,combined,23,-0.8366017496545183,0.45459233490132633,-19.24184024205392,2.2334424320391553,-0.9614493266051918,0.38875803194581,0.0,0.0
new_zealand,demdiff_and_glaciological,23,-0.8366017496545183,0.45459233490132633,-19.24184024205392,2.233442432039155,-0.9614493266051918,0.38875803194581,1.1309823280580368e-16,-3.27334777640841e-17
north_asia,combined,24,-1.320966855931758,0.635104366966802,-31.70320454236219,3.231934796225033,-0.5619867231686627,0.26237343033300414,0.0,0.0
north_asia,demdiff_and_glaciological,24,-1.320966855931758,0.6351043669668018,-31.70320454236219,3.2319347962250324,-0.5619867231686627,0.26237343033300414,7.102133894908224e-17,3.657375328517768e-17
russian_arctic,altimetry,15,-13.814511320151238,5.045878277490712,-207.21766980226857,20.609241057292245,-0.2711282387244699,0.09650553942181751,4.600498302301052,1.0818494789970332
russian_arctic,combined,24,-16.052841785565615,10.058225818501562,-385.2682028535748,51.32243157512975,-0.31573662073579944,0.19426722023873455,0.0,0.0
russian_arctic,demdiff_and_glaciological,24,-15.436869630698112,5.808728324192067,-370.4848711367547,30.222292466764447,-0.30368409870081986,0.11096435702884457,6.4624263001281435,0.6159721548675037
russian_arctic,gravimetry,20,-18.475563309996538,5.4973541631649905,-369.5112661999308,25.463432793318844,-0.3633023447363978,0.10379234477438377,7.727515273156612,-1.5059749122716577
scandinavia,combined,24,-1.652783256879654,0.446684229637587,-39.6667981651117,2.2814189042952657,-0.5770730337517646,0.1439753595621378,0.0,0.0
scandinavia,demdiff_and_glaciological,24,-1.652783256879654,0.44668422963758686,-39.6667981651117,2.2814189042952653,-0.5770730337517646,0.1439753595621378,2.0901318356788837e-16,-3.8163916471489756e-17
south_asia_east,altimetry,21,-6.684317393475603,2.4395514990226617,-140.37066526298767,12.090561124476391,-0.4719398849339632,0.16372193439536564,3.4129494544273324,-0.052178081878245935
south_asia_east,combined,24,-7.292037585301493,5.764960489428702,-175.00890204723584,28.752946131105222,-0.5218560552949442,0.3913842383831598,0.0,0.0
south_asia_east,demdiff_and_glaciological,24,-7.241026332587238,2.6544053463699755,-173.7846319820937,13.77470710004934,-0.5186493876034008,0.17848979155112166,3.1925578194273365,0.051011252714256584
south_asia_west,altimetry,21,-3.761057702972035,6.500107483385536,-78.98221176241273,30.171889447919664,-0.11547311169500851,0.19323962022839866,3.4926604513799706,-0.10784823013883021
south_asia_west,combined,24,-5.432790150827185,7.465053054048004,-130.38696361985245,37.865915784995416,-0.17083788393245702,0.22220226068444113,0.0,0.0
south_asia_west,demdiff_and_glaciological,24,-5.325966033648277,6.284439590698212,-127.82318480755866,32.39467397872095,-0.16760090947465903,0.18672089629974553,3.2672746763534994,0.10682411717890794
southern_andes,altimetry,9,-29.236264644812486,14.474433739764581,-263.12638180331237,46.32683569501364,-1.023610389762279,0.489009161197668,21.266786134214495,3.3010125879037573
southern_andes,combined,23,-26.528624746988275,30.35667807043888,-610.1583691807303,148.48867923627108,-0.9269783120716248,1.032742428852209,0.0,0.0
southern_andes,demdiff_and_glaciological,23,-24.94119519933119,10.763892275762323,-573.6474895846173,56.59660152263578,-0.871975667909022,0.36335087853341025,16.022141068673765,1.5874295476570848
southern_andes,gravimetry,20,-32.937160594474705,28.017280098684957,-658.7432118894941,132.4018320998705,-1.1503144693687422,0.9503495703489255,20.72098215078424,-4.953803727913473
svalbard,altimetry,15,-11.32813069493982,5.4974365204210205,-169.92196042409728,22.09429078438979,-0.3420299368762818,0.16084374255825082,4.973015832324619,0.713321601630895
svalbard,combined,24,-13.680952637798953,6.860436478315504,-328.34286330717487,34.68099628515154,-0.41447769842436094,0.20071216821580387,0.0,0.0
svalbard,demdiff_and_glaciological,24,-13.963122733563933,3.5283576719349963,-335.1149456055344,18.09127063809189,-0.42254001912226635,0.10088842568981084,4.7642963190219465,-0.28217009576498014
svalbard,gravimetry,20,-15.114881610261765,3.5216024393621788,-302.2976322052353,16.559525683414524,-0.458004124229368,0.09938585661004223,3.4044788629997518,-0.47830999630862026
western_canada_us,altimetry,10,-12.91977537224505,3.343559213888864,-129.1977537224505,10.663532139158708,-0.9788130217617382,0.22514785990524241,1.4484943694933963,1.2830383270761616
western_canada_us,combined,24,-9.026145053152774,4.08749493763374,-216.62748127566658,20.928380830753774,-0.6781414495270499,0.27727148410699437,0.0,0.0
western_canada_us,demdiff_and_glaciological,24,-10.354573930565678,4.597457868625926,-248.50977433357627,23.178238836334355,-0.7755192545263726,0.31288713099442317,1.3984258317753084,-1.3284288774129036
