n_features,spearman_age,spearman_ref,phase_separation,features
15,0.7635777058234088,0.5947005529068705,0.03763467073440552,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring
16,0.766514260607385,0.594442773841492,0.031001746654510498,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc
17,0.7660153889624429,0.5904673767255479,0.04694589227437973,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto
18,0.7649942456904902,0.5975180054606476,0.043387625366449356,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring
19,0.7632927339167092,0.6188377099395517,0.05253709852695465,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc
20,0.7620169647619189,0.624315485581272,0.0608711913228035,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc
21,0.7599920298793068,0.63184936330327,0.0463518425822258,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto
22,0.757813680894232,0.6340771879993234,0.05827232450246811,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc
23,0.7552719360656932,0.6383142568275209,0.06907986104488373,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell
24,0.7541026226669437,0.642220874663312,0.03732854872941971,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell
25,0.7525295991504373,0.6459566248506423,0.0696081668138504,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc
26,0.7491945168273108,0.6545719534445884,0.0747334435582161,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell
27,0.7469925171105403,0.6696973985101545,0.0588807612657547,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell;Int_Med_ERK_cyto
28,0.742539017168992,0.681105285127214,0.0527595579624176,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell;Int_Med_ERK_cyto;Int_Med_cycA_cyto
29,0.737884397398533,0.6913303439717985,0.06377534568309784,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell;Int_Med_ERK_cyto;Int_Med_cycA_cyto;Int_Med_cycA_cyto
30,0.7327974418329994,0.6972122089195332,0.056652724742889404,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell;Int_Med_ERK_cyto;Int_Med_cycA_cyto;Int_Med_cycA_cyto;Int_Med_p38_cell
31,0.7250307278701404,0.7022817776929577,0.05905609205365181,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell;Int_Med_ERK_cyto;Int_Med_cycA_cyto;Int_Med_cycA_cyto;Int_Med_p38_cell;Int_Med_CDK2_nuc
32,0.7175121991054415,0.7108356668650465,0.06866767257452011,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell;Int_Med_ERK_cyto;Int_Med_cycA_cyto;Int_Med_cycA_cyto;Int_Med_p38_cell;Int_Med_CDK2_nuc;Int_Med_S6_cyto
33,0.7083958969954025,0.7325638050618529,0.06292425841093063,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell;Int_Med_ERK_cyto;Int_Med_cycA_cyto;Int_Med_cycA_cyto;Int_Med_p38_cell;Int_Med_CDK2_nuc;Int_Med_S6_cyto;Int_Med_pH2AX_nuc
34,0.7013259027628641,0.7200164419607835,0.04596606642007828,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell;Int_Med_ERK_cyto;Int_Med_cycA_cyto;Int_Med_cycA_cyto;Int_Med_p38_cell;Int_Med_CDK2_nuc;Int_Med_S6_cyto;Int_Med_pH2AX_nuc;Int_Med_pH2AX_nuc
35,0.6916650712792111,0.716721214366776,0.010796935297548771,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell;Int_Med_ERK_cyto;Int_Med_cycA_cyto;Int_Med_cycA_cyto;Int_Med_p38_cell;Int_Med_CDK2_nuc;Int_Med_S6_cyto;Int_Med_pH2AX_nuc;Int_Med_pH2AX_nuc;Int_Med_S6_ring
36,0.6824941904169042,0.7367979507926906,0.03148311749100685,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell;Int_Med_ERK_cyto;Int_Med_cycA_cyto;Int_Med_cycA_cyto;Int_Med_p38_cell;Int_Med_CDK2_nuc;Int_Med_S6_cyto;Int_Med_pH2AX_nuc;Int_Med_pH2AX_nuc;Int_Med_S6_ring;Int_Med_ERK_cell
37,0.666521373653349,0.7237077460926273,0.06466124951839447,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell;Int_Med_ERK_cyto;Int_Med_cycA_cyto;Int_Med_cycA_cyto;Int_Med_p38_cell;Int_Med_CDK2_nuc;Int_Med_S6_cyto;Int_Med_pH2AX_nuc;Int_Med_pH2AX_nuc;Int_Med_S6_ring;Int_Med_ERK_cell;Int_Med_cycA_ring
38,0.6525501397539368,0.7595037193681073,0.03346458822488785,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell;Int_Med_ERK_cyto;Int_Med_cycA_cyto;Int_Med_cycA_cyto;Int_Med_p38_cell;Int_Med_CDK2_nuc;Int_Med_S6_cyto;Int_Med_pH2AX_nuc;Int_Med_pH2AX_nuc;Int_Med_S6_ring;Int_Med_ERK_cell;Int_Med_cycA_ring;Int_Med_cycA_cyto
39,0.6375623316953545,0.7820036517451026,0.053462348878383636,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell;Int_Med_ERK_cyto;Int_Med_cycA_cyto;Int_Med_cycA_cyto;Int_Med_p38_cell;Int_Med_CDK2_nuc;Int_Med_S6_cyto;Int_Med_pH2AX_nuc;Int_Med_pH2AX_nuc;Int_Med_S6_ring;Int_Med_ERK_cell;Int_Med_cycA_ring;Int_Med_cycA_cyto;Int_Med_pS6_cyto
40,0.6240944054284139,0.7813420559219565,0.05238555744290352,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell;Int_Med_ERK_cyto;Int_Med_cycA_cyto;Int_Med_cycA_cyto;Int_Med_p38_cell;Int_Med_CDK2_nuc;Int_Med_S6_cyto;Int_Med_pH2AX_nuc;Int_Med_pH2AX_nuc;Int_Med_S6_ring;Int_Med_ERK_cell;Int_Med_cycA_ring;Int_Med_cycA_cyto;Int_Med_pS6_cyto;Int_Med_CDK2_nuc
41,0.6490267342967749,0.7865028150882618,0.04073606804013252,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell;Int_Med_ERK_cyto;Int_Med_cycA_cyto;Int_Med_cycA_cyto;Int_Med_p38_cell;Int_Med_CDK2_nuc;Int_Med_S6_cyto;Int_Med_pH2AX_nuc;Int_Med_pH2AX_nuc;Int_Med_S6_ring;Int_Med_ERK_cell;Int_Med_cycA_ring;Int_Med_cycA_cyto;Int_Med_pS6_cyto;Int_Med_CDK2_nuc;Int_MeanEdge_cycB1_cell
42,0.6409004443416665,0.8126213004431189,0.007545294240117073,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring;Int_Med_ERK_ring;Int_Med_Skp2_nuc;Int_Med_pS6_cyto;Int_Med_p38_ring;Int_Med_CDK2_nuc;Int_Med_p38_nuc;Int_Med_S6_cyto;Int_Med_pp21_nuc;Int_Med_cycD1_cell;Int_Med_cycD1_cell;Int_Med_CDK2_nuc;Int_Med_cycD1_cell;Int_Med_ERK_cyto;Int_Med_cycA_cyto;Int_Med_cycA_cyto;Int_Med_p38_cell;Int_Med_CDK2_nuc;Int_Med_S6_cyto;Int_Med_pH2AX_nuc;Int_Med_pH2AX_nuc;Int_Med_S6_ring;Int_Med_ERK_cell;Int_Med_cycA_ring;Int_Med_cycA_cyto;Int_Med_pS6_cyto;Int_Med_CDK2_nuc;Int_MeanEdge_cycB1_cell;Int_Med_pS6_cyto
