cluster,core_element,shell_element,core_category,shell_category,observed_mismatch,target_mismatch,target_low,target_high,core_energy,shell_energy,stability_score,within_target_range
Cu13@Ag45,Cu,Ag,MC,Ch1,0.12499999999999993,0.136,0.12,0.16,0.0,-2.15,-0.05349999999999992,True
Ni13@Ag32,Ni,Ag,MC,Ch1,0.16129032258064513,0.136,0.12,0.16,0.0,-2.15,-0.03598387096774207,False
Ni13@Ag42,Ni,Ag,MC,Ch1,0.16129032258064513,0.136,0.12,0.16,0.0,-2.15,-0.03598387096774207,False
Ni13@Ag45,Ni,Ag,MC,Ch1,0.16129032258064513,0.136,0.12,0.16,0.0,-2.15,-0.03598387096774207,False
K147@Rb192,K,Rb,MC,Ch1,0.09251101321585901,0.136,0.12,0.16,-4.82,0.0,-0.032388546255506565,False
K13@Cs32,K,Cs,MC,Ch1,0.16740088105726866,0.136,0.12,0.16,0.0,-2.15,-0.014596916299559698,False
K13@Cs42,K,Cs,MC,Ch1,0.16740088105726866,0.136,0.12,0.16,0.0,-2.15,-0.014596916299559698,False
K13@Cs45,K,Cs,MC,Ch1,0.16740088105726866,0.136,0.12,0.16,0.0,-2.15,-0.014596916299559698,False
Rb55@Cs92,Rb,Cs,MC,Ch1,0.06854838709677416,0.136,0.12,0.16,-2.35,-4.61,-0.012719354838709562,False
Rb55@Cs147,Rb,Cs,MC,Ch1,0.06854838709677416,0.136,0.12,0.16,-2.35,-4.61,-0.012719354838709562,False
Rb13@Cs32,Rb,Cs,MC,MC,0.06854838709677416,0.038,0.03,0.05,0.0,-2.35,0.006419354838709562,False
Rb13@Cs42,Rb,Cs,MC,MC,0.06854838709677416,0.038,0.03,0.05,0.0,-2.35,0.006419354838709562,False
Rb13@Cs45,Rb,Cs,MC,MC,0.06854838709677416,0.038,0.03,0.05,0.0,-2.35,0.006419354838709562,False
Cu55@Ni92,Cu,Ni,MC,MC,-0.03125000000000003,0.038,0.03,0.05,-2.35,-4.82,0.007275000000000115,False
Cu55@Ni147,Cu,Ni,MC,MC,-0.03125000000000003,0.038,0.03,0.05,-2.35,-4.82,0.007275000000000115,False
K147@Rb192,K,Rb,MC,MC,0.09251101321585901,0.038,0.03,0.05,-4.82,0.0,0.01618854625550653,False
Na55@K92,Na,K,MC,Ch1,0.22043010752688166,0.136,0.12,0.16,-2.35,-4.61,0.02670537634408579,False
Na55@K147,Na,K,MC,Ch1,0.22043010752688166,0.136,0.12,0.16,-2.35,-4.61,0.02670537634408579,False
K13@Rb32,K,Rb,MC,Ch1,0.09251101321585901,0.136,0.12,0.16,0.0,-2.15,0.04771145374449344,False
K13@Rb42,K,Rb,MC,Ch1,0.09251101321585901,0.136,0.12,0.16,0.0,-2.15,0.04771145374449344,False
K13@Rb45,K,Rb,MC,Ch1,0.09251101321585901,0.136,0.12,0.16,0.0,-2.15,0.04771145374449344,False
Rb147@Cs192,Rb,Cs,MC,Ch1,0.06854838709677416,0.136,0.12,0.16,-4.82,0.0,0.051480645161290445,False
Cu55@Ag92,Cu,Ag,MC,MC,0.12499999999999993,0.038,0.03,0.05,-2.35,-4.82,0.05939999999999976,False
Cu55@Ag147,Cu,Ag,MC,MC,0.12499999999999993,0.038,0.03,0.05,-2.35,-4.82,0.05939999999999976,False
Cu147@Ni192,Cu,Ni,MC,MC,-0.03125000000000003,0.038,0.03,0.05,-4.82,0.0,0.0777750000000001,False
K13@Rb32,K,Rb,MC,MC,0.09251101321585901,0.038,0.03,0.05,0.0,-2.35,0.09028854625550654,False
K13@Rb42,K,Rb,MC,MC,0.09251101321585901,0.038,0.03,0.05,0.0,-2.35,0.09028854625550654,False
K13@Rb45,K,Rb,MC,MC,0.09251101321585901,0.038,0.03,0.05,0.0,-2.35,0.09028854625550654,False
Na147@K192,Na,K,MC,Ch1,0.22043010752688166,0.136,0.12,0.16,-4.82,0.0,0.0909053763440858,False
Ni55@Cu92,Ni,Cu,MC,Ch1,0.03225806451612906,0.136,0.12,0.16,-2.35,-4.61,0.1142967741935483,False
Ni55@Cu147,Ni,Cu,MC,Ch1,0.03225806451612906,0.136,0.12,0.16,-2.35,-4.61,0.1142967741935483,False
Cs55@Rb92,Cs,Rb,MC,MC,-0.06415094339622639,0.038,0.03,0.05,-2.35,-4.82,0.12242830188679235,False
Cs55@Rb147,Cs,Rb,MC,MC,-0.06415094339622639,0.038,0.03,0.05,-2.35,-4.82,0.12242830188679235,False
Cu147@Ag192,Cu,Ag,MC,MC,0.12499999999999993,0.038,0.03,0.05,-4.82,0.0,0.12989999999999974,False
Rb13@Cs32,Rb,Cs,MC,Ch1,0.06854838709677416,0.136,0.12,0.16,0.0,-2.15,0.13158064516129045,False
Rb13@Cs42,Rb,Cs,MC,Ch1,0.06854838709677416,0.136,0.12,0.16,0.0,-2.15,0.13158064516129045,False
Rb13@Cs45,Rb,Cs,MC,Ch1,0.06854838709677416,0.136,0.12,0.16,0.0,-2.15,0.13158064516129045,False
Cu13@Ni32,Cu,Ni,MC,MC,-0.03125000000000003,0.038,0.03,0.05,0.0,-2.35,0.1518750000000001,False
Cu13@Ni42,Cu,Ni,MC,MC,-0.03125000000000003,0.038,0.03,0.05,0.0,-2.35,0.1518750000000001,False
Cu13@Ni45,Cu,Ni,MC,MC,-0.03125000000000003,0.038,0.03,0.05,0.0,-2.35,0.1518750000000001,False
Na13@K32,Na,K,MC,Ch1,0.22043010752688166,0.136,0.12,0.16,0.0,-2.15,0.1710053763440858,False
Na13@K42,Na,K,MC,Ch1,0.22043010752688166,0.136,0.12,0.16,0.0,-2.15,0.1710053763440858,False
Na13@K45,Na,K,MC,Ch1,0.22043010752688166,0.136,0.12,0.16,0.0,-2.15,0.1710053763440858,False
Ni147@Cu192,Ni,Cu,MC,Ch1,0.03225806451612906,0.136,0.12,0.16,-4.82,0.0,0.1784967741935483,False
Ni55@Ag92,Ni,Ag,MC,MC,0.16129032258064513,0.038,0.03,0.05,-2.35,-4.82,0.186416129032258,False
Ni55@Ag147,Ni,Ag,MC,MC,0.16129032258064513,0.038,0.03,0.05,-2.35,-4.82,0.186416129032258,False
Cs147@Rb192,Cs,Rb,MC,MC,-0.06415094339622639,0.038,0.03,0.05,-4.82,0.0,0.19292830188679233,False
Rb55@K92,Rb,K,MC,MC,-0.08467741935483869,0.038,0.03,0.05,-2.35,-4.82,0.1942709677419354,False
Rb55@K147,Rb,K,MC,MC,-0.08467741935483869,0.038,0.03,0.05,-2.35,-4.82,0.1942709677419354,False
Cu13@Ag32,Cu,Ag,MC,MC,0.12499999999999993,0.038,0.03,0.05,0.0,-2.35,0.20399999999999974,False
Cu13@Ag42,Cu,Ag,MC,MC,0.12499999999999993,0.038,0.03,0.05,0.0,-2.35,0.20399999999999974,False
Cu13@Ag45,Cu,Ag,MC,MC,0.12499999999999993,0.038,0.03,0.05,0.0,-2.35,0.20399999999999974,False
K55@Cs92,K,Cs,MC,MC,0.16740088105726866,0.038,0.03,0.05,-2.35,-4.82,0.20780308370044034,False
K55@Cs147,K,Cs,MC,MC,0.16740088105726866,0.038,0.03,0.05,-2.35,-4.82,0.20780308370044034,False
K13@Cs42,K,Cs,MC,Ch2,0.16740088105726866,,0.19,0.22,0.0,0.0,0.223898678414097,False
Ni147@Ag192,Ni,Ag,MC,MC,0.16129032258064513,0.038,0.03,0.05,-4.82,0.0,0.25691612903225797,False
Ni13@Cu32,Ni,Cu,MC,Ch1,0.03225806451612906,0.136,0.12,0.16,0.0,-2.15,0.2585967741935483,False
Ni13@Cu42,Ni,Cu,MC,Ch1,0.03225806451612906,0.136,0.12,0.16,0.0,-2.15,0.2585967741935483,False
Ni13@Cu45,Ni,Cu,MC,Ch1,0.03225806451612906,0.136,0.12,0.16,0.0,-2.15,0.2585967741935483,False
Rb147@K192,Rb,K,MC,MC,-0.08467741935483869,0.038,0.03,0.05,-4.82,0.0,0.26477096774193537,False
Cs13@Rb32,Cs,Rb,MC,MC,-0.06415094339622639,0.038,0.03,0.05,0.0,-2.35,0.26702830188679233,False
Cs13@Rb42,Cs,Rb,MC,MC,-0.06415094339622639,0.038,0.03,0.05,0.0,-2.35,0.26702830188679233,False
Cs13@Rb45,Cs,Rb,MC,MC,-0.06415094339622639,0.038,0.03,0.05,0.0,-2.35,0.26702830188679233,False
Ag55@Na92,Ag,Na,MC,Ch1,0.2916666666666668,0.136,0.12,0.16,-2.35,-4.61,0.2760333333333338,False
Ag55@Na147,Ag,Na,MC,Ch1,0.2916666666666668,0.136,0.12,0.16,-2.35,-4.61,0.2760333333333338,False
K147@Cs192,K,Cs,MC,MC,0.16740088105726866,0.038,0.03,0.05,-4.82,0.0,0.2783030837004403,False
Ag55@Cu92,Ag,Cu,MC,MC,-0.11111111111111106,0.038,0.03,0.05,-2.35,-4.82,0.28678888888888876,False
Ag55@Cu147,Ag,Cu,MC,MC,-0.11111111111111106,0.038,0.03,0.05,-2.35,-4.82,0.28678888888888876,False
Ni13@Ag32,Ni,Ag,MC,MC,0.16129032258064513,0.038,0.03,0.05,0.0,-2.35,0.33101612903225797,False
Ni13@Ag42,Ni,Ag,MC,MC,0.16129032258064513,0.038,0.03,0.05,0.0,-2.35,0.33101612903225797,False
Ni13@Ag45,Ni,Ag,MC,MC,0.16129032258064513,0.038,0.03,0.05,0.0,-2.35,0.33101612903225797,False
Cu55@Ni92,Cu,Ni,MC,Ch1,-0.03125000000000003,0.136,0.12,0.16,-2.35,-4.61,0.33657500000000007,False
Cu55@Ni147,Cu,Ni,MC,Ch1,-0.03125000000000003,0.136,0.12,0.16,-2.35,-4.61,0.33657500000000007,False
Rb13@K32,Rb,K,MC,MC,-0.08467741935483869,0.038,0.03,0.05,0.0,-2.35,0.33887096774193537,False
Rb13@K42,Rb,K,MC,MC,-0.08467741935483869,0.038,0.03,0.05,0.0,-2.35,0.33887096774193537,False
Rb13@K45,Rb,K,MC,MC,-0.08467741935483869,0.038,0.03,0.05,0.0,-2.35,0.33887096774193537,False
Ag147@Na192,Ag,Na,MC,Ch1,0.2916666666666668,0.136,0.12,0.16,-4.82,0.0,0.3402333333333338,False
K13@Cs32,K,Cs,MC,MC,0.16740088105726866,0.038,0.03,0.05,0.0,-2.35,0.3524030837004403,False
K13@Cs42,K,Cs,MC,MC,0.16740088105726866,0.038,0.03,0.05,0.0,-2.35,0.3524030837004403,False
K13@Cs45,K,Cs,MC,MC,0.16740088105726866,0.038,0.03,0.05,0.0,-2.35,0.3524030837004403,False
Ag147@Cu192,Ag,Cu,MC,MC,-0.11111111111111106,0.038,0.03,0.05,-4.82,0.0,0.3572888888888887,False
Ag55@Ni92,Ag,Ni,MC,MC,-0.13888888888888887,0.038,0.03,0.05,-2.35,-4.82,0.3840111111111111,False
Ag55@Ni147,Ag,Ni,MC,MC,-0.13888888888888887,0.038,0.03,0.05,-2.35,-4.82,0.3840111111111111,False
Na55@K92,Na,K,MC,MC,0.22043010752688166,0.038,0.03,0.05,-2.35,-4.82,0.3934053763440858,False
Na55@K147,Na,K,MC,MC,0.22043010752688166,0.038,0.03,0.05,-2.35,-4.82,0.3934053763440858,False
Cs55@K92,Cs,K,MC,MC,-0.1433962264150943,0.038,0.03,0.05,-2.35,-4.82,0.3997867924528301,False
Cs55@K147,Cs,K,MC,MC,-0.1433962264150943,0.038,0.03,0.05,-2.35,-4.82,0.3997867924528301,False
Cu147@Ni192,Cu,Ni,MC,Ch1,-0.03125000000000003,0.136,0.12,0.16,-4.82,0.0,0.40077500000000005,False
Ag13@Na32,Ag,Na,MC,Ch1,0.2916666666666668,0.136,0.12,0.16,0.0,-2.15,0.4203333333333338,False
Ag13@Na42,Ag,Na,MC,Ch1,0.2916666666666668,0.136,0.12,0.16,0.0,-2.15,0.4203333333333338,False
Ag13@Na45,Ag,Na,MC,Ch1,0.2916666666666668,0.136,0.12,0.16,0.0,-2.15,0.4203333333333338,False
Na55@Rb92,Na,Rb,MC,Ch1,0.33333333333333326,0.136,0.12,0.16,-2.35,-4.61,0.4218666666666664,False
Na55@Rb147,Na,Rb,MC,Ch1,0.33333333333333326,0.136,0.12,0.16,-2.35,-4.61,0.4218666666666664,False
Ag13@Cu32,Ag,Cu,MC,MC,-0.11111111111111106,0.038,0.03,0.05,0.0,-2.35,0.4313888888888887,False
Ag13@Cu42,Ag,Cu,MC,MC,-0.11111111111111106,0.038,0.03,0.05,0.0,-2.35,0.4313888888888887,False
Ag13@Cu45,Ag,Cu,MC,MC,-0.11111111111111106,0.038,0.03,0.05,0.0,-2.35,0.4313888888888887,False
Cs55@Rb92,Cs,Rb,MC,Ch1,-0.06415094339622639,0.136,0.12,0.16,-2.35,-4.61,0.45172830188679247,False
Cs55@Rb147,Cs,Rb,MC,Ch1,-0.06415094339622639,0.136,0.12,0.16,-2.35,-4.61,0.45172830188679247,False
Ag147@Ni192,Ag,Ni,MC,MC,-0.13888888888888887,0.038,0.03,0.05,-4.82,0.0,0.45451111111111103,False
Na147@K192,Na,K,MC,MC,0.22043010752688166,0.038,0.03,0.05,-4.82,0.0,0.46390537634408574,False
Cs147@K192,Cs,K,MC,MC,-0.1433962264150943,0.038,0.03,0.05,-4.82,0.0,0.47028679245283006,False
Cu13@Ni32,Cu,Ni,MC,Ch1,-0.03125000000000003,0.136,0.12,0.16,0.0,-2.15,0.48087500000000005,False
Cu13@Ni42,Cu,Ni,MC,Ch1,-0.03125000000000003,0.136,0.12,0.16,0.0,-2.15,0.48087500000000005,False
Cu13@Ni45,Cu,Ni,MC,Ch1,-0.03125000000000003,0.136,0.12,0.16,0.0,-2.15,0.48087500000000005,False
Na147@Rb192,Na,Rb,MC,Ch1,0.33333333333333326,0.136,0.12,0.16,-4.82,0.0,0.48606666666666637,False
Cs147@Rb192,Cs,Rb,MC,Ch1,-0.06415094339622639,0.136,0.12,0.16,-4.82,0.0,0.5159283018867924,False
Rb55@K92,Rb,K,MC,Ch1,-0.08467741935483869,0.136,0.12,0.16,-2.35,-4.61,0.5235709677419355,False
Rb55@K147,Rb,K,MC,Ch1,-0.08467741935483869,0.136,0.12,0.16,-2.35,-4.61,0.5235709677419355,False
Ag13@Ni32,Ag,Ni,MC,MC,-0.13888888888888887,0.038,0.03,0.05,0.0,-2.35,0.528611111111111,False
Ag13@Ni42,Ag,Ni,MC,MC,-0.13888888888888887,0.038,0.03,0.05,0.0,-2.35,0.528611111111111,False
Ag13@Ni45,Ag,Ni,MC,MC,-0.13888888888888887,0.038,0.03,0.05,0.0,-2.35,0.528611111111111,False
K55@Na92,K,Na,MC,MC,-0.1806167400881057,0.038,0.03,0.05,-2.35,-4.82,0.53005859030837,False
K55@Na147,K,Na,MC,MC,-0.1806167400881057,0.038,0.03,0.05,-2.35,-4.82,0.53005859030837,False
Na13@K32,Na,K,MC,MC,0.22043010752688166,0.038,0.03,0.05,0.0,-2.35,0.5380053763440857,False
Na13@K42,Na,K,MC,MC,0.22043010752688166,0.038,0.03,0.05,0.0,-2.35,0.5380053763440857,False
Na13@K45,Na,K,MC,MC,0.22043010752688166,0.038,0.03,0.05,0.0,-2.35,0.5380053763440857,False
Cs13@K32,Cs,K,MC,MC,-0.1433962264150943,0.038,0.03,0.05,0.0,-2.35,0.5443867924528301,False
Cs13@K42,Cs,K,MC,MC,-0.1433962264150943,0.038,0.03,0.05,0.0,-2.35,0.5443867924528301,False
Cs13@K45,Cs,K,MC,MC,-0.1433962264150943,0.038,0.03,0.05,0.0,-2.35,0.5443867924528301,False
Na13@Rb32,Na,Rb,MC,Ch1,0.33333333333333326,0.136,0.12,0.16,0.0,-2.15,0.5661666666666664,False
Na13@Rb42,Na,Rb,MC,Ch1,0.33333333333333326,0.136,0.12,0.16,0.0,-2.15,0.5661666666666664,False
Na13@Rb45,Na,Rb,MC,Ch1,0.33333333333333326,0.136,0.12,0.16,0.0,-2.15,0.5661666666666664,False
Rb147@K192,Rb,K,MC,Ch1,-0.08467741935483869,0.136,0.12,0.16,-4.82,0.0,0.5877709677419354,False
Cs13@Rb32,Cs,Rb,MC,Ch1,-0.06415094339622639,0.136,0.12,0.16,0.0,-2.15,0.5960283018867925,False
Cs13@Rb42,Cs,Rb,MC,Ch1,-0.06415094339622639,0.136,0.12,0.16,0.0,-2.15,0.5960283018867925,False
Cs13@Rb45,Cs,Rb,MC,Ch1,-0.06415094339622639,0.136,0.12,0.16,0.0,-2.15,0.5960283018867925,False
K147@Na192,K,Na,MC,MC,-0.1806167400881057,0.038,0.03,0.05,-4.82,0.0,0.6005585903083699,False
Ag55@Cu92,Ag,Cu,MC,Ch1,-0.11111111111111106,0.136,0.12,0.16,-2.35,-4.61,0.6160888888888887,False
Ag55@Cu147,Ag,Cu,MC,Ch1,-0.11111111111111106,0.136,0.12,0.16,-2.35,-4.61,0.6160888888888887,False
Ag55@Na92,Ag,Na,MC,MC,0.2916666666666668,0.038,0.03,0.05,-2.35,-4.82,0.6427333333333338,False
Ag55@Na147,Ag,Na,MC,MC,0.2916666666666668,0.038,0.03,0.05,-2.35,-4.82,0.6427333333333338,False
Rb13@K32,Rb,K,MC,Ch1,-0.08467741935483869,0.136,0.12,0.16,0.0,-2.15,0.6678709677419354,False
Rb13@K42,Rb,K,MC,Ch1,-0.08467741935483869,0.136,0.12,0.16,0.0,-2.15,0.6678709677419354,False
Rb13@K45,Rb,K,MC,Ch1,-0.08467741935483869,0.136,0.12,0.16,0.0,-2.15,0.6678709677419354,False
K13@Na32,K,Na,MC,MC,-0.1806167400881057,0.038,0.03,0.05,0.0,-2.35,0.6746585903083699,False
K13@Na42,K,Na,MC,MC,-0.1806167400881057,0.038,0.03,0.05,0.0,-2.35,0.6746585903083699,False
K13@Na45,K,Na,MC,MC,-0.1806167400881057,0.038,0.03,0.05,0.0,-2.35,0.6746585903083699,False
Ag147@Cu192,Ag,Cu,MC,Ch1,-0.11111111111111106,0.136,0.12,0.16,-4.82,0.0,0.6802888888888887,False
Na55@Ag92,Na,Ag,MC,MC,-0.2258064516129033,0.038,0.03,0.05,-2.35,-4.82,0.6882225806451615,False
Na55@Ag147,Na,Ag,MC,MC,-0.2258064516129033,0.038,0.03,0.05,-2.35,-4.82,0.6882225806451615,False
Ag147@Na192,Ag,Na,MC,MC,0.2916666666666668,0.038,0.03,0.05,-4.82,0.0,0.7132333333333338,False
Ag55@Ni92,Ag,Ni,MC,Ch1,-0.13888888888888887,0.136,0.12,0.16,-2.35,-4.61,0.713311111111111,False
Ag55@Ni147,Ag,Ni,MC,Ch1,-0.13888888888888887,0.136,0.12,0.16,-2.35,-4.61,0.713311111111111,False
Cs55@K92,Cs,K,MC,Ch1,-0.1433962264150943,0.136,0.12,0.16,-2.35,-4.61,0.7290867924528301,False
Cs55@K147,Cs,K,MC,Ch1,-0.1433962264150943,0.136,0.12,0.16,-2.35,-4.61,0.7290867924528301,False
Na55@Cs92,Na,Cs,MC,Ch1,0.4247311827956988,0.136,0.12,0.16,-2.35,-4.61,0.741759139784946,False
Na55@Cs147,Na,Cs,MC,Ch1,0.4247311827956988,0.136,0.12,0.16,-2.35,-4.61,0.741759139784946,False
Na147@Ag192,Na,Ag,MC,MC,-0.2258064516129033,0.038,0.03,0.05,-4.82,0.0,0.7587225806451614,False
Ag13@Cu45,Ag,Cu,MC,Ch1,-0.11111111111111106,0.136,0.12,0.16,0.0,-2.15,0.7603888888888887,False
Ag13@Cu32,Ag,Cu,MC,Ch1,-0.11111111111111106,0.136,0.12,0.16,0.0,-2.15,0.7603888888888887,False
Ag13@Cu42,Ag,Cu,MC,Ch1,-0.11111111111111106,0.136,0.12,0.16,0.0,-2.15,0.7603888888888887,False
Rb55@Na92,Rb,Na,MC,MC,-0.24999999999999994,0.038,0.03,0.05,-2.35,-4.82,0.7728999999999997,False
Rb55@Na147,Rb,Na,MC,MC,-0.24999999999999994,0.038,0.03,0.05,-2.35,-4.82,0.7728999999999997,False
Ag147@Ni192,Ag,Ni,MC,Ch1,-0.13888888888888887,0.136,0.12,0.16,-4.82,0.0,0.777511111111111,False
Ag13@Na32,Ag,Na,MC,MC,0.2916666666666668,0.038,0.03,0.05,0.0,-2.35,0.7873333333333338,False
Ag13@Na42,Ag,Na,MC,MC,0.2916666666666668,0.038,0.03,0.05,0.0,-2.35,0.7873333333333338,False
Ag13@Na45,Ag,Na,MC,MC,0.2916666666666668,0.038,0.03,0.05,0.0,-2.35,0.7873333333333338,False
Na55@Rb92,Na,Rb,MC,MC,0.33333333333333326,0.038,0.03,0.05,-2.35,-4.82,0.7885666666666665,False
Na55@Rb147,Na,Rb,MC,MC,0.33333333333333326,0.038,0.03,0.05,-2.35,-4.82,0.7885666666666665,False
Cs147@K192,Cs,K,MC,Ch1,-0.1433962264150943,0.136,0.12,0.16,-4.82,0.0,0.7932867924528302,False
Na147@Cs192,Na,Cs,MC,Ch1,0.4247311827956988,0.136,0.12,0.16,-4.82,0.0,0.8059591397849459,False
Na13@Ag32,Na,Ag,MC,MC,-0.2258064516129033,0.038,0.03,0.05,0.0,-2.35,0.8328225806451615,False
Na13@Ag42,Na,Ag,MC,MC,-0.2258064516129033,0.038,0.03,0.05,0.0,-2.35,0.8328225806451615,False
Na13@Ag45,Na,Ag,MC,MC,-0.2258064516129033,0.038,0.03,0.05,0.0,-2.35,0.8328225806451615,False
Cu55@Na92,Cu,Na,MC,Ch1,0.45312500000000006,0.136,0.12,0.16,-2.35,-4.61,0.8411375000000002,False
Cu55@Na147,Cu,Na,MC,Ch1,0.45312500000000006,0.136,0.12,0.16,-2.35,-4.61,0.8411375000000002,False
Rb147@Na192,Rb,Na,MC,MC,-0.24999999999999994,0.038,0.03,0.05,-4.82,0.0,0.8433999999999997,False
Ag13@Ni32,Ag,Ni,MC,Ch1,-0.13888888888888887,0.136,0.12,0.16,0.0,-2.15,0.857611111111111,False
Ag13@Ni42,Ag,Ni,MC,Ch1,-0.13888888888888887,0.136,0.12,0.16,0.0,-2.15,0.857611111111111,False
Ag13@Ni45,Ag,Ni,MC,Ch1,-0.13888888888888887,0.136,0.12,0.16,0.0,-2.15,0.857611111111111,False
Na147@Rb192,Na,Rb,MC,MC,0.33333333333333326,0.038,0.03,0.05,-4.82,0.0,0.8590666666666664,False
K55@Na92,K,Na,MC,Ch1,-0.1806167400881057,0.136,0.12,0.16,-2.35,-4.61,0.8593585903083699,False
K55@Na147,K,Na,MC,Ch1,-0.1806167400881057,0.136,0.12,0.16,-2.35,-4.61,0.8593585903083699,False
Cs13@K32,Cs,K,MC,Ch1,-0.1433962264150943,0.136,0.12,0.16,0.0,-2.15,0.8733867924528301,False
Cs13@K42,Cs,K,MC,Ch1,-0.1433962264150943,0.136,0.12,0.16,0.0,-2.15,0.8733867924528301,False
Cs13@K45,Cs,K,MC,Ch1,-0.1433962264150943,0.136,0.12,0.16,0.0,-2.15,0.8733867924528301,False
Na13@Cs32,Na,Cs,MC,Ch1,0.4247311827956988,0.136,0.12,0.16,0.0,-2.15,0.886059139784946,False
Na13@Cs42,Na,Cs,MC,Ch1,0.4247311827956988,0.136,0.12,0.16,0.0,-2.15,0.886059139784946,False
Na13@Cs45,Na,Cs,MC,Ch1,0.4247311827956988,0.136,0.12,0.16,0.0,-2.15,0.886059139784946,False
Cu147@Na192,Cu,Na,MC,Ch1,0.45312500000000006,0.136,0.12,0.16,-4.82,0.0,0.9053375000000001,False
Rb13@Na32,Rb,Na,MC,MC,-0.24999999999999994,0.038,0.03,0.05,0.0,-2.35,0.9174999999999996,False
Rb13@Na42,Rb,Na,MC,MC,-0.24999999999999994,0.038,0.03,0.05,0.0,-2.35,0.9174999999999996,False
Rb13@Na45,Rb,Na,MC,MC,-0.24999999999999994,0.038,0.03,0.05,0.0,-2.35,0.9174999999999996,False
K147@Na192,K,Na,MC,Ch1,-0.1806167400881057,0.136,0.12,0.16,-4.82,0.0,0.9235585903083698,False
Na13@Rb32,Na,Rb,MC,MC,0.33333333333333326,0.038,0.03,0.05,0.0,-2.35,0.9331666666666665,False
Na13@Rb42,Na,Rb,MC,MC,0.33333333333333326,0.038,0.03,0.05,0.0,-2.35,0.9331666666666665,False
Na13@Rb45,Na,Rb,MC,MC,0.33333333333333326,0.038,0.03,0.05,0.0,-2.35,0.9331666666666665,False
Cs55@Na92,Cs,Na,MC,MC,-0.29811320754716975,0.038,0.03,0.05,-2.35,-4.82,0.9412962264150943,False
Cs55@Na147,Cs,Na,MC,MC,-0.29811320754716975,0.038,0.03,0.05,-2.35,-4.82,0.9412962264150943,False
