node_0,node_1,node_2,node_3,node_4,feature_mean,feature_std,feature_min,feature_max,graph_density,target
4.0,0.2,0.7,1.2,1.7,1.56,1.3184839779079607,0.2,4.0,1.0,-0.3456
2.2,2.7,3.2,3.7,4.2,3.2,0.7071067811865476,2.2,4.2,1.0,0.5678
0.4,0.9,1.4,1.9,2.4,1.4,0.7071067811865475,0.4,2.4,1.0,-0.1234
2.9,3.4,3.9,4.4,-2.0,2.52,2.3146490014686893,-2.0,4.4,1.0,0.789
-1.5,-1.0,-0.5,0.0,0.5,-0.5,0.7071067811865476,-1.5,0.5,1.0,-0.4567
1.0,1.5,2.0,-1.8,-1.3,0.28,1.5354478174135389,-1.8,2.0,1.0,0.2345
-0.8,-0.3,0.2,0.7,1.2,0.19999999999999996,0.7071067811865476,-0.8,1.2,1.0,-0.6789
1.7,2.2,-1.6,-1.1,-0.6,0.12000000000000004,1.5354478174135389,-1.6,2.2,1.0,0.9012
-0.1,0.4,0.9,1.4,1.9,0.9,0.7071067811865476,-0.1,1.9,1.0,-0.3456
2.4,-1.4,-0.9,-0.4,0.1,-0.04000000000000001,1.3184839779079607,-1.4,2.4,1.0,0.5678
0.6,1.1,1.6,2.1,2.6,1.6,0.7071067811865476,0.6,2.6,1.0,-0.1234
-1.2,-0.7,-0.2,0.3,0.8,-0.2,0.7071067811865476,-1.2,0.8,1.0,0.789
1.3,1.8,2.3,2.8,-1.0,1.44,1.3184839779079607,-1.0,2.8,1.0,-0.4567
-0.5,0.0,0.5,1.0,1.5,0.5,0.7071067811865476,-0.5,1.5,1.0,0.2345
2.0,2.5,3.0,-0.8,-0.3,1.28,1.5354478174135389,-0.8,3.0,1.0,-0.6789
0.2,0.7,1.2,1.7,2.2,1.2,0.7071067811865476,0.2,2.2,1.0,0.9012
2.7,3.2,-0.6,-0.1,0.4,1.1200000000000003,1.5354478174135389,-0.6,3.2,1.0,-0.3456
0.9,1.4,1.9,2.4,2.9,1.9,0.7071067811865476,0.9,2.9,1.0,0.5678
3.4,-0.4,0.1,0.6,1.1,0.9600000000000002,1.3184839779079607,-0.4,3.4,1.0,-0.1234
1.6,2.1,2.6,3.1,3.6,2.6,0.7071067811865476,1.6,3.6,1.0,0.789
-0.2,0.3,0.8,1.3,1.8,0.8,0.7071067811865476,-0.2,1.8,1.0,-0.4567
2.3,2.8,3.3,3.8,0.0,2.44,1.3184839779079607,0.0,3.8,1.0,0.2345
0.5,1.0,1.5,2.0,2.5,1.5,0.7071067811865476,0.5,2.5,1.0,-0.6789
3.0,3.5,4.0,0.2,0.7,2.28,1.5354478174135386,0.2,4.0,1.0,0.9012
1.2,1.7,2.2,2.7,3.2,2.2,0.7071067811865477,1.2,3.2,1.0,-0.3456
3.7,4.2,0.4,0.9,1.4,2.12,1.535447817413539,0.4,4.2,1.0,0.5678
1.9,2.4,2.9,3.4,3.9,2.9,0.7071067811865476,1.9,3.9,1.0,-0.1234
4.4,-2.0,-1.5,-1.0,-0.5,-0.11999999999999993,2.3146490014686893,-2.0,4.4,1.0,0.789
0.0,0.5,1.0,1.5,2.0,1.0,0.7071067811865476,0.0,2.0,1.0,-0.4567
-1.8,-1.3,-0.8,-0.3,0.2,-0.8,0.7071067811865476,-1.8,0.2,1.0,0.2345
0.7,1.2,1.7,2.2,-1.6,0.8399999999999999,1.3184839779079607,-1.6,2.2,1.0,-0.6789
-1.1,-0.6,-0.1,0.4,0.9,-0.10000000000000006,0.7071067811865476,-1.1,0.9,1.0,0.9012
1.4,1.9,2.4,-1.4,-0.9,0.6799999999999998,1.5354478174135386,-1.4,2.4,1.0,-0.3456
-0.4,0.1,0.6,1.1,1.6,0.6,0.7071067811865476,-0.4,1.6,1.0,0.5678
2.1,2.6,-1.2,-0.7,-0.2,0.5199999999999999,1.5354478174135389,-1.2,2.6,1.0,-0.1234
0.3,0.8,1.3,1.8,2.3,1.3,0.7071067811865475,0.3,2.3,1.0,0.789
2.8,-1.0,-0.5,0.0,0.5,0.36,1.3184839779079607,-1.0,2.8,1.0,-0.4567
1.0,1.5,2.0,2.5,3.0,2.0,0.7071067811865476,1.0,3.0,1.0,0.2345
-0.8,-0.3,0.2,0.7,1.2,0.19999999999999996,0.7071067811865476,-0.8,1.2,1.0,-0.6789
1.7,2.2,2.7,3.2,-0.6,1.8400000000000003,1.3184839779079607,-0.6,3.2,1.0,0.9012
-0.1,0.4,0.9,1.4,1.9,0.9,0.7071067811865476,-0.1,1.9,1.0,-0.3456
2.4,2.9,3.4,-0.4,0.1,1.6799999999999997,1.5354478174135386,-0.4,3.4,1.0,0.5678
0.6,1.1,1.6,2.1,2.6,1.6,0.7071067811865476,0.6,2.6,1.0,-0.1234
3.1,3.6,-0.2,0.3,0.8,1.52,1.5354478174135389,-0.2,3.6,1.0,0.789
1.3,1.8,2.3,2.8,3.3,2.3,0.7071067811865475,1.3,3.3,1.0,-0.4567
3.8,0.0,0.5,1.0,1.5,1.3599999999999999,1.3184839779079607,0.0,3.8,1.0,0.2345
2.0,2.5,3.0,3.5,4.0,3.0,0.7071067811865476,2.0,4.0,1.0,-0.6789
0.2,0.7,1.2,1.7,2.2,1.2,0.7071067811865476,0.2,2.2,1.0,0.9012
2.7,3.2,3.7,4.2,0.4,2.8400000000000003,1.3184839779079607,0.4,4.2,1.0,-0.3456
0.9,1.4,1.9,2.4,2.9,1.9,0.7071067811865476,0.9,2.9,1.0,0.5678
3.4,3.9,4.4,-2.0,-1.5,1.64,2.7904121559368247,-2.0,4.4,1.0,-0.1234
-1.0,-0.5,0.0,0.5,1.0,0.0,0.7071067811865476,-1.0,1.0,1.0,0.789
1.5,2.0,-1.8,-1.3,-0.8,-0.08000000000000003,1.5354478174135389,-1.8,2.0,1.0,-0.4567
-0.3,0.2,0.7,1.2,1.7,0.7,0.7071067811865476,-0.3,1.7,1.0,0.2345
2.2,-1.6,-1.1,-0.6,-0.1,-0.24000000000000005,1.318483977907961,-1.6,2.2,1.0,-1.2345
0.4,0.9,1.4,1.9,2.4,1.4,0.7071067811865475,0.4,2.4,1.0,-0.8765
-1.4,-0.9,-0.4,0.1,0.6,-0.3999999999999999,0.7071067811865476,-1.4,0.6,1.0,0.1234
