hour,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Bus10,Bus11,Bus12,Bus13,Bus14,Bus15,Bus16,Bus17,Bus18,Bus19,Bus20
19,0.0,0.0,0.0,0.0,0.0,1349.0275,7468.0631,8141.1675,8227.2363,0.0,9593.3466,8965.1632,4618.0082,8055.8039,8392.6064,9439.2165,6746.9478,7094.1991,6607.178,7512.0606
20,0.0,0.0,0.0,0.0,0.0,9481.9172,6964.4721,0.0,9069.4813,7780.8209,10575.444,9882.9519,10468.301,0.0,9251.7808,10405.535,7437.6516,7820.452,7283.5732,8281.0912
21,0.0,0.0,0.0,0.0,0.0,9377.8203,0.0,8331.1795,8969.9123,7695.3994,10459.342,0.0,10353.375,8600.3475,9150.2104,10291.298,7355.9975,7734.5954,7203.6107,8190.1774
22,0.0,0.0,0.0,0.0,0.0,6153.8099,7268.2795,0.0,8007.1434,6869.428,9336.7079,0.0,8694.2433,8115.6588,8168.0896,9186.7011,6566.4552,6904.417,6430.4245,7311.1
23,0.0,0.0,0.0,0.0,0.0,7223.8209,353.55261,0.0,4977.5701,3401.2975,8056.927,7529.3502,7975.3,4726.1694,7048.491,7927.4816,5666.3923,5958.0298,5549.0074,6308.9688
24,0.0,0.0,0.0,0.0,0.0,1892.7298,5901.0387,6432.9055,6500.9144,0.0,7580.3736,0.0,6103.0818,6580.2471,6631.5849,7458.5847,5331.235,5605.6226,5220.7931,5935.8041
25,0.0,0.0,0.0,0.0,0.0,7394.4386,1676.1284,6998.8103,7072.802,0.0,8247.2216,7707.1841,0.0,6943.0044,7214.9676,8114.7188,5800.2255,6098.751,5680.068,6457.9788
26,0.0,0.0,0.0,0.0,0.0,8534.308,4495.437,8077.6926,644.28108,0.0,9518.5494,8895.2639,7591.7741,8141.6118,8327.1711,9365.621,6694.3433,7038.8872,6555.6633,7453.4908
27,0.0,0.0,0.0,0.0,0.0,4550.3697,8085.7952,8814.5764,8907.7644,4759.8579,0.0,9706.7301,10281.642,8153.0231,9086.8134,10219.995,7305.0317,7681.0064,7153.7006,8133.432
28,0.0,0.0,0.0,0.0,0.0,4196.1631,7896.3505,8608.0569,8699.0616,3402.304,10143.517,9479.3081,0.0,8519.2914,8873.9156,9980.5479,7133.8798,7501.0457,6986.0943,7942.8712
29,0.0,0.0,0.0,0.0,0.0,683.01319,6942.7108,2127.7221,7648.4787,6561.7251,8918.4879,8334.4951,2523.0588,7840.6079,7802.2156,8775.2004,6272.3234,6595.1468,6142.3859,6983.6132
30,0.0,0.0,0.0,0.0,0.0,5056.8565,5902.153,0.0,6502.142,5578.2686,7581.8051,3579.1935,0.0,6265.874,6632.8372,7459.9931,5332.2417,5606.6811,5221.779,5936.925
31,0.0,0.0,0.0,0.0,0.0,6349.1488,0.0,4380.8132,6072.9792,5210.0845,2107.1159,6617.6841,0.0,5811.8454,6195.0481,6967.609,4980.2962,5236.6217,4877.1244,5545.0685
32,0.0,0.0,0.0,0.0,0.0,6923.2002,6011.0065,0.0,0.0,1657.6464,6906.7046,7216.0148,6596.1597,6558.8414,6755.1666,7597.5779,5430.5843,5710.0852,5318.0843,6046.4198
33,0.0,0.0,0.0,0.0,0.0,5161.404,6953.3346,7580.046,0.0,0.0,8932.1351,8347.2486,8841.6411,5609.9274,7814.1546,8788.6282,6281.9214,6605.2388,6151.7851,6994.2996
34,0.0,0.0,0.0,0.0,0.0,8699.155,0.0,8233.7198,1120.1387,7138.4896,9702.4078,9067.083,9604.11,4230.1399,8488.0171,9546.5255,6823.6499,7174.849,6682.2912,7597.4609
35,0.0,0.0,0.0,0.0,0.0,1241.4674,7280.0819,7936.2433,8020.1456,0.0,9351.869,4190.8812,8837.0276,8126.681,8181.3531,9201.6186,6577.1179,6915.6285,6440.8664,7322.9719
36,0.0,0.0,0.0,0.0,0.0,7216.3337,0.0,6830.2346,6902.4441,4797.9128,0.0,7521.5463,4218.7384,6612.6897,7041.1854,7919.265,5660.5193,5951.8545,5543.256,6302.4297
37,0.0,0.0,0.0,0.0,0.0,5990.9064,367.52765,5670.3719,5730.3193,1664.6662,6681.8234,572.93571,6614.1279,0.0,5845.5006,6574.4708,4699.2895,4941.1522,4601.9391,5232.1952
38,0.0,0.0,0.0,0.0,0.0,5545.9737,2083.9809,5249.2447,0.0,0.0,5928.742,0.0,5742.5053,5111.9963,5411.3669,6086.1979,4350.2826,4574.1826,4260.1622,4843.6105
39,0.0,0.0,0.0,0.0,0.0,6121.8972,0.0,5794.3543,5855.6124,3174.4176,5382.839,6380.8209,0.0,1992.4718,5973.3121,6718.2212,4802.0392,5049.1902,4702.5602,5346.5968
40,0.0,0.0,0.0,0.0,0.0,7179.5431,6233.5739,0.0,2470.3754,5891.5025,8007.5427,7483.1996,0.0,6605.7098,7005.2878,7878.8907,5631.6606,5921.5105,5514.9951,6270.2984
41,0.0,0.0,0.0,0.0,0.0,7811.3708,6782.1525,0.0,7471.5988,0.0,8712.2375,8141.7502,8623.9714,2555.3109,7621.7803,8572.2636,6127.2686,6442.6264,6000.3361,6822.109
42,0.0,0.0,0.0,0.0,0.0,318.85864,6453.6804,5488.5095,7109.7354,6099.5305,8290.2877,7747.4302,0.0,4654.304,7252.6434,8157.0931,5830.5137,6130.5981,5709.7288,6491.7017
43,0.0,0.0,0.0,0.0,0.0,6228.9862,4043.1745,0.0,5958.0433,5111.4795,0.0,2002.7351,6534.7017,5518.2264,6077.8019,6835.7416,4886.0402,5137.5145,4784.821,5440.1237
44,0.0,0.0,0.0,0.0,0.0,0.0,4352.0409,4574.5567,4794.4518,0.0,5590.5576,0.0,5533.9181,0.0,4890.8218,5500.7377,3931.8083,4134.1703,3850.357,4377.6806
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.227,4406.6517,1077.101,5138.3643,4801.8983,5086.3061,0.0,4495.2268,5055.8095,3613.7833,3799.7772,3538.9201,4023.5911
46,0.0,0.0,0.0,0.0,0.0,2283.5804,4532.1501,4940.6376,0.0,4283.4455,451.52158,0.0,5225.0517,4497.6194,5093.2285,5728.3857,4094.5262,4305.2629,4009.704,4558.8509
47,0.0,0.0,0.0,0.0,0.0,387.30272,5456.7685,5948.5928,0.0,5157.3249,7009.6718,6550.6705,0.0,5744.8716,6132.3143,6897.0519,4929.8635,5183.5934,4827.7365,5488.9166
48,0.0,0.0,0.0,0.0,0.0,4103.505,5985.5013,6524.9808,4661.9987,0.0,31.232598,6726.804,7610.9748,5771.9049,6726.504,7565.3408,5407.542,5685.8569,5295.5193,6020.7644
49,0.0,0.0,0.0,0.0,0.0,6489.0047,0.0,6141.8202,4492.566,5324.8496,2556.4069,6763.4551,0.0,5794.2681,6331.5095,7121.088,5089.9997,5351.9714,4984.5553,5667.2124
50,0.0,0.0,0.0,0.0,0.0,5288.0454,4591.2979,0.0,5058.0307,0.0,5897.903,5511.7016,0.0,662.73922,5159.6988,5803.1453,4147.9627,4361.4497,4062.0335,4618.3472
51,0.0,0.0,0.0,0.0,0.0,0.0,3576.1627,3898.486,1549.6908,0.0,0.0,0.0,4547.3358,2891.2194,4018.8902,4520.0708,3230.8488,3397.1339,3163.9185,3597.2314
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3586.9407,76.649719,0.0,0.0,3949.9874,3233.1584,2925.1654,3697.7229,4158.8519,2972.6574,3125.6539,2911.0758,3309.7607
53,0.0,0.0,0.0,0.0,0.0,3070.2367,0.0,0.0,4279.5851,3671.5094,4990.1987,0.0,0.0,3728.7197,4365.6062,4910.0244,3509.5792,3690.21,3436.8748,3907.5702
54,0.0,0.0,0.0,0.0,0.0,1167.2956,0.0,2617.5944,5336.8762,4578.5725,0.0,5815.5576,5147.9701,4759.524,5444.1491,6123.0683,4376.6368,4601.8932,4285.9704,4872.9532
55,0.0,0.0,0.0,0.0,0.0,6198.4098,598.93352,5866.7732,5928.7969,2520.6548,1845.9016,6460.5696,0.0,5292.2824,6047.9676,6802.1868,4862.056,5112.2959,4761.3336,5413.4196
56,0.0,0.0,0.0,0.0,0.0,5799.9886,0.0,5489.6689,5547.7059,0.0,6468.8875,0.0,3008.3547,5049.9395,5659.2166,6364.956,4549.5329,4783.6879,4455.2848,5065.456
57,0.0,0.0,0.0,0.0,0.0,0.0,3748.6295,4386.744,4433.1209,1221.3232,4393.1485,2856.1707,0.0,0.0,4522.228,5086.1779,3635.49,3822.6011,3560.1772,4047.7594
58,0.0,0.0,0.0,0.0,0.0,0.0,3076.8464,0.0,0.0,2908.0025,0.0,0.0,2594.2871,2542.7552,3457.7587,3888.9627,2779.7464,2922.8142,2722.1612,3094.9734
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2383.0621,0.0,0.0,3701.591,3459.2065,0.0,0.0,3238.2856,3642.1199,2603.3085,2737.2954,2549.3784,2898.5272
60,0.0,0.0,0.0,0.0,0.0,4099.5238,1497.4732,0.0,0.0,3364.0518,0.0,0.0,4015.999,3372.4083,4000.0239,4498.8517,3215.6819,3381.1863,3149.0658,3580.3445
61,0.0,0.0,0.0,0.0,0.0,0.0,4573.2194,0.0,5038.1144,4322.2611,5874.6797,2559.839,0.0,4504.2346,5139.3822,5780.295,4131.6299,4344.2762,4046.039,4600.1622
62,0.0,0.0,0.0,0.0,0.0,5916.2907,0.0,5599.7485,0.0,4854.883,6598.6024,6166.5184,3018.1259,0.0,5772.6959,6492.587,4640.7607,4879.611,4544.6227,5167.0292
63,0.0,0.0,0.0,0.0,0.0,5543.7312,0.0,5247.1222,5206.1457,0.0,6183.0765,5778.2016,0.0,1099.4604,5409.1788,6083.737,4348.5236,4572.3331,4258.4396,4841.652
64,0.0,0.0,0.0,0.0,0.0,4432.2523,0.0,0.0,0.0,3637.0874,3108.5574,0.0,4442.5915,3754.0894,4324.6767,4863.9908,3476.6754,3655.6126,3404.6526,3870.935
65,0.0,0.0,0.0,0.0,0.0,3435.0036,1313.1154,0.0,3285.5909,0.0,2680.4486,0.0,0.0,0.0,3351.6324,3769.6017,2694.4298,2833.1065,2638.612,2999.9817
66,0.0,0.0,0.0,0.0,0.0,0.0,2887.6946,0.0,0.0,0.0,0.0,2966.6547,3671.9014,0.0,3245.19,3649.8853,2608.8591,2743.1316,2554.814,2904.7072
67,0.0,0.0,0.0,0.0,0.0,4210.3045,3655.5591,0.0,0.0,0.0,1519.6963,4388.378,0.0,3466.1792,4108.1159,4620.4234,3302.5787,3472.5556,3234.1625,3677.0955
68,0.0,0.0,0.0,0.0,0.0,0.0,920.3024,5153.2667,1202.9562,4467.7912,6072.4795,5674.8466,0.0,4716.7994,5312.4246,5974.9169,4270.7414,4490.5475,4182.2687,4755.0491
69,0.0,0.0,0.0,0.0,0.0,1209.5265,5318.9106,5798.3096,5859.6095,0.0,0.0,4474.0272,6285.4654,5376.8099,5977.3896,6722.8071,4805.3171,5052.6368,4705.7702,5350.2465
70,0.0,0.0,0.0,0.0,0.0,5780.2535,2147.9583,5470.9897,0.0,4743.2514,2049.9445,6024.7275,0.0,5419.3985,5639.9605,6343.2985,4534.0526,4767.4108,4440.1251,5048.2202
71,0.0,0.0,0.0,0.0,0.0,4721.7056,3898.6385,0.0,4516.3251,0.0,5266.2487,3500.0457,0.0,0.0,4607.1047,5181.6393,3703.7237,3894.3466,3626.9973,4123.7309
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3648.4511,3130.0516,367.58009,0.0,3859.043,3066.6307,3721.7861,4185.9159,2992.0022,3145.9943,2930.0198,3331.2992
73,0.0,0.0,0.0,0.0,0.0,0.0,3310.8895,0.0,0.0,0.0,3533.6527,3974.6136,0.0,3127.039,3720.7763,4184.7803,2991.1904,3145.1407,2929.2249,3330.3954
74,0.0,0.0,0.0,0.0,0.0,0.0,729.4895,4533.2812,0.0,3930.2747,0.0,4417.1767,4881.2337,4152.8842,4673.2909,5256.0793,3756.9318,3950.2933,3679.1032,4182.9729
75,0.0,0.0,0.0,0.0,0.0,6075.3536,2434.1796,5750.3009,1339.022,4985.4093,276.62689,6332.3088,6707.36,0.0,5927.8982,6667.1439,4765.5302,5010.8022,4666.8075,5305.9477
76,0.0,0.0,0.0,0.0,0.0,6772.5052,5880.1668,0.0,6477.9208,1583.7044,0.0,7058.9462,7477.0348,5227.0526,6608.1291,7432.2039,5312.3786,5585.7956,5202.3273,5914.8094
77,0.0,0.0,0.0,0.0,0.0,6435.6117,5587.6621,329.89654,0.0,5281.0356,7177.8154,0.0,7105.095,5481.1152,6279.4124,7062.4941,5048.118,5307.9342,4943.5412,5620.5813
78,0.0,0.0,0.0,0.0,0.0,0.0,4697.9048,5121.3318,5175.4748,0.0,6034.8483,0.0,5973.7076,1270.2617,5279.5035,5937.8903,4244.2756,4462.7196,4156.3512,4725.5821
79,0.0,0.0,0.0,0.0,0.0,4571.7701,2547.0623,0.0,0.0,0.0,5099.0214,0.0,4655.9307,3714.013,4460.8082,5017.0987,3586.1136,3770.6834,3511.8237,3992.7837
80,0.0,0.0,0.0,0.0,0.0,135.54772,4040.5865,4404.7688,0.0,3818.8567,5190.4685,0.0,0.0,3852.6869,4540.8095,5107.0766,3650.4279,3838.3078,3574.8056,4064.3913
81,0.0,0.0,0.0,0.0,0.0,0.0,4943.241,0.0,5445.7509,0.0,6350.0031,3193.4515,6285.6695,4729.8311,5555.2123,6247.9817,4465.9222,4695.7739,4373.4061,4972.3637
82,0.0,0.0,0.0,0.0,0.0,2156.8541,6077.7826,6625.5796,6695.6255,0.0,7807.4159,6598.0207,0.0,6444.6693,6830.2097,7681.9792,5490.9126,5773.5184,5377.1628,6113.5894
83,0.0,0.0,0.0,0.0,0.0,7218.0422,0.0,7270.4436,7347.3071,6303.3462,3948.6893,8006.3104,8480.5097,0.0,7494.9903,8429.6621,6025.3402,6335.4519,5900.5192,6708.6217
84,0.0,0.0,0.0,0.0,0.0,7321.9569,0.0,6930.2066,0.0,6008.3667,8166.3808,7631.6368,8083.6449,1369.7064,7144.2451,8035.1768,5743.3706,6038.9699,5624.3909,6394.6765
85,0.0,0.0,0.0,0.0,0.0,3622.0738,5469.139,5962.0782,3095.3435,0.0,0.0,5995.882,6532.8134,5810.1084,6146.2162,6912.6875,4941.0395,5195.3445,4838.6809,5501.3599
86,0.0,0.0,0.0,0.0,0.0,0.0,4771.0721,0.0,5256.08,4509.2564,6128.8378,5727.5145,0.0,2711.1433,5361.7289,6030.3697,4310.3778,4532.224,4221.0841,4799.1804
87,0.0,0.0,0.0,0.0,0.0,5624.6683,0.0,5323.7289,5380.0116,0.0,6273.3479,2493.8562,0.0,5050.7188,5488.1515,6172.5581,4412.011,4639.088,4320.6118,4912.3389
88,0.0,0.0,0.0,0.0,0.0,1561.6296,5808.7077,6332.2526,6399.1975,0.0,0.0,6973.1618,6422.0746,6070.4279,6527.8234,7341.8835,5247.8195,5517.9139,5139.1057,5842.9292
89,0.0,0.0,0.0,0.0,0.0,7979.3835,1965.4998,7552.4585,7632.3034,0.0,8269.5683,8316.869,8809.4621,0.0,7785.7152,8756.6422,6259.0584,6581.1991,6129.3958,6968.844
90,0.0,0.0,0.0,0.0,0.0,8607.0089,7472.9582,0.0,8232.6289,7062.8749,9599.6347,0.0,7557.3452,8091.1939,8398.1074,9445.4036,6751.3702,7098.8491,6611.5088,7516.9845
91,0.0,0.0,0.0,0.0,0.0,7849.4549,7109.5692,0.0,7832.2992,6719.427,9132.8313,5302.338,9040.304,0.0,7989.731,8986.1,6423.0699,6753.652,6290.0096,7151.4546
92,0.0,0.0,0.0,0.0,0.0,0.0,6152.8359,6750.509,6821.8756,5852.572,2677.6451,7433.7514,7874.0391,0.0,6958.9975,7826.8277,5594.4472,5882.3817,5478.5526,6228.8649
93,0.0,0.0,0.0,0.0,0.0,6327.7179,3405.7721,0.0,6052.4805,5192.4984,7057.4785,2731.7277,0.0,5715.8125,6174.1373,6944.0905,4963.4857,5218.946,4860.6621,5526.3516
94,0.0,0.0,0.0,0.0,0.0,6468.6196,0.0,5251.9761,6187.2534,0.0,7214.63,0.0,7141.5366,5442.6841,6311.6191,7098.7172,5074.0095,5335.1582,4968.8963,5649.409
95,0.0,0.0,0.0,0.0,0.0,7523.2086,1636.8288,7120.6906,7195.9709,0.0,8390.8423,7841.4004,122.89519,7109.7945,7340.6122,8256.0321,5901.2332,6204.9574,5778.9832,6570.4409
96,0.0,0.0,0.0,0.0,0.0,8758.6251,7604.5976,0.0,8377.6502,7187.2904,48.438637,9129.0683,8678.0745,8149.5831,8546.0437,9611.7884,6870.2985,7223.8984,6727.9734,7649.3994
97,0.0,0.0,0.0,0.0,0.0,9298.3806,2234.9586,8800.8847,0.0,7630.2115,10370.741,9691.6526,5952.1556,8900.4868,9072.6988,10204.121,7293.6847,7669.0755,7142.5887,8120.7983
98,0.0,0.0,0.0,0.0,0.0,1506.269,5484.7952,6941.4704,8407.0779,7212.5368,9803.0505,9161.1355,9703.733,0.0,8576.0629,9645.5512,6894.4314,7249.2734,6751.6063,7676.2691
99,0.0,0.0,0.0,0.0,0.0,7428.6462,6659.8443,0.0,7336.8572,6294.3811,0.0,7994.9232,8468.4481,4096.5326,7484.3304,8417.6728,6016.7705,6326.4411,5892.127,6699.0802
100,0.0,0.0,0.0,0.0,0.0,6838.0422,5937.0688,1496.2289,0.0,5611.2683,7626.6573,7127.255,0.0,6381.1393,6672.0755,7504.1247,5363.7861,5639.849,5252.6699,5972.0465
101,0.0,0.0,0.0,0.0,0.0,0.0,6045.6238,6590.5222,0.0,5713.8663,3295.217,7257.5717,7687.4246,5370.543,6794.0696,7641.3322,5461.859,5742.9695,5348.7111,6081.2411
102,0.0,0.0,0.0,0.0,0.0,5108.2123,6928.7303,7553.224,3165.2651,6548.5118,5930.7863,8317.712,0.0,7694.6791,7786.5043,8757.5298,6259.6928,6581.8662,6130.017,6969.5503
103,0.0,0.0,0.0,0.0,0.0,9137.1833,7933.2774,0.0,8739.7423,7497.9337,10190.953,0.0,10087.705,7858.3938,8915.414,10027.221,7167.241,7536.124,7018.7644,7980.0157
104,0.0,0.0,0.0,0.0,0.0,2306.1255,6204.862,9055.7397,9151.4773,7851.1664,1848.0721,9972.3025,9473.9855,9482.6024,9335.425,10499.61,7504.8944,7891.1557,7349.423,8355.9595
105,0.0,0.0,0.0,0.0,0.0,8950.6207,4982.4316,8471.7312,0.0,1364.101,9982.8745,9329.1844,8075.3558,8517.3039,8733.3794,9822.4861,7020.9006,7382.2517,6875.4556,7817.0801
106,0.0,0.0,0.0,0.0,0.0,2249.9861,6733.1835,0.0,7417.6518,6363.6958,3302.0666,8082.9645,7530.5468,7230.1926,7566.749,8510.3695,6083.0281,6396.1089,5957.012,6772.8515
107,0.0,0.0,0.0,0.0,0.0,6882.3437,0.0,0.0,6582.9817,5647.622,1981.6841,6641.5919,7598.2996,6022.9357,6715.3018,7552.7416,5398.5363,5676.3878,5286.7002,6010.7375
108,0.0,0.0,0.0,0.0,0.0,6980.6867,4519.3124,0.0,6677.0471,5728.3218,7785.7527,6645.6188,0.0,3621.0725,6811.2579,7660.664,5475.677,5757.4986,5362.2428,6096.626
109,0.0,0.0,0.0,0.0,0.0,7950.9593,6903.3491,0.0,6479.6767,6524.5234,8867.9245,8287.2426,5860.0827,0.0,7757.9809,8725.4493,6236.7624,6557.7556,6107.5616,6944.0196
110,0.0,0.0,0.0,0.0,0.0,9022.6848,7833.8651,0.0,8630.2241,5606.9478,10063.249,9404.2964,9961.2959,0.0,8803.6944,9901.5698,7077.4279,7441.6884,6930.8119,7880.0176
111,0.0,0.0,0.0,0.0,0.0,9340.8033,8110.0686,1762.0988,8934.5054,7665.0234,8883.8601,9735.8696,0.0,9066.7844,9114.0918,10250.676,7326.9612,7704.0647,7175.1759,8157.8484
112,0.0,0.0,0.0,0.0,0.0,1255.618,7481.6082,5437.2907,8242.1582,0.0,9610.7463,8981.4236,9513.3772,6543.7681,8407.8283,9456.3367,6759.1849,7107.0661,6619.1616,7525.6855
113,0.0,0.0,0.0,0.0,0.0,46.557083,6381.034,3239.8165,7029.7041,6030.8706,8196.9674,7660.2206,0.0,7037.5508,7171.0034,8065.272,5764.882,6061.5885,5645.4567,6418.6273
114,0.0,0.0,0.0,0.0,0.0,6443.7127,0.0,0.0,6163.4298,5287.6832,6915.2574,6716.2475,0.0,5949.0677,6287.3168,7071.3842,5054.4725,5314.6156,4949.764,5627.6564
115,0.0,0.0,0.0,0.0,0.0,1627.8373,5664.2749,6174.8019,6240.0821,0.0,7276.2309,0.0,7202.5134,3712.9077,6365.5098,7159.3284,5117.3331,5380.7116,5011.3224,5697.6455
116,0.0,0.0,0.0,0.0,0.0,94.38016,6474.6482,7058.2151,3620.0145,6119.3478,8317.2227,7772.6014,0.0,7288.8496,7276.2071,8183.5953,5849.4569,6150.5162,5728.2795,6512.7931
117,0.0,0.0,0.0,0.0,0.0,8456.0612,0.0,8003.6323,8088.247,6939.0078,7156.8871,8813.7076,0.0,7939.8996,8250.8234,9279.7523,6632.9662,6974.3512,6495.5577,7385.1534
118,0.0,0.0,0.0,0.0,0.0,1452.0695,7534.4598,7313.9708,8300.3825,7121.0015,9678.6386,0.0,7666.4353,8150.0956,8467.2229,9523.1381,6806.9332,7157.2718,6665.9207,7578.8484
119,0.0,0.0,0.0,0.0,0.0,643.17369,6676.598,7446.2062,0.0,6455.7292,5577.8829,7581.1125,8685.5255,7337.1885,7676.1812,8633.4487,6171.0024,6488.611,6043.1639,6870.8022
120,0.0,0.0,0.0,0.0,0.0,6550.6244,5687.5209,3513.4919,286.75711,5375.4145,7306.0923,6827.681,0.0,2891.9544,6391.6337,7188.7101,5138.3345,5402.7938,5031.8887,5721.0284
121,0.0,0.0,0.0,0.0,0.0,2975.0677,4893.9714,5335.0701,0.0,4625.4115,1703.8837,5875.051,0.0,4938.2605,5499.843,6185.7076,4421.41,4648.9708,4329.8161,4922.8038
122,0.0,0.0,0.0,0.0,0.0,5724.009,2161.5232,5417.7545,0.0,4697.0975,0.0,1957.9497,6319.4658,4633.0386,5585.0811,6281.5754,4489.9342,4721.0218,4396.9208,4999.0988
123,0.0,0.0,0.0,0.0,0.0,6646.5956,3045.3418,6290.9794,0.0,2926.8044,7413.1316,6927.7112,0.0,5865.0104,6485.2755,7294.0296,5213.6146,5481.9485,5105.6093,5804.8454
124,0.0,0.0,0.0,0.0,0.0,7600.4391,6599.0131,2405.6649,7269.842,354.37417,8476.9796,7921.8973,0.0,7255.3176,7415.9682,8340.7855,5961.8131,6268.6552,5838.3081,6637.8906
125,0.0,0.0,0.0,0.0,0.0,7756.4539,3899.126,7341.4564,0.0,0.0,7091.1992,8084.5106,8563.3416,6402.4012,7568.1963,8511.9974,6084.1916,6397.3323,5958.1515,6774.147
126,0.0,0.0,0.0,0.0,0.0,6892.3223,5984.1969,0.0,6592.5262,5060.1009,0.0,7183.8309,7609.3162,2029.2152,6725.0381,7563.6921,5406.3635,5684.6178,5294.3653,6019.4524
127,0.0,0.0,0.0,0.0,0.0,5562.3632,4829.4719,0.0,2254.97,4564.4516,6203.8573,0.0,6141.0043,0.0,5427.3586,6104.1839,4363.1386,4587.7003,4272.7519,4857.9244
128,0.0,0.0,0.0,0.0,0.0,4676.0365,0.0,4425.8522,0.0,0.0,5215.3127,2075.994,5162.4749,0.0,4562.544,5131.5216,3667.9006,3856.6799,3591.9164,4083.8455
129,0.0,0.0,0.0,0.0,0.0,0.0,4172.7885,4548.8863,4596.9773,38.184366,5360.293,0.0,0.0,4187.6295,4689.3781,5274.1726,3769.8645,3963.8916,3691.768,4197.3722
