hour,Bus1-Bus2,Bus2-Bus3,Bus3-Bus4,Bus4-Bus5,Bus6-Bus7,Bus7-Bus8,Bus8-Bus9,Bus9-Bus10,Bus10-Bus11,Bus11-Bus12,Bus12-Bus13,Bus13-Bus14,Bus14-Bus15,Bus15-Bus16,Bus16-Bus17,Bus17-Bus18,Bus18-Bus19,Bus19-Bus20,Bus1-Bus6,Bus2-Bus7,Bus3-Bus8,Bus4-Bus9,Bus5-Bus10
25,-2250.7957,-4674.3068,-5000.0,-5000.0,2256.1361,-473.3692,3008.5423,5000.0,1342.12,2053.2424,2671.5995,-4961.6709,-4059.3,-3248.8799,-2440.313,-1712.0411,-1239.8999,-515.96021,1500.0,1500.0,1500.0,1500.0,1500.0
26,-2366.5326,-4932.405,-5000.0,-4550.2663,2354.2219,1481.4046,5000.0,-477.04836,-5000.0,-4246.6096,-3667.7638,-5000.0,-4179.6207,-3347.0093,-2518.6549,-1765.1247,-1212.3629,-500.57618,1500.0,1500.0,1500.0,1500.0,1500.0
27,-2336.8939,-5000.0,-5000.0,-4115.8531,-2542.4919,-545.5309,2956.2935,5000.0,4658.6817,-5000.0,-4395.7896,-3972.4264,-3964.3617,-3074.3941,-2233.546,-1522.9109,-1032.4936,-444.14827,1500.0,1500.0,1500.0,1500.0,1500.0
28,-2423.4273,-5000.0,-5000.0,-3012.2381,-2630.3082,-609.5593,2923.9474,5000.0,3367.1873,4252.2382,5000.0,-4626.9407,-3990.6545,-3155.3698,-2345.8342,-1609.4824,-1053.5116,-438.37429,1500.0,1500.0,1500.0,1500.0,1500.0
29,-2311.9053,-4810.5837,-5000.0,-4565.0705,-5000.0,-3029.3442,-5000.0,-2897.0553,-517.35815,257.84748,802.78415,-5000.0,-3885.1087,-3101.0708,-2382.4491,-1633.9778,-1110.1861,-460.72071,1500.0,1500.0,1500.0,1500.0,1500.0
30,-2190.2187,-4539.2175,-5000.0,-3254.8586,628.3667,2598.5996,-300.59001,1804.3743,4201.1654,5000.0,2129.5675,-5000.0,-4159.918,-3202.2058,-2339.6507,-1586.2907,-1028.4475,-390.24967,1500.0,1500.0,1500.0,1500.0,1500.0
31,-2144.662,-4437.6241,-1342.4423,-3800.0013,2282.8395,-1334.2899,503.75215,2534.6338,5000.0,855.64026,1503.3281,-5000.0,-4082.9823,-3139.3205,-2269.1455,-1510.0271,-1018.6824,-436.83981,1500.0,1500.0,1500.0,1500.0,1500.0
32,-2202.9485,-4567.6053,-5000.0,-5000.0,2251.9679,4251.1394,1241.3647,-3332.5669,-5000.0,-5000.0,-4321.8254,-5000.0,-4007.3923,-3194.6689,-2366.7496,-1592.1634,-1033.4799,-382.93453,1500.0,1500.0,1500.0,1500.0,1500.0
33,-2313.1477,-4813.3543,-5000.0,-2907.3199,-481.05962,1485.3572,5000.0,-594.68247,-4825.0507,-3916.5976,-3289.9158,-2853.092,-3979.5936,-3066.6951,-2338.891,-1529.4532,-1120.4167,-488.00882,1500.0,1500.0,1500.0,1500.0,1500.0
34,-2383.2704,-4969.7309,-5000.0,-3797.7191,2190.7441,-3365.8756,168.25525,-5000.0,-2648.3863,-1844.5885,-1211.1434,-830.78701,-3989.2021,-3136.5563,-2371.9234,-1533.8062,-982.00557,-382.93453,1500.0,1500.0,1500.0,1500.0,1500.0
35,-2351.3586,-4898.5664,-4275.4785,-1687.2682,-5000.0,-3104.5379,538.79554,2656.1063,-1900.4682,-1044.5509,-5000.0,-5000.0,-4000.573,-3111.9036,-2346.6035,-1574.8426,-1094.3442,-533.9367,1500.0,1500.0,1500.0,1500.0,1500.0
36,-2232.7118,-4633.9789,-5000.0,-2184.4133,2264.8043,-1950.1077,1695.9201,3748.4255,5000.0,-2228.4837,-1609.0031,-5000.0,-4142.0796,-3255.8021,-2468.2125,-1713.556,-1092.053,-451.30651,1500.0,1500.0,1500.0,1500.0,1500.0
37,-2108.2878,-4356.508,-5000.0,-3825.1099,2206.6837,-685.73421,2945.206,5000.0,4198.2328,5000.0,-90.496225,281.98004,-4139.3865,-3285.0097,-2500.6339,-1726.8815,-1129.3037,-467.18297,1500.0,1500.0,1500.0,1500.0,1500.0
38,-2063.1115,-4255.7629,-5000.0,-1182.7895,2169.4716,1446.2277,5000.0,1735.8521,-429.63181,160.54941,-5000.0,-5000.0,-3924.0514,-3104.0284,-2395.0328,-1582.2792,-1004.3546,-457.01542,1500.0,1500.0,1500.0,1500.0,1500.0
39,-2121.588,-4386.168,-5000.0,-3278.3652,2244.7163,-1164.3962,2434.7808,4489.8442,5000.0,4439.5705,5000.0,-1430.9844,-4037.8412,-3221.3037,-2475.199,-1644.4556,-1019.458,-485.07752,1500.0,1500.0,1500.0,1500.0,1500.0
40,-2228.9763,-4625.6485,-5000.0,-1796.2369,2210.5262,4206.2955,1091.7004,-1311.0015,1050.5768,1923.3762,2510.4723,-5000.0,-4040.2235,-3244.1922,-2481.3836,-1660.6054,-1166.1477,-581.67452,1500.0,1500.0,1500.0,1500.0,1500.0
41,-2293.129,-4768.7119,-3901.8153,-220.81044,2159.6901,4080.3662,317.78318,2226.8513,-1864.6828,-998.59354,-442.91139,-86.880418,-3964.4468,-3174.2891,-2361.9282,-1557.0521,-936.06467,-397.56241,1500.0,1500.0,1500.0,1500.0,1500.0
42,-2254.7163,-4683.0499,-3752.3277,-1252.3596,-5000.0,-3048.5602,-853.71434,1129.2662,3562.4438,4397.824,5000.0,-2831.6391,-4165.4336,-3347.7759,-2571.6617,-1715.1514,-1144.2603,-596.68909,1500.0,1500.0,1500.0,1500.0,1500.0
43,-2132.4613,-4410.4159,-5000.0,-1555.3956,2213.1204,2936.5001,686.45357,2606.5172,5000.0,-1042.4066,-5000.0,-5000.0,-4108.1485,-3334.0498,-2550.7249,-1653.6903,-1151.4165,-560.06695,1500.0,1500.0,1500.0,1500.0,1500.0
44,-2008.9431,-4134.9651,-2286.794,-1208.0499,-2818.011,-824.01743,2640.4286,4557.0477,2841.5724,3677.2084,-1112.1056,-784.34451,-4067.202,-3234.4885,-2481.8451,-1556.6664,-996.57606,-492.3432,1500.0,1500.0,1500.0,1500.0,1500.0
45,-1967.7772,-3067.8791,648.39467,1027.79,-2456.2404,-4430.7207,-5000.0,-3036.2136,-3162.9869,-2214.039,-1637.4077,-1239.2059,-4129.7792,-3267.9728,-2442.9247,-1569.2564,-1132.4221,-507.44532,1500.0,1500.0,1500.0,1500.0,1500.0
46,-2030.0057,-3027.1731,817.86308,296.52861,-692.95956,1376.4937,5000.0,1996.1242,4438.8745,-18.07782,-5000.0,-5000.0,-4075.0384,-3327.4026,-2544.9603,-1659.4483,-1219.8012,-652.34288,1500.0,1500.0,1500.0,1500.0,1500.0
47,-2138.1339,-4423.0661,-2406.7726,-66.587378,-3801.2038,-1739.3174,1863.7304,-2225.6345,175.76297,1008.9391,1471.8617,-5000.0,-3884.7681,-3106.3594,-2378.8427,-1515.9875,-1076.6815,-527.19049,1500.0,1500.0,1500.0,1500.0,1500.0
48,-2199.9658,-2069.4887,-1399.7818,-218.44507,-693.97157,1361.4279,5000.0,5000.0,1771.9011,-5000.0,-5000.0,-4562.5243,-4068.3521,-3286.293,-2435.9434,-1526.9599,-1094.4197,-521.23689,1500.0,1500.0,1500.0,1500.0,1500.0
49,-2158.8623,-3776.0702,-1387.4915,-1047.9763,2112.0945,-1445.6425,2196.6775,2481.1947,5000.0,1176.3075,1727.5486,-5000.0,-4084.7909,-3312.4319,-2486.9696,-1619.1639,-1223.1155,-638.60438,1500.0,1500.0,1500.0,1500.0,1500.0
50,-2036.9227,-2557.0871,-1569.1224,-869.09051,2146.3269,4333.8398,2874.2463,4798.6111,2937.0255,3840.2054,4264.5633,-1111.5548,-4071.843,-3326.3664,-2547.0243,-1610.1554,-1109.3753,-599.8321,1500.0,1500.0,1500.0,1500.0,1500.0
51,-1918.2092,-1789.0033,989.30072,344.33977,-1954.5255,118.18299,3626.0188,3278.8493,2309.183,-1339.2594,-5000.0,-4500.6497,-4012.4299,-3239.3009,-2450.5601,-1635.2962,-1216.7919,-535.4792,1500.0,1500.0,1500.0,1500.0,1500.0
52,-1884.7882,-3858.0943,-4516.4662,-1613.4991,-1644.4734,-2842.2036,629.432,-975.63459,-1548.129,-5000.0,-4472.8253,-5000.0,-4128.8676,-3372.9199,-2534.114,-1652.7517,-1210.6019,-590.99492,1500.0,1500.0,1500.0,1500.0,1500.0
53,-1954.2887,-3042.3823,-2459.9014,-2005.0922,777.50388,-966.46011,-1623.6599,238.61542,2704.6757,3568.5754,-608.69567,-5000.0,-4010.8168,-3332.3882,-2474.2044,-1566.4587,-1175.9615,-525.03141,1500.0,1500.0,1500.0,1500.0,1500.0
54,-2066.5228,-3038.1758,-2379.4091,-2094.3244,-2303.1163,-5000.0,-4177.6596,-2216.069,383.906,-5000.0,-4525.4323,-5000.0,-4196.8969,-3425.0104,-2569.5376,-1675.5989,-1313.5766,-625.96957,1500.0,1500.0,1500.0,1500.0,1500.0
55,-2129.3567,-3537.5275,-3697.9087,-2828.149,2252.9184,-375.81475,3050.2837,5000.0,5000.0,802.11466,1297.6442,-5000.0,-4298.3819,-3524.7584,-2653.7045,-1643.3594,-1217.1593,-617.18246,1500.0,1500.0,1500.0,1500.0,1500.0
56,-2088.9029,-4313.2789,-3709.1662,-2919.0103,2186.5345,-721.85696,2816.9561,4820.1168,2553.9139,3389.2353,-2143.275,-5000.0,-4156.1392,-3462.5376,-2513.0974,-1629.8731,-1267.8508,-582.62963,1500.0,1500.0,1500.0,1500.0,1500.0
57,-1970.5869,-4049.4291,-3827.5555,-2972.6618,-2377.6047,-615.64827,3018.5545,5000.0,5000.0,5000.0,3551.3155,-1042.9709,-4101.045,-3363.2554,-2437.4109,-1632.5189,-1222.8881,-564.94054,1500.0,1500.0,1500.0,1500.0,1500.0
58,-1859.8173,-2796.6125,-3051.9315,-2862.9903,-1314.325,859.27058,1005.4619,-433.29454,2088.5179,-1076.6963,-4240.7883,-5000.0,-4212.6592,-3436.9464,-2548.6281,-1709.3861,-1347.3638,-624.86516,1500.0,1500.0,1500.0,1500.0,1500.0
59,-1836.9788,-3751.4772,-3291.4927,-1589.2168,-1072.4263,-1923.591,853.03639,-414.19096,-577.68721,175.98301,691.47253,-2415.6977,-4039.9903,-3301.8571,-2370.9391,-1627.0051,-1107.5635,-526.08568,1500.0,1500.0,1500.0,1500.0,1500.0
60,-1916.2459,-3928.2463,-5000.0,-3872.1886,2263.2763,2298.4691,1908.8478,-43.246733,2495.4786,-1238.3288,-5000.0,-5000.0,-4080.3808,-3269.841,-2434.1165,-1616.6037,-1145.1314,-455.89257,1500.0,1500.0,1500.0,1500.0,1500.0
61,-2034.8085,-4192.6461,-5000.0,-3779.8349,-2999.1394,-962.02167,-2470.878,-522.56892,1945.1958,2723.3607,317.48043,-5000.0,-4196.0558,-3311.6272,-2402.5287,-1633.5238,-1195.1237,-526.18548,1500.0,1500.0,1500.0,1500.0,1500.0
62,-2100.7117,-4339.613,-5000.0,-4004.3583,2288.1949,-785.30697,2738.7414,-947.20722,1524.7851,2390.6734,2923.9029,-61.261356,-4388.6165,-3651.4959,-2671.6656,-1825.5588,-1320.8343,-596.83511,1500.0,1500.0,1500.0,1500.0,1500.0
63,-2062.8838,-3843.974,-4180.4369,-2697.849,2332.0919,-407.69368,3054.1354,5000.0,2999.2202,3762.2213,4373.1607,-1151.0455,-3925.6178,-3207.4547,-2330.5215,-1567.1837,-1158.5053,-430.96392,1500.0,1500.0,1500.0,1500.0,1500.0
64,-1950.0296,-4003.5854,-4653.4019,-3180.8812,2284.0347,498.68263,-206.77813,-2339.5808,132.0713,-975.38105,-5000.0,-5000.0,-4042.7504,-3229.1822,-2386.9158,-1610.4484,-1122.0108,-453.39092,1500.0,1500.0,1500.0,1500.0,1500.0
65,-1848.7737,-3777.7805,-5000.0,-5000.0,2317.0383,2704.8577,2947.6342,5000.0,4639.9495,4200.3661,1049.2792,-2311.1804,-4067.8696,-3222.138,-2374.8673,-1631.6431,-1149.5373,-482.87298,1500.0,1500.0,1500.0,1500.0,1500.0
66,-1837.6973,-3753.0794,-5000.0,-4552.6177,-1042.7946,1062.7342,1362.5586,162.59345,-145.82267,-3144.1835,-3024.902,-2520.0316,-4125.2447,-3315.9991,-2496.8564,-1640.8448,-1144.3397,-450.97931,1500.0,1500.0,1500.0,1500.0,1500.0
67,-1927.4941,-3953.3302,-5000.0,-5000.0,2364.1313,4400.3764,3950.9987,1994.3617,1018.2754,-1446.7748,-841.26697,-5000.0,-4084.2845,-3180.0896,-2353.2906,-1604.7118,-1046.5173,-397.40986,1500.0,1500.0,1500.0,1500.0,1500.0
68,-2052.8155,-4232.8023,-5000.0,-4419.5896,-3183.3446,-5000.0,-1516.3547,-3407.1659,-857.54885,-77.479279,525.66454,-5000.0,-4235.6962,-3460.9869,-2622.2275,-1768.782,-1226.4785,-496.85665,1500.0,1500.0,1500.0,1500.0,1500.0
69,-2122.0123,-4387.1142,-5000.0,-4294.5977,-2530.2036,-490.26182,2972.0059,5000.0,2354.8125,-3680.5752,-5000.0,-5000.0,-4208.8333,-3323.3039,-2546.0167,-1744.646,-1213.8507,-552.52299,1500.0,1500.0,1500.0,1500.0,1500.0
70,-2086.8991,-4308.8104,-5000.0,-5000.0,2293.8505,1464.304,5000.0,1525.6786,3951.0268,265.21735,938.24764,-5000.0,-3864.8401,-3036.0786,-2198.1989,-1412.8921,-969.26026,-443.69911,1500.0,1500.0,1500.0,1500.0,1500.0
71,-1979.4193,-4069.1256,-5000.0,-3671.2453,2222.1947,3932.3635,2937.0029,5000.0,3609.4892,4440.3065,3687.2935,-1007.8955,-4122.6209,-3170.6837,-2299.4487,-1517.5857,-1030.0843,-387.73451,1500.0,1500.0,1500.0,1500.0,1500.0
72,-1887.2923,-3863.6784,-5000.0,-4207.7865,-1517.9876,-2835.5177,-2915.247,-892.87038,1506.667,-1609.1678,-5000.0,-5000.0,-4046.5167,-3075.4228,-2305.9297,-1518.9581,-981.55844,-382.93453,1500.0,1500.0,1500.0,1500.0,1500.0
73,-1887.1872,-3863.4441,-5000.0,-3439.3628,-1562.7232,429.88983,360.27523,-1195.4722,-1907.6043,-1814.8507,-1170.1402,-5000.0,-3989.2487,-3152.1517,-2272.5553,-1561.9201,-1006.9625,-448.9969,1500.0,1500.0,1500.0,1500.0,1500.0
74,-1986.3067,-4084.4848,-5000.0,-3119.6515,-2469.5906,-3961.3099,-355.62246,-2887.5274,-554.15564,-5000.0,-5000.0,-5000.0,-3994.8579,-3144.5719,-2326.4031,-1560.8414,-1061.7388,-495.33533,1500.0,1500.0,1500.0,1500.0,1500.0
75,-2116.8622,-4375.6292,-5000.0,-2838.9517,2237.2616,1413.6312,5000.0,2598.766,5000.0,-628.04928,-76.031791,251.72927,-4356.8608,-3435.4639,-2601.8141,-1771.9579,-1091.9882,-469.47575,1500.0,1500.0,1500.0,1500.0,1500.0
76,-2187.6476,-4533.4838,-5000.0,-3010.5735,2238.4636,4177.0015,1339.2119,3337.7943,1729.2367,-5000.0,-4414.4749,-4028.3185,-4154.2431,-3296.2237,-2556.7711,-1762.4392,-1125.0963,-452.57956,1500.0,1500.0,1500.0,1500.0,1500.0
77,-2153.4411,-4457.2017,-4586.1371,-2051.777,2156.2844,4108.0511,1971.6377,-2171.1219,249.07089,1053.4867,-5000.0,-4528.4872,-4050.0729,-3177.6807,-2371.4335,-1634.8593,-1042.7772,-431.46721,1500.0,1500.0,1500.0,1500.0,1500.0
78,-2049.3897,-4225.1626,-5000.0,-3598.6965,-3193.3603,-1255.384,2407.9378,4469.6147,2457.748,3210.0656,-1777.8216,-1393.3938,-3923.3871,-3051.7786,-2350.5251,-1535.6038,-971.26699,-415.61623,1500.0,1500.0,1500.0,1500.0,1500.0
79,-1964.1955,-4035.1761,-5000.0,-1241.6879,2107.7914,2635.6754,1938.9731,-437.1242,-1690.705,-856.35902,-5000.0,-5000.0,-4145.7998,-3377.2805,-2583.2629,-1669.3991,-1122.1823,-522.10807,1500.0,1500.0,1500.0,1500.0,1500.0
80,-1972.5205,-4053.7412,-4927.412,-1649.5221,-2379.6959,-480.6519,3130.0338,769.76227,3168.6017,4037.9713,-189.87862,-5000.0,-4101.4471,-3244.8528,-2491.6312,-1589.3533,-1083.6303,-536.82829,1500.0,1500.0,1500.0,1500.0,1500.0
81,-2078.0802,-4289.1437,-2634.2421,-1006.0518,-3448.8539,-1553.3918,-3391.3348,-1417.7336,-3700.5585,-2861.359,-5000.0,-4652.9138,-3936.409,-3122.0435,-2353.0472,-1505.0366,-953.85069,-425.0021,1500.0,1500.0,1500.0,1500.0,1500.0
82,-2210.7575,-4585.0198,-4910.4936,-2493.7111,-2608.2985,-561.49907,3006.4588,5000.0,1642.9223,2532.3649,2367.6316,-5000.0,-4063.8686,-3249.134,-2559.6305,-1650.1195,-1097.2899,-593.05705,1500.0,1500.0,1500.0,1500.0,1500.0
83,-2279.9351,-4739.289,-2938.9024,-939.82498,1743.281,-2992.8218,616.32979,2634.1025,5000.0,1287.323,1863.253,2230.0105,-3977.0705,-3075.7723,-2380.7846,-1526.9384,-1057.6508,-553.41789,1500.0,1500.0,1500.0,1500.0,1500.0
84,-2243.4363,-4657.895,2138.8417,1470.2726,2127.5822,-2294.1199,1301.3592,-3812.6879,-1404.7619,-509.30431,73.774004,525.2827,-4001.9853,-3246.549,-2475.2069,-1678.8218,-1140.3062,-605.46396,1500.0,1500.0,1500.0,1500.0,1500.0
85,-2139.5805,-4426.2922,-880.71943,946.87203,-511.91801,1383.5441,5000.0,3932.5093,1148.3561,-5000.0,-5000.0,-5000.0,-3933.6139,-3085.8821,-2388.4287,-1544.7047,-1041.0162,-478.52494,1500.0,1500.0,1500.0,1500.0,1500.0
86,-2057.9461,-4244.2439,-2249.3189,-774.00497,-3335.0028,-1360.6629,-2934.9589,-1070.4389,1347.2396,2266.7217,2847.352,-2873.6833,-3973.5623,-3191.7114,-2418.716,-1443.4836,-1038.3299,-486.63505,1500.0,1500.0,1500.0,1500.0,1500.0
87,-2071.1018,-4273.5815,-1615.6773,480.8535,2096.5228,-835.70931,2811.2543,4806.8859,2676.837,3609.6324,787.42386,-5000.0,-3890.6853,-3119.9743,-2430.4707,-1541.3308,-1095.0193,-555.71041,1500.0,1500.0,1500.0,1500.0,1500.0
88,-2179.2909,-4514.848,-3166.1461,-346.96326,-2903.2859,-792.42563,2819.4737,4717.3208,1607.6253,-5000.0,-4480.583,-5000.0,-4085.4877,-3271.9467,-2465.5338,-1570.6312,-1113.246,-595.28231,1500.0,1500.0,1500.0,1500.0,1500.0
89,-2310.1882,-4806.7546,-2856.319,-1200.279,2191.2702,-680.92591,2952.3145,5000.0,950.95209,1296.425,1843.6138,2330.8592,-4216.1523,-3435.1392,-2723.8768,-1829.1795,-1267.7925,-665.53904,1500.0,1500.0,1500.0,1500.0,1500.0
90,-2373.9143,-1295.8793,446.372,394.62461,2135.3111,4151.3886,-390.79212,1496.6325,4015.555,4910.3769,-3575.2121,-5000.0,-4212.7511,-3429.3307,-2619.0019,-1613.1626,-1128.9426,-615.07047,1500.0,1500.0,1500.0,1500.0,1500.0
91,-2331.4183,-1485.311,-668.30308,-1678.6776,1809.3369,3982.4087,-274.57363,1647.7719,4105.9781,5000.0,2204.728,2606.4324,-4188.2844,-3393.0089,-2568.4696,-1577.2913,-1197.591,-570.05414,1500.0,1500.0,1500.0,1500.0,1500.0
92,-2224.1593,-4614.9064,-5000.0,-2826.4676,-4972.3375,-2893.2853,642.02663,2631.4075,5000.0,643.5462,1112.7285,1535.8927,-4053.3227,-3329.7667,-2560.3234,-1541.9346,-1080.1596,-531.61282,1500.0,1500.0,1500.0,1500.0,1500.0
93,-2142.486,-1360.0337,-617.63912,-433.3691,2096.348,2069.3576,-355.31015,1658.1226,4112.2863,5000.0,1574.1485,-5000.0,-4021.4286,-3317.2327,-2472.5943,-1577.1506,-1215.1283,-643.47901,1500.0,1500.0,1500.0,1500.0,1500.0
94,-2156.7925,-3821.6208,-605.14299,-549.34306,2146.4454,-1510.7189,1118.9012,3137.6335,387.85637,1301.5964,-5000.0,-4526.4891,-3986.0687,-3307.64,-2467.849,-1555.2576,-1078.1139,-531.11754,1500.0,1500.0,1500.0,1500.0,1500.0
