hour,total_demand,total_generation,wind_generation,gas_generation,nuclear_generation,wind_available,wind_curtailment,storage_charge,storage_discharge,load_shedding
19,127712.73677207026,25502.712191000002,15055.355631,8047.35656,2400.0,21389.95011273127,6334.594481731268,0.0,0.0,102210.0247
20,140787.0447698484,26083.571660000005,15636.215100000003,8047.35656,2400.0,22376.318623905805,6740.103523905802,0.0,0.0,114703.4722
21,139241.418137539,25528.152097000002,15080.795536999998,8047.35656,2400.0,19889.28319978757,4808.487662787571,0.0,0.0,113713.2654
22,124296.19964579133,25283.74146,14836.3849,8047.35656,2400.0,25192.965018790866,10356.580118790867,0.0,0.0,99012.4582
23,107258.94126429211,24556.582704000004,14109.226144,8047.35656,2400.0,25246.125530921006,11136.899386921006,0.0,0.0,82702.35861000001
24,100914.75972337114,23739.844456000003,13292.487895999999,8047.35656,2400.0,22762.112962924086,9469.625066924087,0.0,0.0,77174.9153
25,109792.26415792527,24385.965107000007,13938.608547000003,8047.35656,2400.0,25508.177891195563,11569.56934419556,0.0,0.0,85406.2991
26,126716.98915249383,25382.894535000003,14935.537975,8047.35656,2400.0,28751.264548567193,13815.726573567194,0.0,0.0,101334.09457999999
27,138276.68711117023,25436.948448000006,14989.591888000003,8047.35656,2400.0,25627.020009721244,10637.428121721241,0.0,0.0,112839.73789999998
28,135036.95912951572,25674.551844000005,15227.195284000001,8047.35656,2400.0,23108.850265800513,7881.654981800511,0.0,0.0,109362.4071
29,118728.58895188865,24577.403986000005,14130.047426,8047.35656,2400.0,25706.304759183557,11576.257333183557,0.0,0.0,94151.18488999997
30,100933.81604945927,24277.066210000005,13829.70965,8047.35656,2400.0,26723.058972002535,12893.349322002534,0.0,0.0,76656.7498
31,94271.85215084272,23920.413019000003,13473.056458999998,8047.35656,2400.0,27330.025674836164,13856.969215836167,0.0,0.0,70351.439
32,102795.33945361416,24067.847658000006,13620.491098,8047.35656,2400.0,29023.047038013112,15402.555940013111,0.0,0.0,78727.4917
33,118910.26848501833,24848.503963000006,14401.147403000003,8047.35656,2400.0,28128.314006225057,13727.166603225054,0.0,0.0,94061.7645
34,129164.62931452514,25056.591950000005,14609.235390000003,8047.35656,2400.0,26691.580971465017,12082.345581465013,0.0,0.0,104108.03740000003
35,124498.03395960807,24874.080665000005,14426.724105000001,8047.35656,2400.0,22786.426351080518,8359.702246080516,0.0,0.0,99623.9534
36,107147.77093531284,24629.361433000005,14182.004873,8047.35656,2400.0,21939.07063470335,7757.0657617033485,0.0,0.0,82518.4095
37,88952.68630676813,23765.460347000004,13318.103787,8047.35656,2400.0,24839.50185129304,11521.39806429304,0.0,0.0,65187.225860000006
38,82346.34665525361,23158.101034000003,12710.744474,8047.35656,2400.0,26853.30999913052,14142.565525130522,0.0,0.0,59188.245599999995
39,90897.631231448,23603.298270000003,13155.941709999997,8047.35656,2400.0,27701.92498137146,14545.983271371462,0.0,0.0,67294.33290000001
40,106601.50580198779,24507.415716000003,14060.059155999998,8047.35656,2400.0,32051.20803173278,17991.148875732782,0.0,0.0,82094.0901
41,115982.85213231116,24298.075824000003,13850.719263999998,8047.35656,2400.0,25868.941997635793,12018.222733635796,0.0,0.0,91684.77609999999
42,110365.58823440973,24630.973116000005,14183.616555999999,8047.35656,2400.0,27895.78986566943,13712.173309669432,0.0,0.0,85734.61514000001
43,92487.68307308482,23928.293441000005,13480.936881,8047.35656,2400.0,28062.186836459885,14581.249955459885,0.0,0.0,68559.3896
44,74425.06130097854,22893.960536000006,12446.603976,8047.35656,2400.0,25561.718100461065,13115.114124461064,0.0,0.0,51531.10079999999
45,68405.17651583963,23182.520080000006,12735.16352,8047.35656,2400.0,21454.75238607814,8719.58886607814,0.0,0.0,45222.6564
46,77505.14232967069,23501.177797000004,13053.821237,8047.35656,2400.0,25089.962024895358,12036.140787895358,0.0,0.0,54003.964479999995
47,93317.21351106753,23602.53451000001,13155.177950000003,8047.35656,2400.0,26978.366167043027,13823.188217043024,0.0,0.0,69714.67902
48,102359.1715221246,24240.742022000002,13793.385461999998,8047.35656,2400.0,24687.216190435913,10893.830728435914,0.0,0.0,78118.429498
49,96348.42516060165,24239.71826,13792.361699999998,8047.35656,2400.0,26245.42909288333,12453.067392883331,0.0,0.0,72108.7069
50,78516.64012689084,23354.285060000002,12906.928499999998,8047.35656,2400.0,24182.52197338776,11275.593473387762,0.0,0.0,55162.35502
51,61156.62351454551,22765.635075000006,12318.278515000002,8047.35656,2400.0,21830.701017035455,9512.422502035453,0.0,0.0,38390.9883
52,56269.327285917825,22321.702934000008,11874.346374,8047.35656,2400.0,25032.560630973727,13158.214256973726,0.0,0.0,33947.624219
53,66432.70145556775,22872.587035000008,12425.230475000002,8047.35656,2400.0,22895.031344947343,10469.800869947341,0.0,0.0,43560.114400000006
54,82845.20399878778,23717.142344000004,13269.785783999998,8047.35656,2400.0,23731.656418675557,10461.870634675559,0.0,0.0,59128.06139999999
55,92033.6861581989,24322.105000000007,13874.748440000001,8047.35656,2400.0,27251.645358250968,13376.896918250966,0.0,0.0,67711.58132
56,86117.94812314054,23875.268897000005,13427.912337000002,8047.35656,2400.0,25585.346979333237,12157.434642333235,0.0,0.0,62242.679299999996
57,68816.06177926637,23102.491379,12655.134818999995,8047.35656,2400.0,23370.889170578703,10715.754351578707,0.0,0.0,45713.5704
58,52617.72243935958,22629.41452300001,12182.057963000005,8047.35656,2400.0,22958.35471365169,10776.296750651685,0.0,0.0,29988.3078
59,49277.935345286154,22065.160847000006,11617.804287,8047.35656,2400.0,18395.67752299056,6777.873235990561,0.0,0.0,27212.7746
60,60869.52900018201,22694.918928000006,12247.562368,8047.35656,2400.0,25133.20555459911,12885.643186599109,0.0,0.0,38174.610199999996
61,78207.47610465092,23293.343240000006,12845.98668,8047.35656,2400.0,24419.454633182744,11573.467953182744,0.0,0.0,54914.132699999995
62,87844.79651734792,24193.321037,13745.964476999998,8047.35656,2400.0,25766.512082676916,12020.547605676918,0.0,0.0,63651.47539999999
63,82313.05079525964,23741.449032000008,13294.092472000002,8047.35656,2400.0,18496.69757889501,5202.605106895009,0.0,0.0,58571.6017
64,65809.8663629549,22838.745059000008,12391.388499000002,8047.35656,2400.0,21367.7488308064,8976.360331806396,0.0,0.0,42971.1211
65,51002.76627633094,22001.243795000006,11553.887235,8047.35656,2400.0,20621.381188225474,9067.493953225474,0.0,0.0,29001.5226
66,49383.00170011338,22150.163918000006,11702.807357999998,8047.35656,2400.0,25262.629568901597,13559.822210901599,0.0,0.0,27232.837900000002
67,62514.39617427728,22859.347479000007,12411.990919000003,8047.35656,2400.0,28646.849303209732,16234.858384209729,0.0,0.0,39655.0487
68,80840.71314971327,23646.322913000007,13198.966353000002,8047.35656,2400.0,21209.937037438634,8010.970684438633,0.0,0.0,57194.39020000001
69,90959.67878398545,24022.85288900001,13575.496329000003,8047.35656,2400.0,25063.36217915298,11487.865850152977,0.0,0.0,66936.826
70,85824.92187058723,23415.330823000004,12967.974262999998,8047.35656,2400.0,26183.940402581808,13215.96613958181,0.0,0.0,62409.59109999999
71,70107.65485829388,23067.148727000007,12619.792167000001,8047.35656,2400.0,23801.051869649407,11181.259702649406,0.0,0.0,47040.5061
72,56635.50363631498,22256.72967400001,11809.373114000002,8047.35656,2400.0,24208.747982551235,12399.374868551233,0.0,0.0,34378.77399
73,56620.13790111875,22372.434913000005,11925.078352999999,8047.35656,2400.0,25056.55688760861,13131.478534608612,0.0,0.0,34247.7028
74,71114.83016513872,22971.818628000008,12524.462068000003,8047.35656,2400.0,24045.04997487646,11520.587906876457,0.0,0.0,48143.011399999996
75,90206.55415287826,23961.86329,13514.506729999997,8047.35656,2400.0,25719.670237341255,12205.163507341258,0.0,0.0,66244.69079000001
76,100557.82680782868,24024.852111000007,13577.495551000002,8047.35656,2400.0,25021.79268252482,11444.29713152482,0.0,0.0,76532.9747
77,95555.64859477608,23895.335763000006,13447.979203,8047.35656,2400.0,24907.78900807765,11459.809805077648,0.0,0.0,71660.31274000001
78,80339.74298166155,23259.891718000003,12812.535157999999,8047.35656,2400.0,25557.522373759075,12744.987215759076,0.0,0.0,57079.8513
79,67881.41898237847,22954.309923000004,12506.953363,8047.35656,2400.0,29196.613754324066,16689.660391324065,0.0,0.0,44927.108799999995
80,69098.82128232636,22880.087301000007,12432.730741000003,8047.35656,2400.0,30492.22539644154,18059.494655441536,0.0,0.0,46218.73382000001
81,84535.28396292054,23276.676930000005,12829.320370000001,8047.35656,2400.0,22986.634824555455,10157.314454555453,0.0,0.0,61258.60700000001
82,103937.29134829603,24263.971439000004,13816.614878999999,8047.35656,2400.0,29730.307285414598,15913.692406414599,0.0,0.0,79673.31980000001
83,114053.45174477737,24584.217762000004,14136.861202,8047.35656,2400.0,28337.49256401013,14200.631362010128,0.0,0.0,89469.2339
84,108716.05971383513,24223.330751000005,13775.974191000001,8047.35656,2400.0,25948.987073216835,12173.012882216834,0.0,0.0,84492.7289
85,93528.76260335391,23505.995689000007,13058.639129000001,8047.35656,2400.0,27226.969437989537,14168.330308989536,0.0,0.0,70022.7668
86,81590.99056926268,23232.121562000004,12784.765002,8047.35656,2400.0,27302.125873961522,14517.360871961522,0.0,0.0,58358.869000000006
87,83514.80138557771,23423.710152000003,12976.353592,8047.35656,2400.0,28360.776735655843,15384.423143655844,0.0,0.0,60091.091
88,99335.7908797986,24150.86397000001,13703.507410000004,8047.35656,2400.0,26311.965352483334,12608.45794248333,0.0,0.0,75184.9269
89,118477.49677507051,25471.097377,15023.740816999996,8047.35656,2400.0,27235.525311109912,12211.784494109916,0.0,0.0,93006.39929999998
90,127796.4484380248,25350.580083999997,14903.223523999995,8047.35656,2400.0,24949.42954887936,10046.206024879366,0.0,0.0,102445.86830000002
91,121582.06440183186,25001.823615,14554.467054999997,8047.35656,2400.0,23676.841321069525,9122.374266069528,0.0,0.0,96580.24070000001
92,105897.09353348776,24363.79378,13916.437219999996,8047.35656,2400.0,29213.499441280943,15297.062221280947,0.0,0.0,81533.2997
93,93953.64653007101,23782.485692000006,13335.129132,8047.35656,2400.0,22765.348622382116,9430.219490382116,0.0,0.0,70171.1608
94,96045.74790747778,23901.238654000008,13453.882094000002,8047.35656,2400.0,24292.437383825578,10838.555289825576,0.0,0.0,72144.5091
95,111704.23495190933,24710.344718000004,14262.988158,8047.35656,2400.0,26625.181132657508,12362.192974657508,0.0,0.0,86993.89029000001
96,130047.63779090693,25484.908037,15037.551476999997,8047.35656,2400.0,24489.703960070077,9452.15248307008,0.0,0.0,104562.72963700001
97,138061.90147690583,25679.463759000002,15232.107198999998,8047.35656,2400.0,25058.096278725574,9825.989079725576,0.0,0.0,112382.43840000001
98,130504.44865901557,25491.186122000003,15043.829562,8047.35656,2400.0,22705.63500463692,7661.805442636918,0.0,0.0,105013.2626
99,113891.23614488583,24775.181433,14327.824872999998,8047.35656,2400.0,20103.868018568588,5776.04314556859,0.0,0.0,89116.05469999998
100,101530.91737152977,24108.70580500001,13661.349245000003,8047.35656,2400.0,22353.5205284118,8692.171283411795,0.0,0.0,77422.21149999999
101,103387.33641723628,24356.385259000002,13909.028698999997,8047.35656,2400.0,22883.014621311057,8973.98592231106,0.0,0.0,79030.9511
102,118489.50562010828,24757.224022000002,14309.867461999998,8047.35656,2400.0,19059.329680047627,4749.462218047629,0.0,0.0,93732.2813
103,135668.45240185832,25578.483028,15131.126467999995,8047.35656,2400.0,22929.12331286689,7797.996844866895,0.0,0.0,110089.96860000001
104,142059.8827621259,25777.081174000003,15329.724613999999,8047.35656,2400.0,22403.982817012504,7074.258203012505,0.0,0.0,116282.801
105,132898.38010933058,25573.223566,15125.867005999997,8047.35656,2400.0,21379.095418204364,6253.2284122043675,0.0,0.0,107325.15659999999
106,115145.42415738238,24949.017359,14501.660799,8047.35656,2400.0,23891.326613986093,9389.665814986094,0.0,0.0,90196.40670000002
107,102188.70425681712,24190.840191000007,13743.483631000003,8047.35656,2400.0,24771.126978721415,11027.643347721412,0.0,0.0,77997.86390000001
108,103648.896408315,24527.117970000007,14079.761410000003,8047.35656,2400.0,26234.789615336358,12155.028205336355,0.0,0.0,79121.77830000002
109,118055.45606544595,24852.168544000004,14404.811984,8047.35656,2400.0,23715.709708808296,9310.897724808296,0.0,0.0,93203.2877
110,133968.38372878337,25410.610122000006,14963.253562000002,8047.35656,2400.0,21859.846228061488,6896.592666061486,0.0,0.0,108557.77309999999
111,138691.79150469476,25463.960239000007,15016.603679000003,8047.35656,2400.0,22948.764176599816,7932.1604975998125,0.0,0.0,113227.83159999999
112,127944.3730277552,25003.119837,14555.763276999996,8047.35656,2400.0,20944.331213583715,6388.567936583719,0.0,0.0,102941.25340000002
113,109123.24847957573,24373.697474000004,13926.340914,8047.35656,2400.0,22388.823903919183,8462.482989919183,0.0,0.0,84749.550983
114,95675.93147498724,23895.323708000007,13447.967148000003,8047.35656,2400.0,23648.16130418327,10200.194156183268,0.0,0.0,71780.6078
115,96865.81793219053,24235.318921000002,13787.962360999998,8047.35656,2400.0,28083.23450019248,14295.272139192482,0.0,0.0,72630.499
116,110724.16345752699,24278.035882000004,13830.679321999998,8047.35656,2400.0,27923.165308352072,14092.485986352074,0.0,0.0,86446.12756
117,125555.1840756704,25139.137321000002,14691.780760999998,8047.35656,2400.0,30472.57322298809,15780.79246198809,0.0,0.0,100416.0468
118,128848.19814809348,25431.809276,14984.452715999996,8047.35656,2400.0,26278.266820906858,11293.814104906862,0.0,0.0,103416.38870000001
119,116810.68653688178,24524.060733000006,14076.704173000002,8047.35656,2400.0,25782.30141413105,11705.597241131047,0.0,0.0,92286.62589000001
120,97263.35196354463,23949.426352000006,13502.069792,8047.35656,2400.0,23579.12989992799,10077.06010792799,0.0,0.0,73313.92571
121,83692.71428987774,23337.447092000002,12890.090531999998,8047.35656,2400.0,29045.29325032638,16155.202718326382,0.0,0.0,60355.26720000001
122,84989.80715061747,23605.336711000007,13157.980151000003,8047.35656,2400.0,25859.429699462835,12701.449548462831,0.0,0.0,61384.470400000006
123,98688.32676251653,24187.429515000003,13740.072955,8047.35656,2400.0,27202.767564261514,13462.694609261514,0.0,0.0,74500.89730000001
124,112850.94963468135,24504.001018000006,14056.644458,8047.35656,2400.0,27566.583086456085,13509.938628456084,0.0,0.0,88346.94846999999
125,115167.44877496787,24734.943729000002,14287.587168999999,8047.35656,2400.0,28833.85813983498,14546.270970834983,0.0,0.0,90432.50499999998
126,102336.86503184249,24291.827163000005,13844.470603000002,8047.35656,2400.0,25805.673094751044,11961.202491751043,0.0,0.0,78045.0378
127,82589.69784764646,23420.521778000006,12973.165218,8047.35656,2400.0,28662.667243042502,15689.502025042502,0.0,0.0,59169.17600000001
128,69429.56219455296,22979.483935000004,12532.127375,8047.35656,2400.0,25343.285588414532,12811.158213414532,0.0,0.0,46450.07830000001
129,71359.63267112595,22868.426739000006,12421.070179,8047.35656,2400.0,27267.222125752032,14846.151946752032,0.0,0.0,48491.205965999994
130,85416.5508632944,23705.854462000007,13258.497902000001,8047.35656,2400.0,23429.068724527962,10170.570822527961,0.0,0.0,61710.6964
131,99435.30706257217,24093.070029000006,13645.713469,8047.35656,2400.0,20911.560461091372,7265.846992091372,0.0,0.0,75342.23700000001
132,101320.4706143007,24318.669499000007,13871.312939000003,8047.35656,2400.0,25592.735545992284,11721.42260699228,0.0,0.0,77001.80123999999
133,88264.21046624168,24141.862232000007,13694.505672000003,8047.35656,2400.0,26428.33856949862,12733.832897498618,300.0,0.0,64422.34839999999
134,68892.06500471015,22684.39848600001,12237.041926000005,8047.35656,2400.0,25026.44474843582,12789.402822435815,0.0,225.0,45982.6665
135,56702.53622268753,22175.501424000005,11728.144864,8047.35656,2400.0,21445.184876389125,9717.040012389125,0.0,0.0,34527.03481999999
136,59795.83986745346,22281.566029000005,11834.209469,8047.35656,2400.0,25253.14855347251,13418.939084472511,0.0,0.0,37514.2739
137,74712.7407283401,23409.71834700001,12962.361787000003,8047.35656,2400.0,22837.63552794849,9875.273740948485,0.0,0.0,51303.02249999999
138,89074.80974788018,23450.558577000003,13003.202016999998,8047.35656,2400.0,22628.51812844818,9625.316111448183,0.0,0.0,65624.251
139,91015.66282535729,23812.609645000004,13365.253085,8047.35656,2400.0,24391.941841874388,11026.688756874388,0.0,0.0,67203.05320000001
140,78221.79973499007,23384.979925999996,12937.623365999993,8047.35656,2400.0,21413.58735970033,8475.963993700338,0.0,0.0,54836.81981
141,59698.93163280251,22514.987931000007,12067.631371,8047.35656,2400.0,19080.313301544906,7012.681930544906,0.0,0.0,37183.943779999994
142,48918.81301906227,22184.648450000004,11737.291889999999,8047.35656,2400.0,19023.392861894863,7286.100971894864,0.0,0.0,26734.1646
143,53564.85005496858,22559.92541200001,12112.568852000004,8047.35656,2400.0,21791.74709489885,9679.178242898844,0.0,0.0,31004.9246
144,69684.59771934318,22857.534486000004,12410.177926,8047.35656,2400.0,22990.814604393363,10580.636678393363,0.0,0.0,46827.06308999999
145,84701.66794013423,23494.419261000003,13047.062700999997,8047.35656,2400.0,26830.548392905184,13783.485691905187,0.0,0.0,61207.248499999994
146,86993.63964775876,23818.294480000004,13370.93792,8047.35656,2400.0,20973.198279197175,7602.260359197175,0.0,0.0,63175.3452
147,74742.93040102781,23403.469607000006,12956.113047000003,8047.35656,2400.0,23717.287164328318,10761.174117328315,0.0,0.0,51339.46073
148,57321.191076417315,22702.579030000004,12255.222469999999,8047.35656,2400.0,26504.55139228975,14249.328922289753,0.0,0.0,34618.61216
149,48153.08393059395,22134.321845000006,11686.965284999998,8047.35656,2400.0,25449.345089445193,13762.379804445194,0.0,0.0,26018.7618
150,54493.270258090415,22048.676384000006,11601.319823999998,8047.35656,2400.0,24024.880465169626,12423.560641169628,0.0,0.0,32444.5939
151,71900.8519040033,23371.472191,12924.115630999995,8047.35656,2400.0,27216.089055831868,14291.973424831873,0.0,0.0,48529.3796
152,87618.67213695297,23813.532616000004,13366.176055999998,8047.35656,2400.0,27098.623359830442,13732.447303830444,0.0,0.0,63805.13949999999
153,90284.3439445648,24047.381728000004,13600.025168,8047.35656,2400.0,27057.89280255823,13457.867634558232,0.0,0.0,66236.96205
154,78578.62909424721,23193.409048000005,12746.052488,8047.35656,2400.0,26048.89474186769,13302.842253867691,0.0,0.0,55385.220270000005
155,62225.94137619687,22459.52806500001,12012.171505000002,8047.35656,2400.0,26493.73156838995,14481.560063389948,0.0,0.0,39766.41329
156,54585.170793725876,22389.181726000006,11941.825165999999,8047.35656,2400.0,23508.161727234972,11566.336561234973,0.0,0.0,32195.989
157,62472.51827543611,22784.188220000004,12336.83166,8047.35656,2400.0,25729.608709409225,13392.777049409226,0.0,0.0,39688.330030000005
158,80965.69922625553,23288.616016000004,12841.259455999998,8047.35656,2400.0,26696.375701200912,13855.116245200914,0.0,0.0,57677.08309
159,97145.84969868607,24560.578925000005,14113.222365000001,8047.35656,2400.0,26646.87191530411,12533.649550304108,0.0,0.0,72585.27083000001
160,99927.92236730369,23678.193750000002,13230.837189999997,8047.35656,2400.0,25996.621218689514,12765.784028689517,0.0,0.0,76249.72854000001
161,88494.32528680332,23671.571689000008,13224.215129000004,8047.35656,2400.0,29765.5382273889,16541.323098388897,0.0,0.0,64822.7535
162,72910.10946770178,23365.555448000006,12918.198888000003,8047.35656,2400.0,31435.81546867308,18517.61658067308,0.0,0.0,49544.554
163,66451.31678324127,22813.916141,12366.559580999998,8047.35656,2400.0,25323.667673604978,12957.10809260498,0.0,0.0,43637.4006
164,75488.0560063963,23922.625170000003,13475.26861,8047.35656,2400.0,29038.173690813568,15562.905080813569,550.0,0.0,52115.430700000004
165,94625.81105969734,24279.390377000003,13832.033816999998,8047.35656,2400.0,26494.748125162565,12662.714308162567,550.0,0.0,70896.4209
166,110804.64385184164,24984.794509000003,14537.437949000001,8047.35656,2400.0,24824.845978918464,10287.408029918462,550.0,0.0,86369.84930999998
167,113235.03081712824,25207.717572,14760.361012,8047.35656,2400.0,31395.65486219088,16635.29385019088,550.0,0.0,88577.31317
