acid,epoxide
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,O=C(NCCCOCCO)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,O=C(O)c1ccc(OCCNC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)cc1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,COc1cc(C)ccc1CNC(=O)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,Cc1ccc(CC(=O)Nc2cc(C)c(OCC3CO3)c(C)c2)cc1OCC1CO1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,O=C(Nc1cc(COCC2CO2)cc(COCC2CO2)c1)c1cccc(OCc2cccnc2)c1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,NCC(=O)Nc1cc(COCC2CO2)cc(COCC2CO2)c1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,Cc1cc(OCC2CO2)nc2ccc(NC(=O)c3cccnc3OCC3CO3)cc12
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,O=C(CCCCOCC1CO1)Nc1ccc(CCOCC2CO2)cc1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,Cc1cc(C)c(OCC2CO2)cc1NC(=O)c1ccc2ccccc2c1OCC1CO1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,O=C(Nc1cccc(NC(=O)c2c(OCC3CO3)cccc2OCC2CO2)c1)c1ccncc1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,Cc1ccccc1NC(=O)CCNC(COCC1CO1)COCC1CO1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,O=C(CCCCc1ccccc1)Nc1ccc(COCC2CO2)c(COCC2CO2)c1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,O=C(NCc1ccc(OCC2CO2)cc1OCC1CO1)C1CCN(C(=O)c2ccccc2)C1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,COc1ccc(C(=O)NC(C)CCCC2CO2)c(OCC2CO2)c1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,O=C(Nc1cnn(Cc2cccnc2)c1)c1ccc(OCC2CO2)cc1OCC1CO1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,O=C(NC1CCN(Cc2ccccc2)C1)c1ccc(OCC2CO2)cc1OCC1CO1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,CCC1CCC(C(=O)NCc2ccc(OCC3CO3)cc2OCC2CO2)CC1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,COCCc1cc(OCC2CO2)ccc1NC(=O)c1cc(OCC2CO2)nc2ccccc12
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,CCN(CC)C(=O)c1cccc(NC(=O)COC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,Cc1ccc(OCC2CO2)c(NC(=O)c2ccc(OCC3CO3)cn2)n1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,O=C(NCCCOCCO)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,O=C(O)c1ccc(OCCNC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)cc1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(Oc2ccccc2)c1,COc1cc(C)ccc1CNC(=O)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,Cc1ccc(CC(=O)Nc2cc(C)c(OCC3CO3)c(C)c2)cc1OCC1CO1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,O=C(Nc1cc(COCC2CO2)cc(COCC2CO2)c1)c1cccc(OCc2cccnc2)c1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,NCC(=O)Nc1cc(COCC2CO2)cc(COCC2CO2)c1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,Cc1cc(OCC2CO2)nc2ccc(NC(=O)c3cccnc3OCC3CO3)cc12
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,O=C(CCCCOCC1CO1)Nc1ccc(CCOCC2CO2)cc1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,Cc1cc(C)c(OCC2CO2)cc1NC(=O)c1ccc2ccccc2c1OCC1CO1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,O=C(Nc1cccc(NC(=O)c2c(OCC3CO3)cccc2OCC2CO2)c1)c1ccncc1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,Cc1ccccc1NC(=O)CCNC(COCC1CO1)COCC1CO1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,O=C(CCCCc1ccccc1)Nc1ccc(COCC2CO2)c(COCC2CO2)c1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,O=C(NCc1ccc(OCC2CO2)cc1OCC1CO1)C1CCN(C(=O)c2ccccc2)C1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,COc1ccc(C(=O)NC(C)CCCC2CO2)c(OCC2CO2)c1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,O=C(Nc1cnn(Cc2cccnc2)c1)c1ccc(OCC2CO2)cc1OCC1CO1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,O=C(NC1CCN(Cc2ccccc2)C1)c1ccc(OCC2CO2)cc1OCC1CO1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,CCC1CCC(C(=O)NCc2ccc(OCC3CO3)cc2OCC2CO2)CC1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,COCCc1cc(OCC2CO2)ccc1NC(=O)c1cc(OCC2CO2)nc2ccccc12
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,CCN(CC)C(=O)c1cccc(NC(=O)COC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,Cc1ccc(OCC2CO2)c(NC(=O)c2ccc(OCC3CO3)cn2)n1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,O=C(NCCCOCCO)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,O=C(O)c1ccc(OCCNC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)cc1
Cc1cnccc1CN(CCOCC(=O)O)CCOCC(=O)O,COc1cc(C)ccc1CNC(=O)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,Cc1ccc(CC(=O)Nc2cc(C)c(OCC3CO3)c(C)c2)cc1OCC1CO1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,O=C(Nc1cc(COCC2CO2)cc(COCC2CO2)c1)c1cccc(OCc2cccnc2)c1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,NCC(=O)Nc1cc(COCC2CO2)cc(COCC2CO2)c1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,Cc1cc(OCC2CO2)nc2ccc(NC(=O)c3cccnc3OCC3CO3)cc12
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,O=C(CCCCOCC1CO1)Nc1ccc(CCOCC2CO2)cc1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,Cc1cc(C)c(OCC2CO2)cc1NC(=O)c1ccc2ccccc2c1OCC1CO1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,O=C(Nc1cccc(NC(=O)c2c(OCC3CO3)cccc2OCC2CO2)c1)c1ccncc1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,Cc1ccccc1NC(=O)CCNC(COCC1CO1)COCC1CO1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,O=C(CCCCc1ccccc1)Nc1ccc(COCC2CO2)c(COCC2CO2)c1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,O=C(NCc1ccc(OCC2CO2)cc1OCC1CO1)C1CCN(C(=O)c2ccccc2)C1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,COc1ccc(C(=O)NC(C)CCCC2CO2)c(OCC2CO2)c1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,O=C(Nc1cnn(Cc2cccnc2)c1)c1ccc(OCC2CO2)cc1OCC1CO1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,O=C(NC1CCN(Cc2ccccc2)C1)c1ccc(OCC2CO2)cc1OCC1CO1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,CCC1CCC(C(=O)NCc2ccc(OCC3CO3)cc2OCC2CO2)CC1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,COCCc1cc(OCC2CO2)ccc1NC(=O)c1cc(OCC2CO2)nc2ccccc12
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,CCN(CC)C(=O)c1cccc(NC(=O)COC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,Cc1ccc(OCC2CO2)c(NC(=O)c2ccc(OCC3CO3)cn2)n1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,O=C(NCCCOCCO)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,O=C(O)c1ccc(OCCNC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)cc1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(COc2ccccc2)cc1,COc1cc(C)ccc1CNC(=O)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,Cc1ccc(CC(=O)Nc2cc(C)c(OCC3CO3)c(C)c2)cc1OCC1CO1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,O=C(Nc1cc(COCC2CO2)cc(COCC2CO2)c1)c1cccc(OCc2cccnc2)c1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,NCC(=O)Nc1cc(COCC2CO2)cc(COCC2CO2)c1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,Cc1cc(OCC2CO2)nc2ccc(NC(=O)c3cccnc3OCC3CO3)cc12
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,O=C(CCCCOCC1CO1)Nc1ccc(CCOCC2CO2)cc1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,Cc1cc(C)c(OCC2CO2)cc1NC(=O)c1ccc2ccccc2c1OCC1CO1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,O=C(Nc1cccc(NC(=O)c2c(OCC3CO3)cccc2OCC2CO2)c1)c1ccncc1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,Cc1ccccc1NC(=O)CCNC(COCC1CO1)COCC1CO1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,O=C(CCCCc1ccccc1)Nc1ccc(COCC2CO2)c(COCC2CO2)c1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,O=C(NCc1ccc(OCC2CO2)cc1OCC1CO1)C1CCN(C(=O)c2ccccc2)C1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,COc1ccc(C(=O)NC(C)CCCC2CO2)c(OCC2CO2)c1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,O=C(Nc1cnn(Cc2cccnc2)c1)c1ccc(OCC2CO2)cc1OCC1CO1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,O=C(NC1CCN(Cc2ccccc2)C1)c1ccc(OCC2CO2)cc1OCC1CO1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,CCC1CCC(C(=O)NCc2ccc(OCC3CO3)cc2OCC2CO2)CC1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,COCCc1cc(OCC2CO2)ccc1NC(=O)c1cc(OCC2CO2)nc2ccccc12
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,CCN(CC)C(=O)c1cccc(NC(=O)COC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,Cc1ccc(OCC2CO2)c(NC(=O)c2ccc(OCC3CO3)cn2)n1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,O=C(NCCCOCCO)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,O=C(O)c1ccc(OCCNC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)cc1
Cc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,COc1cc(C)ccc1CNC(=O)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,Cc1ccc(CC(=O)Nc2cc(C)c(OCC3CO3)c(C)c2)cc1OCC1CO1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,O=C(Nc1cc(COCC2CO2)cc(COCC2CO2)c1)c1cccc(OCc2cccnc2)c1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,NCC(=O)Nc1cc(COCC2CO2)cc(COCC2CO2)c1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,Cc1cc(OCC2CO2)nc2ccc(NC(=O)c3cccnc3OCC3CO3)cc12
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,O=C(CCCCOCC1CO1)Nc1ccc(CCOCC2CO2)cc1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,Cc1cc(C)c(OCC2CO2)cc1NC(=O)c1ccc2ccccc2c1OCC1CO1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,O=C(Nc1cccc(NC(=O)c2c(OCC3CO3)cccc2OCC2CO2)c1)c1ccncc1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,Cc1ccccc1NC(=O)CCNC(COCC1CO1)COCC1CO1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,O=C(CCCCc1ccccc1)Nc1ccc(COCC2CO2)c(COCC2CO2)c1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,O=C(NCc1ccc(OCC2CO2)cc1OCC1CO1)C1CCN(C(=O)c2ccccc2)C1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,COc1ccc(C(=O)NC(C)CCCC2CO2)c(OCC2CO2)c1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,O=C(Nc1cnn(Cc2cccnc2)c1)c1ccc(OCC2CO2)cc1OCC1CO1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,O=C(NC1CCN(Cc2ccccc2)C1)c1ccc(OCC2CO2)cc1OCC1CO1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,CCC1CCC(C(=O)NCc2ccc(OCC3CO3)cc2OCC2CO2)CC1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,COCCc1cc(OCC2CO2)ccc1NC(=O)c1cc(OCC2CO2)nc2ccccc12
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,CCN(CC)C(=O)c1cccc(NC(=O)COC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,Cc1ccc(OCC2CO2)c(NC(=O)c2ccc(OCC3CO3)cn2)n1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,O=C(NCCCOCCO)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,O=C(O)c1ccc(OCCNC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)cc1
CCOc1cc(COCC(=O)O)ccc1OCCOCC(=O)O,COc1cc(C)ccc1CNC(=O)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,Cc1ccc(CC(=O)Nc2cc(C)c(OCC3CO3)c(C)c2)cc1OCC1CO1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,O=C(Nc1cc(COCC2CO2)cc(COCC2CO2)c1)c1cccc(OCc2cccnc2)c1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,NCC(=O)Nc1cc(COCC2CO2)cc(COCC2CO2)c1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,Cc1cc(OCC2CO2)nc2ccc(NC(=O)c3cccnc3OCC3CO3)cc12
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,O=C(CCCCOCC1CO1)Nc1ccc(CCOCC2CO2)cc1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,Cc1cc(C)c(OCC2CO2)cc1NC(=O)c1ccc2ccccc2c1OCC1CO1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,O=C(Nc1cccc(NC(=O)c2c(OCC3CO3)cccc2OCC2CO2)c1)c1ccncc1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,Cc1ccccc1NC(=O)CCNC(COCC1CO1)COCC1CO1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,O=C(CCCCc1ccccc1)Nc1ccc(COCC2CO2)c(COCC2CO2)c1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,O=C(NCc1ccc(OCC2CO2)cc1OCC1CO1)C1CCN(C(=O)c2ccccc2)C1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,COc1ccc(C(=O)NC(C)CCCC2CO2)c(OCC2CO2)c1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,O=C(Nc1cnn(Cc2cccnc2)c1)c1ccc(OCC2CO2)cc1OCC1CO1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,O=C(NC1CCN(Cc2ccccc2)C1)c1ccc(OCC2CO2)cc1OCC1CO1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,CCC1CCC(C(=O)NCc2ccc(OCC3CO3)cc2OCC2CO2)CC1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,COCCc1cc(OCC2CO2)ccc1NC(=O)c1cc(OCC2CO2)nc2ccccc12
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,CCN(CC)C(=O)c1cccc(NC(=O)COC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,Cc1ccc(OCC2CO2)c(NC(=O)c2ccc(OCC3CO3)cn2)n1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,O=C(NCCCOCCO)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,O=C(O)c1ccc(OCCNC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)cc1
Cc1cc(C)cc(OCCNC(COCC(=O)O)COCC(=O)O)c1,COc1cc(C)ccc1CNC(=O)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1
N#Cc1cccc(CCNC(=O)NC(COCC(=O)O)COCC(=O)O)c1,Cc1ccc(CC(=O)Nc2cc(C)c(OCC3CO3)c(C)c2)cc1OCC1CO1
