dataset,map_file,map_h,map_w,agents,obstacle_ratio,method,runtime_sec,success,collisions,soc,makespan,init_collisions,final_collisions,accepted,iters
random_small,eval_map_10.npy,10,10,20,0.18,hybrid_lns,0.0016884803771972656,0,,,,,,0,0
random_small,eval_map_100.npy,10,10,21,0.15,pp_random,0.03987431526184082,0,,,,,,0,0
random_small,eval_map_100.npy,10,10,21,0.15,pp_marl,0.0023317337036132812,0,,,,,,0,0
random_small,eval_map_100.npy,10,10,21,0.15,hybrid_lns,0.0022809505462646484,0,,,,,,0,0
random_small,eval_map_100.npy,10,10,21,0.15,pp_random,0.000576019287109375,0,,,,,,0,0
random_small,eval_map_100.npy,10,10,21,0.15,pp_marl,0.001943826675415039,0,,,,,,0,0
random_small,eval_map_100.npy,10,10,21,0.15,hybrid_lns,0.0019540786743164062,0,,,,,,0,0
random_small,eval_map_100.npy,10,10,21,0.15,pp_random,0.007080793380737305,0,,,,,,0,0
random_small,eval_map_100.npy,10,10,21,0.15,pp_marl,0.036600351333618164,0,,,,,,0,0
random_small,eval_map_100.npy,10,10,21,0.15,hybrid_lns,0.036727190017700195,0,,,,,,0,0
random_small,eval_map_100.npy,10,10,21,0.15,pp_random,0.00025177001953125,0,,,,,,0,0
random_small,eval_map_100.npy,10,10,21,0.15,pp_marl,0.03845024108886719,0,,,,,,0,0
random_small,eval_map_100.npy,10,10,21,0.15,hybrid_lns,0.03702974319458008,0,,,,,,0,0
random_small,eval_map_100.npy,10,10,21,0.15,pp_random,0.0002467632293701172,0,,,,,,0,0
random_small,eval_map_100.npy,10,10,21,0.15,pp_marl,0.036972761154174805,0,,,,,,0,0
random_small,eval_map_100.npy,10,10,21,0.15,hybrid_lns,0.03808164596557617,0,,,,,,0,0
random_small,eval_map_11.npy,10,10,19,0.21,pp_random,0.002015829086303711,0,,,,,,0,0
random_small,eval_map_11.npy,10,10,19,0.21,pp_marl,0.0021715164184570312,0,,,,,,0,0
random_small,eval_map_11.npy,10,10,19,0.21,hybrid_lns,0.0021278858184814453,0,,,,,,0,0
random_small,eval_map_11.npy,10,10,19,0.21,pp_random,0.004256725311279297,0,,,,,,0,0
random_small,eval_map_11.npy,10,10,19,0.21,pp_marl,0.0021877288818359375,0,,,,,,0,0
random_small,eval_map_11.npy,10,10,19,0.21,hybrid_lns,0.00215911865234375,0,,,,,,0,0
random_small,eval_map_11.npy,10,10,19,0.21,pp_random,0.0021927356719970703,0,,,,,,0,0
random_small,eval_map_11.npy,10,10,19,0.21,pp_marl,0.0019516944885253906,0,,,,,,0,0
random_small,eval_map_11.npy,10,10,19,0.21,hybrid_lns,0.0019223690032958984,0,,,,,,0,0
random_small,eval_map_11.npy,10,10,19,0.21,pp_random,0.002813100814819336,0,,,,,,0,0
random_small,eval_map_11.npy,10,10,19,0.21,pp_marl,0.0017991065979003906,0,,,,,,0,0
random_small,eval_map_11.npy,10,10,19,0.21,hybrid_lns,0.0018002986907958984,0,,,,,,0,0
random_small,eval_map_11.npy,10,10,19,0.21,pp_random,0.035256385803222656,0,,,,,,0,0
random_small,eval_map_11.npy,10,10,19,0.21,pp_marl,0.002149343490600586,0,,,,,,0,0
random_small,eval_map_11.npy,10,10,19,0.21,hybrid_lns,0.002145051956176758,0,,,,,,0,0
random_small,eval_map_12.npy,10,10,19,0.23,pp_random,0.07699012756347656,0,5.0,162.0,17.0,,,0,0
random_small,eval_map_12.npy,10,10,19,0.23,pp_marl,0.03763532638549805,0,8.0,173.0,23.0,,,0,0
random_small,eval_map_12.npy,10,10,19,0.23,hybrid_lns,0.08335518836975098,0,7.0,175.0,23.0,8.0,7.0,20,20
random_small,eval_map_12.npy,10,10,19,0.23,pp_random,0.035245656967163086,0,9.0,182.0,21.0,,,0,0
random_small,eval_map_12.npy,10,10,19,0.23,pp_marl,0.03594255447387695,0,7.0,170.0,18.0,,,0,0
random_small,eval_map_12.npy,10,10,19,0.23,hybrid_lns,0.15548014640808105,0,5.0,176.0,20.0,7.0,5.0,20,20
random_small,eval_map_12.npy,10,10,19,0.23,pp_random,0.004487276077270508,0,9.0,156.0,17.0,,,0,0
random_small,eval_map_12.npy,10,10,19,0.23,pp_marl,0.06787657737731934,0,9.0,152.0,16.0,,,0,0
random_small,eval_map_12.npy,10,10,19,0.23,hybrid_lns,1.9030919075012207,0,9.0,152.0,16.0,9.0,9.0,20,20
random_small,eval_map_12.npy,10,10,19,0.23,pp_random,0.0648031234741211,0,4.0,216.0,26.0,,,0,0
random_small,eval_map_12.npy,10,10,19,0.23,pp_marl,0.0685124397277832,0,8.0,187.0,20.0,,,0,0
random_small,eval_map_12.npy,10,10,19,0.23,hybrid_lns,0.7371182441711426,0,7.0,187.0,20.0,8.0,7.0,20,20
random_small,eval_map_12.npy,10,10,19,0.23,pp_random,0.029656171798706055,0,6.0,207.0,20.0,,,0,0
random_small,eval_map_12.npy,10,10,19,0.23,pp_marl,0.037316322326660156,0,12.0,163.0,16.0,,,0,0
random_small,eval_map_12.npy,10,10,19,0.23,hybrid_lns,0.7321751117706299,0,4.0,205.0,24.0,12.0,4.0,20,20
random_small,eval_map_13.npy,10,10,21,0.15,pp_random,0.0003261566162109375,0,,,,,,0,0
random_small,eval_map_13.npy,10,10,21,0.15,pp_marl,0.0021414756774902344,0,,,,,,0,0
random_small,eval_map_13.npy,10,10,21,0.15,hybrid_lns,0.0020904541015625,0,,,,,,0,0
random_small,eval_map_13.npy,10,10,21,0.15,pp_random,0.0006954669952392578,0,,,,,,0,0
random_small,eval_map_13.npy,10,10,21,0.15,pp_marl,0.0018639564514160156,0,,,,,,0,0
random_small,eval_map_13.npy,10,10,21,0.15,hybrid_lns,0.0018258094787597656,0,,,,,,0,0
random_small,eval_map_13.npy,10,10,21,0.15,pp_random,0.006208658218383789,0,4.0,170.0,16.0,,,0,0
random_small,eval_map_13.npy,10,10,21,0.15,pp_marl,0.006139516830444336,0,8.0,158.0,17.0,,,0,0
random_small,eval_map_13.npy,10,10,21,0.15,hybrid_lns,0.0631721019744873,0,8.0,158.0,17.0,8.0,8.0,20,20
random_small,eval_map_13.npy,10,10,21,0.15,pp_random,0.04261207580566406,0,,,,,,0,0
random_small,eval_map_13.npy,10,10,21,0.15,pp_marl,0.03603816032409668,0,,,,,,0,0
random_small,eval_map_13.npy,10,10,21,0.15,hybrid_lns,0.035791635513305664,0,,,,,,0,0
random_small,eval_map_13.npy,10,10,21,0.15,pp_random,0.0028426647186279297,0,,,,,,0,0
random_small,eval_map_13.npy,10,10,21,0.15,pp_marl,0.001497507095336914,0,,,,,,0,0
random_small,eval_map_13.npy,10,10,21,0.15,hybrid_lns,0.0014767646789550781,0,,,,,,0,0
random_small,eval_map_14.npy,10,10,18,0.26,pp_random,0.021715402603149414,0,5.0,166.0,16.0,,,0,0
random_small,eval_map_14.npy,10,10,18,0.26,pp_marl,0.0493931770324707,0,7.0,156.0,14.0,,,0,0
random_small,eval_map_14.npy,10,10,18,0.26,hybrid_lns,0.8794326782226562,0,7.0,156.0,14.0,7.0,7.0,20,20
random_small,eval_map_14.npy,10,10,18,0.26,pp_random,0.005159854888916016,0,6.0,155.0,22.0,,,0,0
random_small,eval_map_14.npy,10,10,18,0.26,pp_marl,0.007167339324951172,0,5.0,162.0,26.0,,,0,0
random_small,eval_map_14.npy,10,10,18,0.26,hybrid_lns,0.10885763168334961,0,5.0,162.0,26.0,5.0,5.0,20,20
random_small,eval_map_14.npy,10,10,18,0.26,pp_random,0.004606723785400391,0,5.0,150.0,15.0,,,0,0
random_small,eval_map_14.npy,10,10,18,0.26,pp_marl,0.015005826950073242,0,4.0,161.0,15.0,,,0,0
random_small,eval_map_14.npy,10,10,18,0.26,hybrid_lns,0.22357726097106934,0,4.0,161.0,15.0,4.0,4.0,20,20
random_small,eval_map_14.npy,10,10,18,0.26,pp_random,0.03630566596984863,0,10.0,146.0,22.0,,,0,0
random_small,eval_map_14.npy,10,10,18,0.26,pp_marl,0.06424403190612793,0,18.0,156.0,25.0,,,0,0
random_small,eval_map_14.npy,10,10,18,0.26,hybrid_lns,1.7925961017608643,0,17.0,147.0,25.0,18.0,17.0,20,20
random_small,eval_map_14.npy,10,10,18,0.26,pp_random,0.009542703628540039,0,6.0,197.0,23.0,,,0,0
random_small,eval_map_14.npy,10,10,18,0.26,pp_marl,0.03443574905395508,0,7.0,196.0,24.0,,,0,0
random_small,eval_map_14.npy,10,10,18,0.26,hybrid_lns,0.642078161239624,0,4.0,200.0,24.0,7.0,4.0,20,20
random_small,eval_map_15.npy,10,10,19,0.21,pp_random,0.02915501594543457,0,,,,,,0,0
random_small,eval_map_15.npy,10,10,19,0.21,pp_marl,0.0023250579833984375,0,,,,,,0,0
random_small,eval_map_15.npy,10,10,19,0.21,hybrid_lns,0.0022597312927246094,0,,,,,,0,0
random_small,eval_map_15.npy,10,10,19,0.21,pp_random,0.03078770637512207,0,,,,,,0,0
random_small,eval_map_15.npy,10,10,19,0.21,pp_marl,0.0023207664489746094,0,,,,,,0,0
random_small,eval_map_15.npy,10,10,19,0.21,hybrid_lns,0.002286672592163086,0,,,,,,0,0
random_small,eval_map_15.npy,10,10,19,0.21,pp_random,0.05377840995788574,0,,,,,,0,0
random_small,eval_map_15.npy,10,10,19,0.21,pp_marl,0.030701637268066406,0,,,,,,0,0
random_small,eval_map_15.npy,10,10,19,0.21,hybrid_lns,0.030404329299926758,0,,,,,,0,0
random_small,eval_map_15.npy,10,10,19,0.21,pp_random,0.07842755317687988,0,,,,,,0,0
random_small,eval_map_15.npy,10,10,19,0.21,pp_marl,0.0025472640991210938,0,,,,,,0,0
random_small,eval_map_15.npy,10,10,19,0.21,hybrid_lns,0.0025081634521484375,0,,,,,,0,0
random_small,eval_map_15.npy,10,10,19,0.21,pp_random,0.07518315315246582,0,,,,,,0,0
random_small,eval_map_15.npy,10,10,19,0.21,pp_marl,0.03135991096496582,0,,,,,,0,0
random_small,eval_map_15.npy,10,10,19,0.21,hybrid_lns,0.030980825424194336,0,,,,,,0,0
random_small,eval_map_16.npy,10,10,19,0.24,pp_random,0.004439353942871094,0,5.0,179.0,14.0,,,0,0
random_small,eval_map_16.npy,10,10,19,0.24,pp_marl,0.03747677803039551,0,5.0,186.0,18.0,,,0,0
random_small,eval_map_16.npy,10,10,19,0.24,hybrid_lns,0.11235189437866211,0,3.0,195.0,23.0,5.0,3.0,1,20
random_small,eval_map_16.npy,10,10,19,0.24,pp_random,0.045415639877319336,0,14.0,165.0,18.0,,,0,0
random_small,eval_map_16.npy,10,10,19,0.24,pp_marl,0.14060473442077637,0,12.0,157.0,15.0,,,0,0
random_small,eval_map_16.npy,10,10,19,0.24,hybrid_lns,1.2294275760650635,0,9.0,166.0,15.0,12.0,9.0,1,20
random_small,eval_map_16.npy,10,10,19,0.24,pp_random,0.003994464874267578,0,,,,,,0,0
random_small,eval_map_16.npy,10,10,19,0.24,pp_marl,0.0015113353729248047,0,,,,,,0,0
random_small,eval_map_16.npy,10,10,19,0.24,hybrid_lns,0.0015645027160644531,0,,,,,,0,0
random_small,eval_map_16.npy,10,10,19,0.24,pp_random,0.006257057189941406,0,3.0,158.0,20.0,,,0,0
random_small,eval_map_16.npy,10,10,19,0.24,pp_marl,0.011903047561645508,0,6.0,136.0,13.0,,,0,0
random_small,eval_map_16.npy,10,10,19,0.24,hybrid_lns,0.19487881660461426,0,4.0,138.0,13.0,6.0,4.0,20,20
random_small,eval_map_16.npy,10,10,19,0.24,pp_random,0.07578372955322266,0,12.0,141.0,18.0,,,0,0
random_small,eval_map_16.npy,10,10,19,0.24,pp_marl,0.03973865509033203,0,19.0,146.0,17.0,,,0,0
random_small,eval_map_16.npy,10,10,19,0.24,hybrid_lns,1.8881292343139648,0,12.0,146.0,17.0,19.0,12.0,20,20
random_small,eval_map_17.npy,10,10,21,0.16,pp_random,0.006602764129638672,0,4.0,191.0,18.0,,,0,0
random_small,eval_map_17.npy,10,10,21,0.16,pp_marl,0.01337122917175293,1,0.0,226.0,20.0,,,0,0
random_small,eval_map_17.npy,10,10,21,0.16,hybrid_lns,0.014923095703125,1,0.0,226.0,20.0,0.0,0.0,0,20
random_small,eval_map_17.npy,10,10,21,0.16,pp_random,0.0056400299072265625,0,2.0,173.0,14.0,,,0,0
random_small,eval_map_17.npy,10,10,21,0.16,pp_marl,0.006925821304321289,0,3.0,170.0,15.0,,,0,0
random_small,eval_map_17.npy,10,10,21,0.16,hybrid_lns,0.06473517417907715,0,3.0,170.0,15.0,3.0,3.0,0,20
random_small,eval_map_17.npy,10,10,21,0.16,pp_random,0.03472495079040527,0,9.0,155.0,16.0,,,0,0
random_small,eval_map_17.npy,10,10,21,0.16,pp_marl,0.005595684051513672,0,7.0,160.0,16.0,,,0,0
random_small,eval_map_17.npy,10,10,21,0.16,hybrid_lns,0.05986189842224121,0,7.0,160.0,16.0,7.0,7.0,20,20
random_small,eval_map_17.npy,10,10,21,0.16,pp_random,0.09785795211791992,0,8.0,196.0,18.0,,,0,0
random_small,eval_map_17.npy,10,10,21,0.16,pp_marl,0.13700246810913086,0,10.0,177.0,17.0,,,0,0
random_small,eval_map_17.npy,10,10,21,0.16,hybrid_lns,2.4239633083343506,0,9.0,179.0,17.0,10.0,9.0,20,20
random_small,eval_map_17.npy,10,10,21,0.16,pp_random,0.006675004959106445,0,3.0,182.0,19.0,,,0,0
random_small,eval_map_17.npy,10,10,21,0.16,pp_marl,0.010113716125488281,0,1.0,188.0,21.0,,,0,0
random_small,eval_map_17.npy,10,10,21,0.16,hybrid_lns,0.05410647392272949,0,1.0,188.0,21.0,1.0,1.0,20,20
random_small,eval_map_18.npy,10,10,18,0.28,pp_random,0.0725243091583252,0,8.0,163.0,22.0,,,0,0
random_small,eval_map_18.npy,10,10,18,0.28,pp_marl,0.08402824401855469,0,10.0,151.0,26.0,,,0,0
random_small,eval_map_18.npy,10,10,18,0.28,hybrid_lns,1.1165783405303955,0,9.0,151.0,26.0,10.0,9.0,20,20
random_small,eval_map_18.npy,10,10,18,0.28,pp_random,0.0783240795135498,0,9.0,168.0,22.0,,,0,0
random_small,eval_map_18.npy,10,10,18,0.28,pp_marl,0.006753444671630859,0,6.0,171.0,16.0,,,0,0
random_small,eval_map_18.npy,10,10,18,0.28,hybrid_lns,0.051023006439208984,0,4.0,171.0,16.0,6.0,4.0,20,20
random_small,eval_map_18.npy,10,10,18,0.28,pp_random,0.04047274589538574,0,9.0,187.0,23.0,,,0,0
random_small,eval_map_18.npy,10,10,18,0.28,pp_marl,0.09408211708068848,0,10.0,161.0,15.0,,,0,0
random_small,eval_map_18.npy,10,10,18,0.28,hybrid_lns,2.1587109565734863,0,10.0,161.0,15.0,10.0,10.0,20,20
random_small,eval_map_18.npy,10,10,18,0.28,pp_random,0.09327530860900879,0,12.0,147.0,22.0,,,0,0
random_small,eval_map_18.npy,10,10,18,0.28,pp_marl,0.09040594100952148,0,14.0,165.0,19.0,,,0,0
random_small,eval_map_18.npy,10,10,18,0.28,hybrid_lns,2.537978172302246,0,9.0,175.0,18.0,14.0,9.0,20,20
random_small,eval_map_18.npy,10,10,18,0.28,pp_random,0.00397801399230957,0,5.0,155.0,17.0,,,0,0
random_small,eval_map_18.npy,10,10,18,0.28,pp_marl,0.031177043914794922,0,6.0,165.0,18.0,,,0,0
random_small,eval_map_18.npy,10,10,18,0.28,hybrid_lns,0.579282283782959,0,1.0,205.0,28.0,6.0,1.0,20,20
random_small,eval_map_19.npy,10,10,19,0.24,pp_random,0.0032138824462890625,0,,,,,,0,0
random_small,eval_map_19.npy,10,10,19,0.24,pp_marl,0.003186941146850586,0,,,,,,0,0
random_small,eval_map_19.npy,10,10,19,0.24,hybrid_lns,0.0031404495239257812,0,,,,,,0,0
random_small,eval_map_19.npy,10,10,19,0.24,pp_random,0.031821250915527344,0,,,,,,0,0
random_small,eval_map_19.npy,10,10,19,0.24,pp_marl,0.029659748077392578,0,,,,,,0,0
random_small,eval_map_19.npy,10,10,19,0.24,hybrid_lns,0.029671430587768555,0,,,,,,0,0
random_small,eval_map_19.npy,10,10,19,0.24,pp_random,0.003371000289916992,0,,,,,,0,0
random_small,eval_map_19.npy,10,10,19,0.24,pp_marl,0.003387928009033203,0,,,,,,0,0
random_small,eval_map_19.npy,10,10,19,0.24,hybrid_lns,0.0034515857696533203,0,,,,,,0,0
random_small,eval_map_19.npy,10,10,19,0.24,pp_random,0.002093076705932617,0,,,,,,0,0
random_small,eval_map_19.npy,10,10,19,0.24,pp_marl,0.028537988662719727,0,,,,,,0,0
random_small,eval_map_19.npy,10,10,19,0.24,hybrid_lns,0.02929997444152832,0,,,,,,0,0
random_small,eval_map_19.npy,10,10,19,0.24,pp_random,0.0019087791442871094,0,,,,,,0,0
random_small,eval_map_19.npy,10,10,19,0.24,pp_marl,0.0030450820922851562,0,,,,,,0,0
random_small,eval_map_19.npy,10,10,19,0.24,hybrid_lns,0.0030226707458496094,0,,,,,,0,0
random_medium,eval_map_1.npy,25,25,64,0.1904,pp_random,0.10833215713500977,0,22.0,1087.0,44.0,,,0,0
random_medium,eval_map_1.npy,25,25,64,0.1904,pp_marl,0.09524917602539062,0,30.0,1051.0,35.0,,,0,0
random_medium,eval_map_1.npy,25,25,64,0.1904,hybrid_lns,2.6938278675079346,0,10.0,1089.0,45.0,30.0,10.0,1,20
random_medium,eval_map_1.npy,25,25,64,0.1904,pp_random,0.4105963706970215,0,,,,,,0,0
random_medium,eval_map_1.npy,25,25,64,0.1904,pp_marl,0.23062968254089355,0,,,,,,0,0
random_medium,eval_map_1.npy,25,25,64,0.1904,hybrid_lns,0.2264540195465088,0,,,,,,0,0
random_medium,eval_map_1.npy,25,25,64,0.1904,pp_random,0.08555865287780762,0,20.0,1162.0,37.0,,,0,0
random_medium,eval_map_1.npy,25,25,64,0.1904,pp_marl,0.11005496978759766,0,33.0,1147.0,37.0,,,0,0
random_medium,eval_map_1.npy,25,25,64,0.1904,hybrid_lns,1.296607255935669,0,12.0,1166.0,37.0,33.0,12.0,1,20
random_medium,eval_map_1.npy,25,25,64,0.1904,pp_random,0.12197160720825195,0,,,,,,0,0
random_medium,eval_map_1.npy,25,25,64,0.1904,pp_marl,0.03385114669799805,0,,,,,,0,0
random_medium,eval_map_1.npy,25,25,64,0.1904,hybrid_lns,0.033939361572265625,0,,,,,,0,0
random_medium,eval_map_1.npy,25,25,64,0.1904,pp_random,0.11105918884277344,0,39.0,1263.0,42.0,,,0,0
random_medium,eval_map_1.npy,25,25,64,0.1904,pp_marl,0.150498628616333,0,35.0,1269.0,40.0,,,0,0
random_medium,eval_map_1.npy,25,25,64,0.1904,hybrid_lns,7.959833860397339,0,17.0,1329.0,42.0,35.0,17.0,2,20
random_medium,eval_map_10.npy,25,25,64,0.1664,pp_random,0.12254071235656738,0,9.0,1297.0,38.0,,,0,0
random_medium,eval_map_10.npy,25,25,64,0.1664,pp_marl,0.14807868003845215,0,21.0,1300.0,38.0,,,0,0
random_medium,eval_map_10.npy,25,25,64,0.1664,hybrid_lns,1.50419282913208,0,14.0,1306.0,38.0,21.0,14.0,1,20
random_medium,eval_map_10.npy,25,25,64,0.1664,pp_random,0.12432146072387695,0,19.0,1116.0,34.0,,,0,0
random_medium,eval_map_10.npy,25,25,64,0.1664,pp_marl,0.10461664199829102,0,28.0,1080.0,34.0,,,0,0
random_medium,eval_map_10.npy,25,25,64,0.1664,hybrid_lns,1.1987652778625488,0,10.0,1109.0,35.0,28.0,10.0,1,20
random_medium,eval_map_10.npy,25,25,64,0.1664,pp_random,0.0861515998840332,0,19.0,1041.0,39.0,,,0,0
random_medium,eval_map_10.npy,25,25,64,0.1664,pp_marl,0.10091066360473633,0,22.0,1046.0,39.0,,,0,0
random_medium,eval_map_10.npy,25,25,64,0.1664,hybrid_lns,1.2890183925628662,0,10.0,1061.0,39.0,22.0,10.0,20,20
random_medium,eval_map_10.npy,25,25,64,0.1664,pp_random,0.39038801193237305,0,12.0,1249.0,36.0,,,0,0
random_medium,eval_map_10.npy,25,25,64,0.1664,pp_marl,0.12037134170532227,0,24.0,1238.0,36.0,,,0,0
random_medium,eval_map_10.npy,25,25,64,0.1664,hybrid_lns,1.5438158512115479,0,9.0,1264.0,40.0,24.0,9.0,1,20
random_medium,eval_map_10.npy,25,25,64,0.1664,pp_random,0.11993241310119629,0,20.0,1154.0,34.0,,,0,0
random_medium,eval_map_10.npy,25,25,64,0.1664,pp_marl,0.1305551528930664,0,20.0,1151.0,33.0,,,0,0
random_medium,eval_map_10.npy,25,25,64,0.1664,hybrid_lns,1.191894769668579,0,8.0,1169.0,36.0,20.0,8.0,3,20
random_medium,eval_map_100.npy,25,25,64,0.1552,pp_random,0.0037691593170166016,0,,,,,,0,0
random_medium,eval_map_100.npy,25,25,64,0.1552,pp_marl,0.033863067626953125,0,,,,,,0,0
random_medium,eval_map_100.npy,25,25,64,0.1552,hybrid_lns,0.03368830680847168,0,,,,,,0,0
random_medium,eval_map_100.npy,25,25,64,0.1552,pp_random,0.006268024444580078,0,,,,,,0,0
random_medium,eval_map_100.npy,25,25,64,0.1552,pp_marl,0.034619808197021484,0,,,,,,0,0
random_medium,eval_map_100.npy,25,25,64,0.1552,hybrid_lns,0.03470206260681152,0,,,,,,0,0
random_medium,eval_map_100.npy,25,25,64,0.1552,pp_random,0.07985305786132812,0,6.0,1111.0,33.0,,,0,0
random_medium,eval_map_100.npy,25,25,64,0.1552,pp_marl,0.10670971870422363,0,13.0,1109.0,31.0,,,0,0
random_medium,eval_map_100.npy,25,25,64,0.1552,hybrid_lns,0.9135270118713379,0,12.0,1109.0,31.0,13.0,12.0,20,20
random_medium,eval_map_100.npy,25,25,64,0.1552,pp_random,0.09381985664367676,0,,,,,,0,0
random_medium,eval_map_100.npy,25,25,64,0.1552,pp_marl,0.034424543380737305,0,,,,,,0,0
random_medium,eval_map_100.npy,25,25,64,0.1552,hybrid_lns,0.034239768981933594,0,,,,,,0,0
random_medium,eval_map_100.npy,25,25,64,0.1552,pp_random,0.0732882022857666,0,17.0,1162.0,36.0,,,0,0
random_medium,eval_map_100.npy,25,25,64,0.1552,pp_marl,0.11480951309204102,0,12.0,1170.0,36.0,,,0,0
random_medium,eval_map_100.npy,25,25,64,0.1552,hybrid_lns,1.0484168529510498,0,12.0,1170.0,36.0,12.0,12.0,20,20
random_medium,eval_map_11.npy,25,25,64,0.1504,pp_random,0.0700230598449707,0,21.0,1151.0,36.0,,,0,0
random_medium,eval_map_11.npy,25,25,64,0.1504,pp_marl,0.11049628257751465,0,22.0,1156.0,33.0,,,0,0
random_medium,eval_map_11.npy,25,25,64,0.1504,hybrid_lns,0.9550061225891113,0,10.0,1165.0,33.0,22.0,10.0,20,20
random_medium,eval_map_11.npy,25,25,64,0.1504,pp_random,0.08975386619567871,0,8.0,1170.0,38.0,,,0,0
random_medium,eval_map_11.npy,25,25,64,0.1504,pp_marl,0.11226820945739746,0,15.0,1166.0,36.0,,,0,0
random_medium,eval_map_11.npy,25,25,64,0.1504,hybrid_lns,1.2613191604614258,0,10.0,1176.0,38.0,15.0,10.0,5,20
random_medium,eval_map_11.npy,25,25,64,0.1504,pp_random,0.10104990005493164,0,16.0,1157.0,40.0,,,0,0
random_medium,eval_map_11.npy,25,25,64,0.1504,pp_marl,0.12292242050170898,0,32.0,1153.0,40.0,,,0,0
random_medium,eval_map_11.npy,25,25,64,0.1504,hybrid_lns,1.273848533630371,0,14.0,1175.0,40.0,32.0,14.0,12,20
random_medium,eval_map_11.npy,25,25,64,0.1504,pp_random,0.09708380699157715,0,15.0,1129.0,39.0,,,0,0
random_medium,eval_map_11.npy,25,25,64,0.1504,pp_marl,0.11446213722229004,0,22.0,1114.0,39.0,,,0,0
random_medium,eval_map_11.npy,25,25,64,0.1504,hybrid_lns,1.0921108722686768,0,11.0,1124.0,39.0,22.0,11.0,20,20
random_medium,eval_map_11.npy,25,25,64,0.1504,pp_random,0.10824728012084961,0,24.0,1219.0,38.0,,,0,0
random_medium,eval_map_11.npy,25,25,64,0.1504,pp_marl,0.1228036880493164,0,35.0,1194.0,37.0,,,0,0
random_medium,eval_map_11.npy,25,25,64,0.1504,hybrid_lns,1.7850492000579834,0,9.0,1229.0,37.0,35.0,9.0,20,20
random_medium,eval_map_12.npy,25,25,64,0.184,pp_random,0.491382360458374,0,,,,,,0,0
random_medium,eval_map_12.npy,25,25,64,0.184,pp_marl,0.24987244606018066,0,,,,,,0,0
