scenario,hour,storage,bus,charge_MW,discharge_MW,soc_MWh
baseline_2025,20,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,20,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,20,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,21,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,21,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,21,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,22,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,22,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,22,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,23,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,23,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,23,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,24,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,24,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,24,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,25,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,25,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,25,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,26,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,26,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,26,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,27,PHS_0_Bus1,Bus1,0.0,-0.0,0.0
baseline_2025,27,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,27,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,28,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,28,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,28,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,29,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,29,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,29,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,30,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,30,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,30,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,31,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,31,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,31,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,32,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,32,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,32,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,33,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,33,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,33,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,34,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,34,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,34,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,35,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,35,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,35,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,36,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,36,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,36,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,37,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,37,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,37,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,38,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,38,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,38,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,39,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,39,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,39,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,40,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,40,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,40,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,41,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,41,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,41,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,42,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,42,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,42,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,43,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,43,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,43,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,44,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,44,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,44,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,45,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,45,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,45,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,46,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,46,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,46,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,47,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,47,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,47,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,48,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,48,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,48,PHS_2_Bus12,Bus12,0.0,0.0,0.0
baseline_2025,49,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,49,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,49,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,50,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,50,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,50,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,51,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,51,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,51,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,52,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,52,PHS_1_Bus3,Bus3,0.0,0.0,-0.0
baseline_2025,52,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,53,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,53,PHS_1_Bus3,Bus3,0.0,-0.0,-0.0
baseline_2025,53,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,54,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,54,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,54,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,55,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,55,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,55,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,56,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,56,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,56,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,57,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,57,PHS_1_Bus3,Bus3,0.0,0.0,-0.0
baseline_2025,57,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,58,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,58,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,58,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,59,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,59,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,59,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,60,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,60,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,60,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,61,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,61,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,61,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,62,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,62,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,62,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,63,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,63,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,63,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,64,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,64,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,64,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,65,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,65,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,65,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,66,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,66,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,66,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,67,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,67,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,67,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,68,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,68,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,68,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,69,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,69,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,69,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,70,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,70,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,70,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,71,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,71,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,71,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,72,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,72,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,72,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,73,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,73,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,73,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,74,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,74,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,74,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,75,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,75,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,75,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,76,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,76,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,76,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,77,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,77,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,77,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,78,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,78,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,78,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,79,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,79,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,79,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,80,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,80,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,80,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,81,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,81,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,81,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,82,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,82,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,82,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,83,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,83,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,83,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,84,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,84,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,84,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,85,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,85,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,85,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,86,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,86,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,86,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,87,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,87,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,87,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,88,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,88,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,88,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,89,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,89,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,89,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,90,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,90,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,90,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,91,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,91,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,91,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,92,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,92,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,92,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,93,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,93,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,93,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,94,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,94,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,94,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,95,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,95,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,95,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,96,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,96,PHS_1_Bus3,Bus3,0.0,0.0,-0.0
baseline_2025,96,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,97,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,97,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,97,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,98,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,98,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,98,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,99,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,99,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,99,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,100,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,100,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,100,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,101,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,101,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,101,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,102,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,102,PHS_1_Bus3,Bus3,0.0,-0.0,-0.0
baseline_2025,102,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,103,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,103,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,103,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,104,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,104,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,104,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,105,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,105,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,105,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,106,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,106,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,106,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,107,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,107,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,107,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,108,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,108,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,108,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,109,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,109,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,109,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,110,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,110,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,110,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,111,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,111,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,111,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,112,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,112,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,112,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,113,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,113,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,113,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,114,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,114,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,114,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,115,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,115,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,115,PHS_2_Bus12,Bus12,-0.0,0.0,-0.0
baseline_2025,116,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,116,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,116,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,117,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,117,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,117,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,118,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,118,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,118,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,119,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,119,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,119,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,120,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,120,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,120,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,121,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,121,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,121,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,122,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,122,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,122,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,123,PHS_0_Bus1,Bus1,0.0,0.0,0.0
