scenario,line,bus0,bus1,capacity_MW,mean_abs_flow_MW,max_abs_flow_MW,utilisation_max_pct,congested_hours_95pct,net_flow_MWh_bus0_to_bus1
baseline_2025,Bus4-Bus9,Bus4,Bus9,1500.0,1500.0,1500.0,100.0,168,252000.0
baseline_2025,Bus5-Bus10,Bus5,Bus10,1500.0,1500.0,1500.0,100.0,168,252000.0
high_renewable_2035,Bus1-Bus2,Bus1,Bus2,6250.0,2601.673129210461,2963.0266355400945,47.40842616864151,0,-437081.08570735744
high_renewable_2035,Bus2-Bus3,Bus2,Bus3,6250.0,5345.4221031414745,6176.346272021034,98.82154035233654,14,-898030.9133277677
high_renewable_2035,Bus3-Bus4,Bus3,Bus4,6250.0,5741.772073716413,6250.0,100.0,135,-964617.7083843574
high_renewable_2035,Bus4-Bus5,Bus4,Bus5,6250.0,4748.664086460988,6250.0,100.0,77,-791076.5449528175
high_renewable_2035,Bus6-Bus7,Bus6,Bus7,6250.0,2530.981278648286,6250.0,100.0,7,27421.67613839017
high_renewable_2035,Bus7-Bus8,Bus7,Bus8,6250.0,2736.717879949153,6250.0,100.0,7,49857.33515742
high_renewable_2035,Bus8-Bus9,Bus8,Bus9,6250.0,3356.431224923675,6250.0,100.0,42,297995.5442135022
high_renewable_2035,Bus9-Bus10,Bus9,Bus10,6250.0,3001.421773443235,6250.0,100.0,23,285762.9873158447
high_renewable_2035,Bus10-Bus11,Bus10,Bus11,6250.0,3824.3386510634023,6250.0,100.0,35,431721.4512879022
high_renewable_2035,Bus11-Bus12,Bus11,Bus12,6250.0,3497.768080662218,6250.0,100.0,30,292800.64729180717
high_renewable_2035,Bus12-Bus13,Bus12,Bus13,6250.0,3785.29267715732,6250.0,100.0,41,91617.79382695416
high_renewable_2035,Bus13-Bus14,Bus13,Bus14,6250.0,3951.0576389999983,6250.0,100.0,50,-166088.18554475607
high_renewable_2035,Bus14-Bus15,Bus14,Bus15,6250.0,4101.811129638936,6250.0,100.0,30,-119761.37974411932
high_renewable_2035,Bus15-Bus16,Bus15,Bus16,6250.0,3001.1631175817843,6250.0,100.0,5,-287690.86487435957
high_renewable_2035,Bus16-Bus17,Bus16,Bus17,6250.0,2729.50468613666,6250.0,100.0,2,-286786.3284303257
high_renewable_2035,Bus17-Bus18,Bus17,Bus18,6250.0,2054.186264339752,6250.0,100.0,1,-194571.41371349565
high_renewable_2035,Bus18-Bus19,Bus18,Bus19,6250.0,1521.8738899056316,6250.0,100.0,2,-131982.15789694
high_renewable_2035,Bus19-Bus20,Bus19,Bus20,6250.0,759.1747166869936,6145.0675421578835,98.32108067452613,3,-60777.14941566787
high_renewable_2035,Bus1-Bus6,Bus1,Bus6,1875.0,1875.0,1875.0,100.0,168,315000.0
high_renewable_2035,Bus2-Bus7,Bus2,Bus7,1875.0,1875.0,1875.0,100.0,168,315000.0
high_renewable_2035,Bus3-Bus8,Bus3,Bus8,1875.0,1875.0,1875.0,100.0,168,315000.0
high_renewable_2035,Bus4-Bus9,Bus4,Bus9,1875.0,1875.0,1875.0,100.0,168,315000.0
high_renewable_2035,Bus5-Bus10,Bus5,Bus10,1875.0,1875.0,1875.0,100.0,168,315000.0
net_zero_2050,Bus1-Bus2,Bus1,Bus2,8000.0,3243.4598821192853,3662.8880591090383,45.78610073886298,0,-544901.2601960399
net_zero_2050,Bus2-Bus3,Bus2,Bus3,8000.0,6680.951875377145,7616.294780024414,95.20368475030517,1,-1122399.9150633605
net_zero_2050,Bus3-Bus4,Bus3,Bus4,8000.0,7759.9976346580215,8000.0,100.0,154,-1303679.6026225477
net_zero_2050,Bus4-Bus5,Bus4,Bus5,8000.0,6858.776976592233,8000.0,100.0,109,-1149058.3920031912
net_zero_2050,Bus6-Bus7,Bus6,Bus7,8000.0,3180.7865284246327,8000.0,100.0,5,23547.071108764838
net_zero_2050,Bus7-Bus8,Bus7,Bus8,8000.0,3447.4325315460987,8000.0,100.0,1,164628.9705239075
net_zero_2050,Bus8-Bus9,Bus8,Bus9,8000.0,3843.147837590761,8000.0,100.0,28,435659.57189619774
net_zero_2050,Bus9-Bus10,Bus9,Bus10,8000.0,3979.748247206551,8000.0,100.0,21,529731.4842161662
net_zero_2050,Bus10-Bus11,Bus10,Bus11,8000.0,4783.87734162798,8000.0,100.0,31,708511.1760414136
net_zero_2050,Bus11-Bus12,Bus11,Bus12,8000.0,4677.120435950556,8000.0,100.0,30,506451.16810459946
net_zero_2050,Bus12-Bus13,Bus12,Bus13,8000.0,4280.087891649937,8000.0,100.0,20,181025.9106028243
net_zero_2050,Bus13-Bus14,Bus13,Bus14,8000.0,4625.430830408829,8000.0,100.0,11,-38043.525709314876
net_zero_2050,Bus14-Bus15,Bus14,Bus15,8000.0,4375.464756261165,8000.0,100.0,28,-86493.01964284689
net_zero_2050,Bus15-Bus16,Bus15,Bus16,8000.0,3040.4762194151144,8000.0,100.0,1,-317346.54647127324
net_zero_2050,Bus16-Bus17,Bus16,Bus17,8000.0,2726.8750593550562,8000.0,100.0,2,-351149.60762300977
net_zero_2050,Bus17-Bus18,Bus17,Bus18,8000.0,2051.5004257344676,8000.0,100.0,2,-246794.09800433338
net_zero_2050,Bus18-Bus19,Bus18,Bus19,8000.0,1361.4603755808118,6956.7040977008455,86.95880122126057,0,-190852.15274942922
net_zero_2050,Bus19-Bus20,Bus19,Bus20,8000.0,707.2404516491027,7414.361181737424,92.6795147717178,0,-87598.38277437139
net_zero_2050,Bus1-Bus6,Bus1,Bus6,2400.0,2400.0,2400.0,100.0,168,403200.0
net_zero_2050,Bus2-Bus7,Bus2,Bus7,2400.0,2400.0,2400.0,100.0,168,403200.0
net_zero_2050,Bus3-Bus8,Bus3,Bus8,2400.0,2400.0,2400.0,100.0,168,403200.0
net_zero_2050,Bus4-Bus9,Bus4,Bus9,2400.0,2400.0,2400.0,100.0,168,403200.0
net_zero_2050,Bus5-Bus10,Bus5,Bus10,2400.0,2400.0,2400.0,100.0,168,403200.0
